# searching chr1
# for transcription factor NDD1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  1159     0.4222632400965498      weak  
  1368     0.4703251455345733      weak  
  1726     0.45286099673434616      weak  
  1837     0.5264092006247337      weak  
  2210     0.5357802072980263      weak  
  2216     0.460457191537697      weak  
  2297     0.401036490132046      weak  
  2817     0.49510151923896073      weak  
  3010     0.501490841970751      weak  
  3046     0.45286099673434616      weak  
  3259     0.6964361777651569      weak  
  3260     0.5557290927161721      weak  
  3279     0.5038335936390742      weak  
  3433     0.5450802214965214      weak  
  3434     0.8052676416299871      strong  
  3483     0.46840834871503617      weak  
  3497     0.5666619338350134      weak  
  3698     0.3652562828340195      weak  
  3702     0.5334374556297031      weak  
  3723     0.4127502484736617      weak  
  3725     0.6125230725543094      weak  
  3726     0.3956410620474229      weak  
  3728     0.3877608973448814      weak  
  3736     0.8171943773959961      strong  
  3751     0.4420701405651      weak  
  3915     0.6589521510719863      weak  
  4066     0.4421411330398978      weak  
  4096     0.5301718017890102      weak  
  4099     0.501490841970751      weak  
  4102     0.37860286809598176      weak  
  4192     0.37640210137725405      weak  
  4298     0.4815419565526053      weak  
  4622     0.5903024279426382      weak  
  4623     0.7609683373562401      strong  
  4652     0.5009229021723697      weak  
  4904     0.516399261678262      weak  
  5444     0.4585403947181599      weak  
  5690     0.5085900894505182      weak  
  5691     0.7974584694022433      strong  
  5873     0.44164418571631403      weak  
  5897     0.38946471674002553      weak  
  5905     0.490487008377112      weak  
  5918     0.6101093284111884      weak  
  6067     0.4013914525060343      weak  
  6622     0.4239670594916939      weak  
  6705     0.8373562402385347      strong  
  6712     0.405580008519097      weak  
  6783     0.6147238392730371      weak  
  7121     0.6964361777651569      weak  
  7122     0.5557290927161721      weak  
  7309     0.3690188839982962      weak  
  7358     0.42730370580718435      weak  
  7382     0.5715604145960528      weak  
  7386     0.6025131336078375      weak  
  7393     0.4938946471674002      weak  
  7395     0.4541388612807042      weak  
  7570     0.5125656680391878      weak  
  7650     0.3923754082067301      weak  
  8022     0.5281840124946756      weak  
  8215     0.4938946471674002      weak  
  8217     0.4541388612807042      weak  
  8369     0.44987931279284393      weak  
  8434     0.5683657532301577      weak  
  8435     0.6489422121255147      weak  
  8446     0.3820814993610678      weak  
  8529     0.4178617066590941      weak  
  8575     0.44661365895215105      weak  
  8601     0.44959534289365327      weak  
  8641     0.39045861138719284      weak  
  8816     0.43092432202186576      weak  
  9065     0.5350702825500496      weak  
  9104     0.5533863410478489      weak  
  9383     0.3690898764730938      weak  
  9396     0.39500212977424387      weak  
  9461     0.41544796251597327      weak  
  9995     0.5866108192531592      weak  
  10693     0.3942212125514695      weak  
  10861     0.4219082777225613      weak  
  11277     0.5228595768848502      weak  
  11495     0.7340621894079228      strong  
  11496     0.4275166832315774      weak  
  11506     0.4201334658526196      weak  
  11662     0.6267925599886413      weak  
  11663     0.6513559562686354      weak  
  11855     0.5230725543092432      weak  
  12206     0.3643333806616498      weak  
  12330     0.6926735766008804      weak  
  12493     0.4219082777225613      weak  
  12496     0.4605281840124946      weak  
  12497     0.3842822660797955      weak  
  12589     0.4219082777225613      weak  
  12593     0.46067016896209      weak  
  12685     0.4219082777225613      weak  
  12689     0.46067016896209      weak  
  12819     0.3505608405509016      weak  
  12866     0.4640068152775805      weak  
  12868     0.3986227459889251      weak  
  12874     0.7129774243930143      strong  
  12877     0.45704955274740877      weak  
  12880     0.4492403805196648      weak  
  12884     0.5050404657106347      weak  
  12919     0.37540820673008657      weak  
  12928     0.5814283685929292      weak  
  12976     0.3634814709640778      weak  
  12982     0.5736191963651853      weak  
  13004     0.3852051682521652      weak  
  13008     0.45491977850347853      weak  
  13024     0.4219082777225613      weak  
  13027     0.5666619338350134      weak  
  13072     0.45704955274740877      weak  
  13102     0.45704955274740877      weak  
  13117     0.6033650433054096      weak  
  13228     0.47529461877041035      weak  
  13322     0.3808746272895073      weak  
  13357     0.6014482464858725      weak  
  13400     0.6067726820956979      weak  
  13727     0.5702825500496949      weak  
  13890     0.5814283685929291      weak  
  13904     0.4475365611245207      weak  
  13918     0.42304415731932404      weak  
  14140     0.4421411330398978      weak  
  14182     0.35751810308107335      weak  
  14529     0.4304273746982819      weak  
  14635     0.499787022575607      weak  
  14674     0.35971886979980117      weak  
  14772     0.4405083061195513      weak  
  14774     0.38946471674002553      weak  
  14779     0.6964361777651569      weak  
  14780     0.4383075394008235      weak  
  14785     0.42595484878602863      weak  
  14868     0.5866108192531592      weak  
  14933     0.8373562402385347      strong  
  14991     0.5699275876757064      weak  
  14992     0.36518529035922187      weak  
  15022     0.4637228453783898      weak  
  15026     0.46940224336220354      weak  
  15028     0.39031662643759746      weak  
  15173     0.46940224336220354      weak  
  15345     0.3695158313218798      weak  
  15484     0.6311940934260968      weak  
  15962     0.5448672440721283      weak  
  16245     0.8373562402385347      strong  
  16386     0.7442851057787875      strong  
  16480     0.5274030952719011      weak  
  16483     0.3699417861706659      weak  
  16563     0.8374272327133323      strong  
  16564     0.9148800227175918      strong  
  16625     0.36142268919494536      weak  
  16716     0.3830753940082351      weak  
  16773     0.460457191537697      weak  
  16817     0.5682237682805622      weak  
  16998     0.38712196507170227      weak  
  17355     0.5814283685929291      weak  
  17484     0.4407212835439443      weak  
  17932     0.6997728240806476      weak  
  17934     0.5029106914667044      weak  
  17935     0.3521226749964504      weak  
  17936     0.42616782621042165      weak  
  18040     0.42325713474371707      weak  
