# searching chr1
# for transcription factor MCM1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  79     0.38924812300176026      weak  
  107     0.48117613248554086      weak  
  117     0.3552645759241298      weak  
  135     0.4491504113230593      weak  
  148     0.3906670977476021      weak  
  187     0.5945504185077415      weak  
  218     0.5828393864281353      weak  
  254     0.4414089161906815      weak  
  308     0.5892337536372454      weak  
  360     0.5144412113374287      weak  
  396     0.3878830333728491      weak  
  466     0.3937026260013652      weak  
  566     0.4470668534684055      weak  
  584     0.5090167762330712      weak  
  596     0.5239070302115888      weak  
  613     0.37038833207601396      weak  
  630     0.3672629952940331      weak  
  647     0.4305600459819665      weak  
  668     0.49665912275029644      weak  
  676     0.3873262204978986      weak  
  691     0.4126522254553292      weak  
  713     0.4727520925387075      weak  
  764     0.36341919028630953      weak  
  831     0.4702913388655387      weak  
  841     0.40889822897582345      weak  
  887     0.40929338649998204      weak  
  936     0.3984265545856235      weak  
  939     0.38008765312354065      weak  
  971     0.37333405180155915      weak  
  1004     0.46655530409167656      weak  
  1224     0.36469447138700295      weak  
  1230     0.47717067212702524      weak  
  1248     0.46123863922118036      weak  
  1275     0.4799367747961346      weak  
  1280     0.35118726874303985      weak  
  1286     0.5173689693573302      weak  
  1292     0.41035312713295263      weak  
  1330     0.37022667672522186      weak  
  1370     0.4216151165714696      weak  
  1413     0.3975823544203757      weak  
  1521     0.4109638251248339      weak  
  1523     0.46950102381722175      weak  
  1578     0.6034594245069513      weak  
  1612     0.3965046520817617      weak  
  1620     0.41798685203146907      weak  
  1623     0.46276538420088376      weak  
  1627     0.46621403168444875      weak  
  1647     0.5027122175521789      weak  
  1654     0.38985882099364155      weak  
  1673     0.41755577109602326      weak  
  1746     0.37257966016452926      weak  
  1752     0.598232568164673      weak  
  1799     0.43311060818335306      weak  
  1809     0.39375651111829574      weak  
  1826     0.44306139310988973      weak  
  1871     0.402773287351367      weak  
  1996     0.37534576283363874      weak  
  2020     0.5444013363508999      weak  
  2031     0.3694363616769048      weak  
  2053     0.3653949779071021      weak  
  2063     0.5948198440923952      weak  
  2080     0.43972051586018607      weak  
  2081     0.35953946186729896      weak  
  2159     0.4215432697488954      weak  
  2166     0.40898803750404145      weak  
  2185     0.4923662751014836      weak  
  2253     0.5945863419190287      weak  
  2284     0.5247691920824802      weak  
  2309     0.49773682508891054      weak  
  2339     0.3775370909221541      weak  
  2354     0.3574379423070016      weak  
  2377     0.6351618349678486      weak  
  2427     0.684323023314294      weak  
  2440     0.5656859575385279      weak  
  2442     0.46655530409167656      weak  
  2498     0.46632180191831024      weak  
  2520     0.506448252326041      weak  
  2574     0.49901210618960384      weak  
  2602     0.402270359593347      weak  
  2612     0.45926285160038804      weak  
  2613     0.47846391493336216      weak  
  2638     0.41989079282968716      weak  
  2639     0.36596975248769625      weak  
  2649     0.6069080719905161      weak  
  2663     0.5015985918022776      weak  
  2691     0.43734957071523517      weak  
  2749     0.36589790566512187      weak  
  2824     0.6029385350432876      weak  
  2867     0.38623055645364085      weak  
  2920     0.3674605740561123      weak  
  2939     0.3665445270682904      weak  
  2975     0.35628839314581323      weak  
  2982     0.41486151524948806      weak  
  2997     0.44862952185939586      weak  
  3053     0.366149369544132      weak  
  3063     0.4790386895139563      weak  
  3068     0.5420842763228796      weak  
  3087     0.35115134533175263      weak  
  3097     0.6655350792111219      weak  
  3099     0.3535222904767036      weak  
  3273     0.3683047742213601      weak  
  3311     0.4308653949779071      weak  
  3327     0.46738154255128067      weak  
  3391     0.4913065344685132      weak  
  3416     0.42730897726048067      weak  
  3469     0.473021518123361      weak  
  3470     0.6858318065883535      weak  
  3499     0.37299277939433123      weak  
  3511     0.4999461148830693      weak  
