# searching chr1
# for transcription factor YHP1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  87     0.40968342644320294      weak  
  195     0.40968342644320294      weak  
  226     0.40968342644320294      weak  
  341     0.4096834264432028      weak  
  414     0.40968342644320294      weak  
  532     0.40968342644320294      weak  
  593     0.40968342644320294      weak  
  621     0.40968342644320294      weak  
  646     0.4096834264432028      weak  
  656     0.40968342644320294      weak  
  688     0.40968342644320294      weak  
  769     0.40968342644320294      weak  
  782     0.40968342644320294      weak  
  855     0.40968342644320294      weak  
  875     0.40968342644320294      weak  
  885     0.40968342644320294      weak  
  892     0.40968342644320294      weak  
  917     0.40968342644320294      weak  
  947     0.40968342644320294      weak  
  962     0.40968342644320294      weak  
  1002     0.40968342644320294      weak  
  1012     0.40968342644320294      weak  
  1013     0.40968342644320294      weak  
  1054     0.4096834264432028      weak  
  1069     0.40968342644320294      weak  
  1138     0.40968342644320294      weak  
  1139     0.40968342644320294      weak  
  1143     0.40968342644320294      weak  
  1170     1.0      strong  
  1181     0.40968342644320294      weak  
  1186     0.4096834264432028      weak  
  1256     0.40968342644320294      weak  
  1287     0.40968342644320294      weak  
  1288     0.40968342644320294      weak  
  1294     0.40968342644320294      weak  
  1338     0.40968342644320294      weak  
  1367     0.4096834264432028      weak  
  1394     0.4096834264432028      weak  
  1494     0.40968342644320294      weak  
  1500     0.40968342644320294      weak  
  1501     0.40968342644320294      weak  
  1536     0.40968342644320294      weak  
  1541     0.40968342644320294      weak  
  1551     0.40968342644320294      weak  
  1574     0.40968342644320294      weak  
  1659     0.40968342644320294      weak  
  1679     0.40968342644320294      weak  
  1685     0.40968342644320294      weak  
  1700     0.40968342644320294      weak  
  1710     0.40968342644320294      weak  
  1732     0.40968342644320294      weak  
  1740     0.40968342644320294      weak  
  1741     0.40968342644320294      weak  
  1745     0.40968342644320294      weak  
  1746     0.40968342644320294      weak  
  1758     1.0      strong  
  1765     0.40968342644320294      weak  
  1790     0.40968342644320294      weak  
  1807     0.40968342644320294      weak  
  1863     0.40968342644320294      weak  
  1895     0.40968342644320294      weak  
  1951     0.40968342644320294      weak  
  2028     0.4096834264432028      weak  
  2061     0.40968342644320294      weak  
  2157     1.0      strong  
  2171     0.40968342644320294      weak  
  2246     0.40968342644320294      weak  
  2261     0.40968342644320294      weak  
  2292     0.40968342644320294      weak  
  2362     0.40968342644320294      weak  
  2403     0.4096834264432028      weak  
  2483     0.40968342644320294      weak  
