# searching chr1
# for transcription factor YAP5
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  65     0.7296098282334205      strong  
  76     0.7296098282334205      strong  
  328     0.7296098282334205      strong  
  342     0.5091570924809465      weak  
  345     0.7296098282334205      strong  
  636     0.5091570924809465      weak  
  753     0.927994539870322      strong  
  761     0.5091570924809465      weak  
  790     0.927994539870322      strong  
  808     0.8016152883630987      strong  
  938     0.7296098282334205      strong  
  956     0.37458764645660336      weak  
  1049     1.0      strong  
  1081     0.6320100102377432      weak  
  1131     0.48356273461494703      weak  
  1167     0.5091570924809465      weak  
  1484     1.0      strong  
  1668     0.5091570924809465      weak  
  1729     0.5811625526106244      weak  
  1823     0.411557274485269      weak  
  1841     0.37458764645660336      weak  
  1916     0.37458764645660336      weak  
  2017     0.38277784097372314      weak  
  2054     0.8303947218746446      strong  
  2114     1.0      strong  
  2120     0.8016152883630987      strong  
  2129     0.7040154703674212      strong  
  2204     0.7296098282334205      strong  
  2225     0.8303947218746446      strong  
  2239     0.9024001820043226      strong  
  2252     1.0      strong  
  2311     0.7040154703674212      strong  
  2329     0.5091570924809465      weak  
  2531     0.6320100102377432      weak  
  2644     0.5091570924809465      weak  
  2786     0.8303947218746446      strong  
  2801     0.927994539870322      strong  
  2805     0.411557274485269      weak  
  2837     0.8016152883630987      strong  
  2885     0.5811625526106244      weak  
  3032     0.927994539870322      strong  
  3049     0.5811625526106244      weak  
  3151     0.411557274485269      weak  
  3206     0.411557274485269      weak  
  3213     0.411557274485269      weak  
  3220     0.5091570924809465      weak  
  3241     0.6320100102377432      weak  
  3267     1.0      strong  
  3279     0.927994539870322      strong  
  3286     0.927994539870322      strong  
  3313     0.5811625526106244      weak  
  3464     0.8016152883630987      strong  
  3523     0.6320100102377432      weak  
  3544     0.5811625526106244      weak  
  3577     0.5811625526106244      weak  
  3599     0.927994539870322      strong  
  3641     0.38277784097372314      weak  
  3656     0.5091570924809465      weak  
  3690     0.5091570924809465      weak  
  3701     0.6320100102377432      weak  
  3705     0.48356273461494703      weak  
  3711     0.5091570924809465      weak  
  3795     0.38277784097372314      weak  
  3815     0.48356273461494703      weak  
  3876     0.5091570924809465      weak  
  3886     0.48356273461494703      weak  
  3907     0.411557274485269      weak  
  3976     0.37458764645660336      weak  
  4070     0.9024001820043226      strong  
  4157     1.0      strong  
  4161     0.5811625526106244      weak  
  4209     0.8016152883630987      strong  
  4228     0.5091570924809465      weak  
  4292     0.7040154703674212      strong  
  4333     0.6320100102377432      weak  
  4337     1.0      strong  
  4390     0.38277784097372314      weak  
  4435     0.6320100102377432      weak  
  4516     0.5091570924809465      weak  
  4599     0.8016152883630987      strong  
  4614     0.38277784097372314      weak  
  4626     0.9024001820043226      strong  
  4678     0.38277784097372314      weak  
  4687     0.5091570924809465      weak  
  4721     0.927994539870322      strong  
  4891     0.38277784097372314      weak  
  4909     0.8303947218746446      strong  
  4968     0.8303947218746446      strong  
  5032     0.6320100102377432      weak  
  5046     0.411557274485269      weak  
  5053     0.5091570924809465      weak  
  5189     0.48356273461494703      weak  
  5221     0.5091570924809465      weak  
  5270     0.7296098282334205      strong  
  5307     0.8303947218746446      strong  
  5357     0.5091570924809465      weak  
  5434     0.5091570924809465      weak  
  5445     0.5811625526106244      weak  
  5448     0.8016152883630987      strong  
  5470     0.8016152883630987      strong  
  5604     0.6320100102377432      weak  
  5698     0.8303947218746446      strong  
  5798     0.48356273461494703      weak  
  5845     1.0      strong  
  5911     0.38277784097372314      weak  
  5914     0.8016152883630987      strong  
  5924     0.8016152883630987      strong  
  6141     0.38277784097372314      weak  
  6173     0.6320100102377432      weak  
  6254     1.0      strong  
  6323     0.38277784097372314      weak  
  6428     0.5091570924809465      weak  
  6476     0.9024001820043226      strong  
  6494     0.411557274485269      weak  
  6498     0.5091570924809465      weak  
  6510     0.38277784097372314      weak  
  6523     0.411557274485269      weak  
  6526     0.7296098282334205      strong  
  6606     0.5811625526106244      weak  
  6625     0.5091570924809465      weak  
  6629     0.5091570924809465      weak  
  6675     0.927994539870322      strong  
  6708     0.48356273461494703      weak  
  6715     0.5811625526106244      weak  
  6753     0.5091570924809465      weak  
  6809     0.7296098282334205      strong  
  6831     0.411557274485269      weak  
  6875     0.5811625526106244      weak  
  6889     0.927994539870322      strong  
  6959     0.38277784097372314      weak  
  6962     0.38277784097372314      weak  
  7044     0.5091570924809465      weak  
  7083     0.411557274485269      weak  
  7105     0.9024001820043226      strong  
  7247     0.411557274485269      weak  
  7310     1.0      strong  
  7330     0.7040154703674212      strong  
  7359     0.5811625526106244      weak  
  7389     0.8303947218746446      strong  
  7396     1.0      strong  
  7414     0.5811625526106244      weak  
  7428     0.5091570924809465      weak  
  7462     0.927994539870322      strong  
  7513     0.5811625526106244      weak  
  7531     0.37458764645660336      weak  
  7546     0.5091570924809465      weak  
  7570     0.927994539870322      strong  
  7593     0.927994539870322      strong  
