# searching chr1
# for transcription factor RFX1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  0     0.39860935197870084      weak  
  9     0.36414040892289395      weak  
  11     0.4909530333186859      weak  
  21     0.42633184273787067      weak  
  33     0.42633184273787067      weak  
  38     0.39860935197870084      weak  
  49     0.35014345904308936      weak  
  55     0.40405045622560554      weak  
  74     0.42512988859306744      weak  
  78     0.3686380437873188      weak  
  112     0.3848062656706387      weak  
  122     0.35420166981156465      weak  
  132     0.36376560601752533      weak  
  148     0.3603923798692068      weak  
  154     0.4177759971049707      weak  
  164     0.4329490526533462      weak  
  171     0.42244164706490556      weak  
  179     0.36743608964251556      weak  
  193     0.3957401711169127      weak  
  196     0.5400134412076409      weak  
  212     0.4926073357975548      weak  
  223     0.38037325199679484      weak  
  224     0.39212138444438704      weak  
  242     0.5545015121358596      weak  
  248     0.4796960219195079      weak  
  249     0.36280921239692915      weak  
  269     0.39422803525732153      weak  
  279     0.41092615090340423      weak  
  296     0.4730012665753354      weak  
  314     0.3639982423036162      weak  
  339     0.43085532607852767      weak  
  354     0.3940729443999276      weak  
  357     0.37091270969576345      weak  
  369     0.35050533771034204      weak  
  370     0.360418228345439      weak  
  390     0.4381833690903921      weak  
  400     0.42648693359526463      weak  
  418     0.3944735957815287      weak  
  455     0.4682451469485874      weak  
  472     0.38183369090392133      weak  
  486     0.373885284462481      weak  
  494     0.3781115103264663      weak  
  501     0.4884328068860342      weak  
  505     0.36385607568433836      weak  
  509     0.4182412696771525      weak  
  525     0.37648305632382967      weak  
  534     0.38824411300953804      weak  
  542     0.3533745185721302      weak  
  543     0.5370279422028071      weak  
  551     0.3867707498642955      weak  
  556     0.3567865174347973      weak  
  565     0.3787706464703907      weak  
  571     0.49088841212810513      weak  
  579     0.46242923979631406      weak  
  590     0.3699821645513997      weak  
  600     0.35893194096208025      weak  
  618     0.35404657895417063      weak  
  619     0.36905161940703596      weak  
  625     0.4046966681314137      weak  
  626     0.43895882337736203      weak  
  653     0.3738206632719001      weak  
  689     0.4823713392095536      weak  
  716     0.3958306407837258      weak  
  728     0.48118230930286665      weak  
  740     0.4034947139866105      weak  
  836     0.5829606844676507      weak  
  844     0.43341432522552803      weak  
  854     0.3871972497221289      weak  
  869     0.3505441104246905      weak  
  872     0.4423062010494481      weak  
  879     0.3836560084783002      weak  
  882     0.3769224804197792      weak  
  889     0.47001576757050173      weak  
  893     0.359461834724843      weak  
  944     0.43236746193811876      weak  
  967     0.6253780339648978      weak  
  977     0.41285186238271254      weak  
  986     0.41919766329774877      weak  
  1010     0.3933621113035388      weak  
  1030     0.36224054591981797      weak  
  1036     0.39611497402228135      weak  
  1037     0.35267660971385734      weak  
  1052     0.3635329697314343      weak  
  1075     0.4245353736397239      weak  
  1081     0.4398247473311449      weak  
  1098     0.39385323235195285      weak  
  1119     0.35727763848321137      weak  
  1123     0.35038901956729646      weak  
  1125     0.3721663607930313      weak  
  1128     0.38514229586165893      weak  
  1132     0.4544679091167577      weak  
  1196     0.3679659834052783      weak  
  1198     0.4026029415565952      weak  
  1213     0.35606276010029203      weak  
  1221     0.4314886137462196      weak  
  1229     0.6062889342673249      weak  
  1254     0.4200765114896477      weak  
  1263     0.3994623516943676      weak  
  1295     0.350737973996433      weak  
  1297     0.4813115516840282      weak  
  1325     0.4086256365187272      weak  
  1371     0.540646728875333      weak  
  1392     0.4449815183394939      weak  
  1398     0.42198929873083996      weak  
  1405     0.6003050120195417      weak  
  1415     0.43853232351952853      weak  
  1418     0.35153927675963503      weak  
  1428     0.3955204590689379      weak  
  1459     0.37591438984671854      weak  
  1482     0.3663892263551064      weak  
  1510     0.36205960658619174      weak  
  1519     0.4876185798847158      weak  
  1525     0.4181120272959909      weak  
  1527     0.4846201566417659      weak  
  1534     0.3806834337115827      weak  
  1541     0.35598521467159516      weak  
  1548     0.41667743686509684      weak  
  1562     0.36088350091762095      weak  
  1587     0.5239744617054826      weak  
  1619     0.5076640732028848      weak  
  1637     0.4444645488148474      weak  
  1649     0.5367306847261355      weak  
  1657     0.40092279060149405      weak  
  1711     0.36363636363636365      weak  
  1747     0.43959211104505397      weak  
  1755     0.37877064647039055      weak  
  1775     0.3671776048801923      weak  
  1778     0.41459663452839457      weak  
  1786     0.3792746917569209      weak  
  1793     0.41428645281360665      weak  
  1795     0.36859927107297025      weak  
  1804     0.4384030811383669      weak  
  1814     0.37243776979347065      weak  
  1821     0.44975056220435805      weak  
  1836     0.4574663323597075      weak  
  1846     0.3514875798071704      weak  
  1859     0.3870938558171996      weak  
  1870     0.4273140848346991      weak  
  1878     0.3949130198774782      weak  
  1902     0.6562798873006437      weak  
  1938     0.5234962648951845      weak  
  1948     0.48699821645513997      weak  
  1953     0.44991857729986817      weak  
  1956     0.3565926538630548      weak  
  1968     0.6471166024762841      weak  
  1978     0.36781089254788435      weak  
  1988     0.40925892418641935      weak  
  1992     0.35716132034016596      weak  
  1993     0.3913976271098819      weak  
  1995     0.4806265670638716      weak  
  2001     0.3774394499444258      weak  
  2002     0.4153203918628997      weak  
  2016     0.35315480652415543      weak  
  2026     0.5580944503321531      weak  
  2030     0.5082715123943443      weak  
  2037     0.36593687802104063      weak  
  2044     0.37040866440923303      weak  
  2046     0.4329619768914624      weak  
  2050     0.4483030475353478      weak  
  2058     0.520045493318169      weak  
  2059     0.5839946235169438      weak  
  2068     0.4226613591128804      weak  
  2073     0.4426810039548169      weak  
  2076     0.44772145682012054      weak  
  2084     0.38679659834052793      weak  
  2086     0.4027192596996407      weak  
  2096     0.37238607284100605      weak  
  2103     0.422079768397653      weak  
  2122     0.4420606405252412      weak  
  2124     0.38418590224106286      weak  
  2127     0.37591438984671854      weak  
  2129     0.35156512523586736      weak  
  2133     0.4576214232171014      weak  
  2143     0.3545764727169333      weak  
  2154     0.4377439449944426      weak  
  2155     0.4699640706180371      weak  
  2176     0.3539690335254736      weak  
  2180     0.37853801018429967      weak  
  2184     0.5740817328818466      weak  
  2191     0.4160312249592886      weak  
  2268     0.5662884172978003      weak  
  2282     0.39840256416884223      weak  
  2289     0.37371726936697086      weak  
  2303     0.3567865174347972      weak  
  2305     0.5851836534236309      weak  
  2314     0.6231292165326855      weak  
  2360     0.3700080130276321      weak  
  2373     0.394253883733554      weak  
  2383     0.35160389795021585      weak  
  2421     0.35402073047793825      weak  
  2426     0.483586217592473      weak  
  2451     0.43291027993899756      weak  
  2464     0.36607904464031843      weak  
  2466     0.428024917931088      weak  
  2468     0.35581719957608504      weak  
  2472     0.43504277922816453      weak  
  2474     0.40200842660325176      weak  
  2496     0.40769509137436366      weak  
  2497     0.43534003670483634      weak  
  2501     0.4120764080957428      weak  
  2523     0.46737922299480456      weak  
  2529     0.4244707524491431      weak  
  2531     0.3912166877762557      weak  
  2539     0.43462920360844726      weak  
  2569     0.40950448471062634      weak  
  2577     0.4325871739860935      weak  
  2580     0.4476568356295397      weak  
  2593     0.3867578256261792      weak  
  2607     0.44478765476775145      weak  
  2614     0.38951068834492203      weak  
  2621     0.38448315971773467      weak  
  2628     0.37046036136169774      weak  
  2642     0.4249747977356735      weak  
  2658     0.4623258458913847      weak  
  2662     0.3860340682916742      weak  
  2680     0.5187401452684366      weak  
  2687     0.46784449556698654      weak  
  2712     0.36087057667950473      weak  
  2721     0.38347506914467394      weak  
  2730     0.4306097655543207      weak  
  2738     0.36933595264559155      weak  
  2744     0.4948303047535348      weak  
  2752     0.414868043528834      weak  
  2765     0.4689559800449765      weak  
  2778     0.44436115490991807      weak  
  2820     0.5352573215808928      weak  
  2829     0.4164448005790059      weak  
  2830     0.48487864140408937      weak  
  2834     0.3881019463902603      weak  
  2842     0.3865510378163209      weak  
  2862     0.511967844495567      weak  
  2872     0.5227595833225632      weak  
  2882     0.5257967792798615      weak  
  2896     0.47477188719724983      weak  
  2900     0.46042598288830877      weak  
  2904     0.6401762866079046      weak  
  2926     0.47801587096440673      weak  
  2934     0.42914932664719413      weak  
  2941     0.38017938842505233      weak  
  2969     0.6276785483495749      weak  
  2981     0.44582159381704456      weak  
  2998     0.3792359190425724      weak  
  3008     0.4841031871171194      weak  
  3020     0.5286401116654175      weak  
  3034     0.38995011244087163      weak  
  3057     0.3963346860702563      weak  
  3069     0.4187194664874506      weak  
  3080     0.5087755576808748      weak  
  3082     0.4308940987928762      weak  
  3089     0.46432910279939      weak  
  3103     0.3888257037247656      weak  
  3179     0.4034688655103782      weak  
  3241     0.37267040607956164      weak  
  3250     0.40269341122340835      weak  
  3292     0.39562385297386743      weak  
  3302     0.43035128079199725      weak  
  3310     0.526714400186109      weak  
  3326     0.43517202160932617      weak  
  3330     0.3713133610773645      weak  
  3356     0.35862175924729234      weak  
  3374     0.524400961563316      weak  
  3387     0.39469330782950346      weak  
  3408     0.4236436012097087      weak  
  3414     0.38944606715434127      weak  
  3422     0.4054462739421511      weak  
  3438     0.40141391164990825      weak  
  3439     0.4863003075968672      weak  
  3465     0.472019024478507      weak  
  3486     0.3538139426680797      weak  
  3541     0.39718768578592295      weak  
  3548     0.44110424690464506      weak  
  3574     0.36467030268565664      weak  
  3590     0.39199214206322536      weak  
  3642     0.4414273528575492      weak  
  3662     0.4779124770594775      weak  
  3666     0.3973169281670846      weak  
  3739     0.36618243854524773      weak  
  3751     0.40394706232067623      weak  
  3760     0.35102230723498845      weak  
  3792     0.3808385245689767      weak  
  3812     0.5065655129630109      weak  
  3816     0.3662341354977124      weak  
  3826     0.48291415721043257      weak  
  3845     0.3511903223304987      weak  
  3855     0.38560756843384086      weak  
  3903     0.45530798459430816      weak  
  3918     0.4030811383668933      weak  
  3977     0.45227078863700987      weak  
  3987     0.4469072298188022      weak  
  4017     0.3675136350712126      weak  
  4031     0.38549125029079534      weak  
  4034     0.5774678832682815      weak  
  4072     0.47857161320340164      weak  
  4097     0.3616589552045906      weak  
  4106     0.40375319874893373      weak  
  4118     0.43730452089849303      weak  
  4139     0.544937575929899      weak  
  4158     0.4352366427999069      weak  
  4173     0.5048982862460258      weak  
  4180     0.46124020988962705      weak  
  4188     0.42834802388399207      weak  
  4216     0.49784165223460075      weak  
  4257     0.4113397265231214      weak  
  4293     0.38580143200558326      weak  
  4323     0.42779228164499705      weak  
  4357     0.4238762374957996      weak  
  4387     0.4856153229767105      weak  
  4391     0.3527670793806705      weak  
  4398     0.3745314963682891      weak  
  4405     0.3962442164034431      weak  
  4412     0.5017189236694498      weak  
  4437     0.5180939333626284      weak  
  4537     0.35056995890092274      weak  
  4548     0.4149972859099955      weak  
  4558     0.4432367461938119      weak  
  4626     0.3973040039289684      weak  
  4628     0.6136686742316542      weak  
  4657     0.4137565590508439      weak  
  4675     0.5230826892754673      weak  
  4699     0.357639517150464      weak  
  4703     0.4923488510352314      weak  
  4713     0.3673843926900509      weak  
  4723     0.4416987618579886      weak  
  4731     0.4748494326259468      weak  
  4735     0.4018921084602063      weak  
  4758     0.7028071445188306      strong  
  4762     0.44544679091167577      weak  
  4770     0.44238374647814516      weak  
  4777     0.4462868663892264      weak  
  4802     0.45501072711763646      weak  
  4808     0.36399824230361627      weak  
  4832     0.38100653966448683      weak  
  4840     0.4480057900586761      weak  
  4861     0.4587199834569753      weak  
  4865     0.3887481582960684      weak  
  4881     0.4109132266652881      weak  
  4884     0.36682865045105595      weak  
  4888     0.38533615943340144      weak  
  4907     0.38497428076614876      weak  
  4925     0.5276578695685891      weak  
  4950     0.3675007108330964      weak  
  4969     0.4107322873316618      weak  
  4978     0.4329232041771138      weak  
  4985     0.5654741902964819      weak  
  4988     0.3608835009176209      weak  
  4989     0.36230516711039884      weak  
  5020     0.5983405278258846      weak  
  5102     0.3712875126011322      weak  
  5109     0.40261586579471137      weak  
  5157     0.36454106030449507      weak  
  5160     0.5008271512394346      weak  
  5174     0.44845813839274173      weak  
  5203     0.39106159691886166      weak  
  5210     0.37569467779874377      weak  
  5238     0.36672525654612664      weak  
  5242     0.35520976038462526      weak  
  5255     0.43278103755783603      weak  
  5288     0.41137849923746994      weak  
  5309     0.519967947889472      weak  
  5322     0.38509059890919445      weak  
  5344     0.3960503528317006      weak  
