# searching chr1
# for transcription factor YDR026C
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  1779     1.0      strong  
  4807     1.0      strong  
  6433     1.0      strong  
  7760     1.0      strong  
  9208     1.0      strong  
  11732     1.0      strong  
  24164     1.0      strong  
  25068     1.0      strong  
  27519     1.0      strong  
  28201     1.0      strong  
  32601     1.0      strong  
  37901     1.0      strong  
  38590     1.0      strong  
  39095     1.0      strong  
  39149     1.0      strong  
  40426     1.0      strong  
  40839     1.0      strong  
  43547     1.0      strong  
  44356     1.0      strong  
  44806     1.0      strong  
  51956     1.0      strong  
  54767     1.0      strong  
  62828     1.0      strong  
  62852     1.0      strong  
  64066     1.0      strong  
  68397     1.0      strong  
  68743     1.0      strong  
  71055     1.0      strong  
  75936     1.0      strong  
  81495     1.0      strong  
  86172     1.0      strong  
  90914     1.0      strong  
  92660     1.0      strong  
  97214     1.0      strong  
  106595     1.0      strong  
  108185     1.0      strong  
  108527     1.0      strong  
  109175     1.0      strong  
  110935     1.0      strong  
  111565     1.0      strong  
  114081     1.0      strong  
  114854     1.0      strong  
  117254     1.0      strong  
  124694     1.0      strong  
  129928     1.0      strong  
  130321     1.0      strong  
  130435     1.0      strong  
  147475     1.0      strong  
  154414     1.0      strong  
  162655     1.0      strong  
  162811     1.0      strong  
  167941     1.0      strong  
  169126     1.0      strong  
  170350     1.0      strong  
  182719     1.0      strong  
  186797     1.0      strong  
  190158     1.0      strong  
  190460     1.0      strong  
  191105     1.0      strong  
  192150     1.0      strong  
  193189     1.0      strong  
  197109     1.0      strong  
  199619     1.0      strong  
  200635     1.0      strong  
  210577     1.0      strong  
  211464     1.0      strong  
  215683     1.0      strong  
  218290     1.0      strong  
  225278     1.0      strong  
# 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# The number of weak sites for the forwards direction is 0
# The number of strong sites for the forwards direction is 69


# The following is the outputs of the program in the reverse compliment direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  857     1.0      strong  
  2159     1.0      strong  
  2172     1.0      strong  
  2573     1.0      strong  
  3132     1.0      strong  
  3567     1.0      strong  
  4520     1.0      strong  
  4606     1.0      strong  
  4799     1.0      strong  
  5093     1.0      strong  
  5274     1.0      strong  
  5381     1.0      strong  
  6391     1.0      strong  
  7618     1.0      strong  
  9196     1.0      strong  
  9249     1.0      strong  
  9612     1.0      strong  
  9853     1.0      strong  
  10662     1.0      strong  
  10701     1.0      strong  
  10736     1.0      strong  
  10847     1.0      strong  
  11182     1.0      strong  
  13195     1.0      strong  
  14290     1.0      strong  
  14560     1.0      strong  
  14666     1.0      strong  
  15004     1.0      strong  
  15646     1.0      strong  
  17445     1.0      strong  
  17585     1.0      strong  
  17600     1.0      strong  
  17614     1.0      strong  
  18048     1.0      strong  
  18145     1.0      strong  
  18351     1.0      strong  
  18802     1.0      strong  
  18884     1.0      strong  
  18973     1.0      strong  
  19931     1.0      strong  
  20515     1.0      strong  
  21560     1.0      strong  
  21635     1.0      strong  
  22000     1.0      strong  
  23217     1.0      strong  
  23892     1.0      strong  
  23900     1.0      strong  
  25360     1.0      strong  
  27159     1.0      strong  
  27297     1.0      strong  
  28110     1.0      strong  
  28766     1.0      strong  
  29467     1.0      strong  
  30001     1.0      strong  
  30241     1.0      strong  
  30836     1.0      strong  
  31951     1.0      strong  
  33130     1.0      strong  
  33370     1.0      strong  
  33559     1.0      strong  
  33835     1.0      strong  
  33845     1.0      strong  
  33882     1.0      strong  
  34242     1.0      strong  
  34856     1.0      strong  
  35266     1.0      strong  
  36316     1.0      strong  
  36337     1.0      strong  
  36375     1.0      strong  
  36684     1.0      strong  
  37970     1.0      strong  
  38020     1.0      strong  
  38864     1.0      strong  
  38906     1.0      strong  
  39459     1.0      strong  
  39497     1.0      strong  
  39531     1.0      strong  
  39754     1.0      strong  
  40140     1.0      strong  
  40407     1.0      strong  
  40770     1.0      strong  
  40820     1.0      strong  
  41222     1.0      strong  
  41424     1.0      strong  
  42665     1.0      strong  
  43141     1.0      strong  
  43841     1.0      strong  
  45180     1.0      strong  
  45323     1.0      strong  
  45527     1.0      strong  
  45806     1.0      strong  
  46008     1.0      strong  
  46326     1.0      strong  
  46914     1.0      strong  
  46978     1.0      strong  
  47156     1.0      strong  
  47520     1.0      strong  
  47559     1.0      strong  
  47568     1.0      strong  
  47604     1.0      strong  
  48243     1.0      strong  
  49546     1.0      strong  
  49738     1.0      strong  
  50425     1.0      strong  
  51668     1.0      strong  
  51886     1.0      strong  
  52400     1.0      strong  
  52594     1.0      strong  
  52788     1.0      strong  
  52821     1.0      strong  
  53072     1.0      strong  
  53151     1.0      strong  
  54845     1.0      strong  
  55154     1.0      strong  
  55319     1.0      strong  
  55438     1.0      strong  
  55531     1.0      strong  
  55578     1.0      strong  
  55593     1.0      strong  
  56503     1.0      strong  
  58411     1.0      strong  
  58635     1.0      strong  
  59225     1.0      strong  
  59363     1.0      strong  
  59665     1.0      strong  
  60157     1.0      strong  
  61098     1.0      strong  
  62055     1.0      strong  
  62082     1.0      strong  
  62788     1.0      strong  
  62883     1.0      strong  
  63411     1.0      strong  
  63726     1.0      strong  
  63810     1.0      strong  
  64354     1.0      strong  
  65722     1.0      strong  
  65745     1.0      strong  
  65943     1.0      strong  
  66270     1.0      strong  
  66449     1.0      strong  
  66602     1.0      strong  
  66704     1.0      strong  
  66923     1.0      strong  
  67031     1.0      strong  
  67834     1.0      strong  
