# searching chr1
# for transcription factor NRG1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  7     0.5036882497578422      weak  
  15     0.5036882497578422      weak  
  45     0.5036882497578422      weak  
  70     0.36815438491915653      weak  
  240     0.42537813873779895      weak  
  307     0.36815438491915653      weak  
  563     0.5101706281201103      weak  
  630     0.773414797705089      strong  
  1244     0.36167200655688847      weak  
  1321     0.42537813873779895      weak  
  1777     0.5673943819387527      weak  
  2056     0.5036882497578422      weak  
  2266     0.5101706281201103      weak  
  2512     0.5673943819387527      weak  
  2577     1.0      strong  
  3306     0.40496237240146044      weak  
  3513     0.5042098204306683      weak  
  3758     0.5673943819387527      weak  
  3830     0.40496237240146044      weak  
  3841     0.4001937262499069      weak  
  4234     0.4884881901497654      weak  
  4805     0.7255793159973176      strong  
  4848     0.6997988227404814      weak  
  4982     0.3529543253110797      weak  
  5017     0.5673943819387527      weak  
  5532     1.0      strong  
  5555     0.40496237240146044      weak  
  5811     0.5590492511735341      weak  
  5847     0.6618731838164073      weak  
  6486     0.4134565233589152      weak  
  6644     1.0      strong  
  6731     0.40496237240146044      weak  
  7418     0.5673943819387527      weak  
  7575     0.5111392593696445      weak  
  7636     0.4732136204455704      weak  
  7758     0.5673943819387527      weak  
  8073     0.4884881901497654      weak  
  8170     0.5716414574174802      weak  
  8171     0.49899411370240665      weak  
  8255     0.5631473064600253      weak  
  8646     0.6683555621786753      weak  
  8958     0.5673943819387527      weak  
  9206     0.6618731838164073      weak  
  9322     0.4136800536472691      weak  
  9491     0.4134565233589152      weak  
  10537     0.4001937262499069      weak  
  11676     0.4134565233589152      weak  
  11746     0.4001937262499069      weak  
  11964     0.4001937262499069      weak  
  12139     0.37590343491543105      weak  
  12921     0.40496237240146044      weak  
  13540     0.6152298636465241      weak  
  13945     0.5631473064600253      weak  
  14309     0.4417703598837643      weak  
  14346     0.4732136204455704      weak  
  15010     0.4134565233589152      weak  
  15031     0.5111392593696445      weak  
  15683     0.7255793159973176      strong  
  15918     0.6152298636465241      weak  
  16396     0.40496237240146044      weak  
  18187     0.36167200655688847      weak  
  18344     0.5673943819387527      weak  
  19236     0.40496237240146044      weak  
  19722     0.6618731838164073      weak  
  19949     0.6683555621786753      weak  
  19967     0.6152298636465241      weak  
  20082     0.5590492511735341      weak  
  20100     0.3529543253110797      weak  
  20256     0.4134565233589152      weak  
  20334     0.37590343491543105      weak  
  20476     0.42537813873779895      weak  
  20665     0.3529543253110797      weak  
  20689     0.3529543253110797      weak  
  21665     0.4417703598837643      weak  
  21793     0.5042098204306683      weak  
  21879     0.3529543253110797      weak  
  21880     0.37225244020564785      weak  
  22126     0.4136800536472691      weak  
  22241     0.4001937262499069      weak  
  22327     0.773414797705089      strong  
  22343     0.37590343491543105      weak  
  22697     0.4389389762312793      weak  
  22707     0.4134565233589152      weak  
  23094     0.4417703598837643      weak  
  23268     1.0      strong  
  24021     0.5042098204306683      weak  
  24108     0.4134565233589152      weak  
  24162     0.42537813873779895      weak  
  24178     0.4001937262499069      weak  
  24510     0.4134565233589152      weak  
  24571     0.37590343491543105      weak  
  25066     0.7255793159973176      strong  
  25086     0.40496237240146044      weak  
  25333     0.5042098204306683      weak  
  27219     0.6683555621786753      weak  
  27280     0.6683555621786753      weak  
  27348     0.6152298636465241      weak  
  27516     0.40496237240146044      weak  
  27517     0.7255793159973176      strong  
  27753     0.40496237240146044      weak  
  27754     0.7255793159973176      strong  
  28199     0.36167200655688847      weak  
  28434     0.6683555621786753      weak  
  28498     0.4134565233589152      weak  
  28878     0.36815438491915653      weak  
  28958     0.37590343491543105      weak  
  29278     0.4134565233589152      weak  
  30329     0.40496237240146044      weak  
  30330     0.7255793159973176      strong  
