# searching chr1
# for transcription factor GTS1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  71     0.42906120802662095      weak  
  119     0.42906120802662095      weak  
  129     0.42906120802662095      weak  
  147     0.42906120802662095      weak  
  162     0.7480084703035191      strong  
  167     1.0      strong  
  177     0.7480084703035191      strong  
  199     0.3672481597257235      weak  
  202     1.0      strong  
  219     0.42906120802662095      weak  
  230     0.42906120802662095      weak  
  255     0.42906120802662095      weak  
  260     1.0      strong  
  266     0.42906120802662095      weak  
  271     1.0      strong  
  308     0.42906120802662095      weak  
  360     0.42906120802662095      weak  
  365     1.0      strong  
  375     1.0      strong  
  448     1.0      strong  
  462     0.42906120802662095      weak  
  509     0.4885550065544014      weak  
  515     1.0      strong  
  564     0.42906120802662095      weak  
  578     0.42906120802662095      weak  
  670     1.0      strong  
  692     1.0      strong  
  745     0.4885550065544014      weak  
  808     0.5606534234143389      weak  
  817     0.7405465362508822      strong  
  825     0.7405465362508822      strong  
  1033     0.5921145507714025      weak  
  1191     0.7405465362508822      strong  
  1204     0.3672481597257235      weak  
  1242     1.0      strong  
  1382     1.0      strong  
  1578     0.8441060804678834      strong  
  1716     0.7405465362508822      strong  
  1826     0.8441060804678834      strong  
  1876     1.0      strong  
  1922     0.8441060804678834      strong  
  2042     0.7405465362508822      strong  
  2120     0.5606534234143389      weak  
  2267     0.42906120802662095      weak  
  2398     0.4885550065544014      weak  
  2797     0.7405465362508822      strong  
  2826     0.8441060804678834      strong  
  2837     0.5606534234143389      weak  
  3308     0.7480084703035191      strong  
  3464     0.5606534234143389      weak  
  3551     0.3672481597257235      weak  
  3744     0.4885550065544014      weak  
  3799     0.7480084703035191      strong  
  3810     0.42906120802662095      weak  
  3911     0.7480084703035191      strong  
  4074     0.5921145507714025      weak  
  4092     0.5846526167187657      weak  
  4209     0.5606534234143389      weak  
  4444     0.7405465362508822      strong  
  4599     0.5606534234143389      weak  
  4699     0.7480084703035191      strong  
  4816     0.8441060804678834      strong  
  4898     0.7405465362508822      strong  
  5246     0.4885550065544014      weak  
  5322     0.4885550065544014      weak  
  5448     0.5606534234143389      weak  
  5470     0.5606534234143389      weak  
  5649     0.4885550065544014      weak  
  5659     0.4885550065544014      weak  
  5752     0.5846526167187657      weak  
  5868     0.3672481597257235      weak  
