# searching chr1
# for transcription factor GAL80
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  81     0.40968342644320294      weak  
  542     0.4096834264432028      weak  
  890     0.40968342644320294      weak  
  967     0.4096834264432028      weak  
  988     0.40968342644320294      weak  
  1197     0.4096834264432028      weak  
  1450     0.4096834264432028      weak  
  1707     0.4096834264432028      weak  
  1814     0.40968342644320294      weak  
  1934     0.40968342644320294      weak  
  1961     0.4096834264432028      weak  
  2045     0.40968342644320294      weak  
  2126     0.40968342644320294      weak  
  2255     0.40968342644320294      weak  
  2491     0.40968342644320294      weak  
  2638     1.0      strong  
  2774     0.4096834264432028      weak  
  2912     0.4096834264432028      weak  
  2963     0.40968342644320294      weak  
  3056     0.40968342644320294      weak  
  3367     0.4096834264432028      weak  
  3368     0.40968342644320294      weak  
  3609     0.40968342644320294      weak  
  3787     0.40968342644320294      weak  
  3820     0.40968342644320294      weak  
  4224     0.40968342644320294      weak  
  4385     0.40968342644320294      weak  
  5364     0.40968342644320294      weak  
  5531     0.40968342644320294      weak  
  6362     0.40968342644320294      weak  
  6436     0.4096834264432028      weak  
  6441     0.40968342644320294      weak  
  6446     0.40968342644320294      weak  
  6476     0.40968342644320294      weak  
  7013     0.4096834264432028      weak  
  7408     0.40968342644320294      weak  
  7477     0.4096834264432028      weak  
  7908     0.40968342644320294      weak  
  8161     1.0      strong  
  8164     0.40968342644320294      weak  
  8179     0.40968342644320294      weak  
  8288     0.40968342644320294      weak  
  8362     0.40968342644320294      weak  
  8924     0.40968342644320294      weak  
  8928     0.40968342644320294      weak  
  9496     0.40968342644320294      weak  
  10063     0.4096834264432028      weak  
  11588     0.4096834264432028      weak  
  11666     0.40968342644320294      weak  
  11735     0.40968342644320294      weak  
  11768     0.4096834264432028      weak  
  12377     0.4096834264432028      weak  
  12911     0.40968342644320294      weak  
  13268     0.40968342644320294      weak  
  13641     0.40968342644320294      weak  
  14335     0.40968342644320294      weak  
  14522     0.40968342644320294      weak  
  14543     1.0      strong  
  14677     0.4096834264432028      weak  
  14683     0.40968342644320294      weak  
  15001     0.40968342644320294      weak  
  15200     0.40968342644320294      weak  
  15333     0.40968342644320294      weak  
  15358     0.40968342644320294      weak  
  15414     0.40968342644320294      weak  
  15510     0.40968342644320294      weak  
  15518     0.40968342644320294      weak  
  15720     0.40968342644320294      weak  
  15730     0.40968342644320294      weak  
  15907     0.40968342644320294      weak  
  16304     0.40968342644320294      weak  
  17064     0.40968342644320294      weak  
  17706     0.40968342644320294      weak  
  17782     0.40968342644320294      weak  
  17809     0.4096834264432028      weak  
  18141     0.4096834264432028      weak  
  18333     0.40968342644320294      weak  
  18386     0.40968342644320294      weak  
  18400     0.40968342644320294      weak  
  18456     0.4096834264432028      weak  
  18555     0.40968342644320294      weak  
  18669     0.40968342644320294      weak  
  18670     0.40968342644320294      weak  
  18742     0.40968342644320294      weak  
  18850     0.4096834264432028      weak  
  18891     0.40968342644320294      weak  
  19226     0.40968342644320294      weak  
  19432     0.4096834264432028      weak  
  19745     1.0      strong  
  19994     0.40968342644320294      weak  
  20090     0.40968342644320294      weak  
  20630     1.0      strong  
  20679     0.40968342644320294      weak  
  20921     0.40968342644320294      weak  
  20979     0.40968342644320294      weak  
  21081     0.40968342644320294      weak  
  21535     0.40968342644320294      weak  
  21656     0.40968342644320294      weak  
  21663     0.40968342644320294      weak  
  21792     0.4096834264432028      weak  
  22132     0.40968342644320294      weak  
  23776     0.4096834264432028      weak  
  23793     0.40968342644320294      weak  
  24167     0.40968342644320294      weak  
  24200     0.4096834264432028      weak  
  24830     0.4096834264432028      weak  
  25055     0.40968342644320294      weak  
  25076     0.40968342644320294      weak  
  25508     0.4096834264432028      weak  
  25565     0.40968342644320294      weak  
  25649     0.40968342644320294      weak  
  25700     0.40968342644320294      weak  
  26915     0.40968342644320294      weak  
  27050     0.40968342644320294      weak  
  27293     0.4096834264432028      weak  
  27367     0.40968342644320294      weak  
  27449     0.40968342644320294      weak  
  27572     0.40968342644320294      weak  
  28189     0.40968342644320294      weak  
  28621     0.40968342644320294      weak  
  29516     0.40968342644320294      weak  
  29870     0.40968342644320294      weak  
  29971     0.40968342644320294      weak  
  30356     0.4096834264432028      weak  
  30393     0.40968342644320294      weak  
  31685     0.40968342644320294      weak  
  31890     0.4096834264432028      weak  
  31994     0.40968342644320294      weak  
  32035     0.40968342644320294      weak  
  32055     0.40968342644320294      weak  
  32133     0.40968342644320294      weak  
  32364     0.40968342644320294      weak  
  32490     0.40968342644320294      weak  
  32526     0.40968342644320294      weak  
  32562     0.40968342644320294      weak  
  32660     0.40968342644320294      weak  
  32697     1.0      strong  
  32712     0.40968342644320294      weak  
  32761     0.4096834264432028      weak  
  32805     0.40968342644320294      weak  
  32874     0.40968342644320294      weak  
  33468     0.4096834264432028      weak  
  33666     0.40968342644320294      weak  
  33728     0.40968342644320294      weak  
  33762     0.40968342644320294      weak  
  33763     1.0      strong  
  33953     0.40968342644320294      weak  
  34101     0.40968342644320294      weak  
  34227     0.40968342644320294      weak  
  34254     0.40968342644320294      weak  
  34308     0.40968342644320294      weak  
  34506     1.0      strong  
  34853     0.40968342644320294      weak  
  34892     0.40968342644320294      weak  
  34906     1.0      strong  
  35038     0.40968342644320294      weak  
  35056     0.40968342644320294      weak  
  35660     0.40968342644320294      weak  
  36044     0.40968342644320294      weak  
  36214     0.40968342644320294      weak  
  36624     1.0      strong  
  36937     0.40968342644320294      weak  
  37089     0.40968342644320294      weak  
  37117     0.4096834264432028      weak  
  37362     0.40968342644320294      weak  
  37936     1.0      strong  
  37961     0.40968342644320294      weak  
  38167     0.40968342644320294      weak  
  38194     0.40968342644320294      weak  
  38238     0.40968342644320294      weak  
  38289     1.0      strong  
  38290     0.40968342644320294      weak  
  38323     0.40968342644320294      weak  
  38346     0.40968342644320294      weak  
  38420     0.40968342644320294      weak  
  38422     0.40968342644320294      weak  
  38560     0.40968342644320294      weak  
  38563     0.40968342644320294      weak  
  38577     0.40968342644320294      weak  
  38578     1.0      strong  
  38745     0.40968342644320294      weak  
  38762     0.40968342644320294      weak  
  38771     0.40968342644320294      weak  
  39255     0.40968342644320294      weak  
  39288     1.0      strong  
  40008     0.40968342644320294      weak  
  40047     0.4096834264432028      weak  
  40076     0.40968342644320294      weak  
  40091     0.40968342644320294      weak  
  40328     0.40968342644320294      weak  
  40331     0.40968342644320294      weak  
  40776     0.40968342644320294      weak  
  40791     0.4096834264432028      weak  
  40895     0.40968342644320294      weak  
  41144     1.0      strong  
  41192     0.40968342644320294      weak  
  41603     0.40968342644320294      weak  
  41864     0.40968342644320294      weak  
  42382     0.40968342644320294      weak  
  42430     0.40968342644320294      weak  
  42438     0.40968342644320294      weak  
  42564     0.4096834264432028      weak  
  42813     0.40968342644320294      weak  
  43165     0.40968342644320294      weak  
  43216     0.4096834264432028      weak  
  43351     0.40968342644320294      weak  
  43450     0.4096834264432028      weak  
  43580     0.4096834264432028      weak  
  43681     0.40968342644320294      weak  
  43738     0.40968342644320294      weak  
  43845     0.40968342644320294      weak  
  43990     0.40968342644320294      weak  
  44020     0.4096834264432028      weak  
  44044     0.40968342644320294      weak  
  44371     1.0      strong  
  44391     0.40968342644320294      weak  
  44443     1.0      strong  
  44455     0.40968342644320294      weak  
  44527     0.40968342644320294      weak  
  44533     0.40968342644320294      weak  
  44623     0.40968342644320294      weak  
  44634     0.40968342644320294      weak  
  44734     0.40968342644320294      weak  
  44842     0.4096834264432028      weak  
  44873     0.40968342644320294      weak  
  45171     0.40968342644320294      weak  
  45188     0.40968342644320294      weak  
  45189     0.40968342644320294      weak  
  45233     0.40968342644320294      weak  
  45241     0.4096834264432028      weak  
  45244     1.0      strong  
  45423     0.40968342644320294      weak  
  45472     0.40968342644320294      weak  
  45955     1.0      strong  
  45993     0.40968342644320294      weak  
  46276     0.40968342644320294      weak  
  46303     1.0      strong  
  46371     1.0      strong  
  46385     0.40968342644320294      weak  
  46443     0.4096834264432028      weak  
  46474     0.40968342644320294      weak  
  46507     0.40968342644320294      weak  
  46628     0.40968342644320294      weak  
  46830     0.4096834264432028      weak  
  47202     0.40968342644320294      weak  
  48003     0.40968342644320294      weak  
  48012     0.40968342644320294      weak  
  48208     0.4096834264432028      weak  
  48211     0.40968342644320294      weak  
  48481     0.40968342644320294      weak  
  48865     0.40968342644320294      weak  
  49358     0.40968342644320294      weak  
  49451     0.40968342644320294      weak  
  49497     0.40968342644320294      weak  
  49498     0.40968342644320294      weak  
  49689     0.40968342644320294      weak  
  49690     1.0      strong  
  49918     0.4096834264432028      weak  
  50275     0.40968342644320294      weak  
  50364     0.40968342644320294      weak  
  50470     0.40968342644320294      weak  
  50511     0.40968342644320294      weak  
  50762     0.4096834264432028      weak  
  50917     1.0      strong  
  50960     0.40968342644320294      weak  
  51316     0.40968342644320294      weak  
  51368     0.40968342644320294      weak  
  51586     0.40968342644320294      weak  
  52044     1.0      strong  
  52148     0.40968342644320294      weak  
  52187     1.0      strong  
  52406     0.4096834264432028      weak  
  52475     0.40968342644320294      weak  
  52578     0.40968342644320294      weak  
  52938     0.40968342644320294      weak  
  52939     0.40968342644320294      weak  
  53259     0.40968342644320294      weak  
  53353     1.0      strong  
  53367     0.40968342644320294      weak  
  53368     0.40968342644320294      weak  
  53412     0.40968342644320294      weak  
  53489     1.0      strong  
  53970     0.40968342644320294      weak  
  54232     0.40968342644320294      weak  
  54233     0.40968342644320294      weak  
  54459     0.40968342644320294      weak  
  54460     0.40968342644320294      weak  
  54482     0.40968342644320294      weak  
  54555     0.4096834264432028      weak  
  54670     0.40968342644320294      weak  
  54694     0.40968342644320294      weak  
  54731     0.40968342644320294      weak  
  54732     0.40968342644320294      weak  
  54755     0.40968342644320294      weak  
  55105     0.40968342644320294      weak  
  55165     0.40968342644320294      weak  
  55166     0.40968342644320294      weak  
  55193     0.40968342644320294      weak  
  55754     0.40968342644320294      weak  
  55807     0.4096834264432028      weak  
  56083     0.40968342644320294      weak  
  56159     0.40968342644320294      weak  
  56300     0.40968342644320294      weak  
  56723     0.40968342644320294      weak  
  56829     0.40968342644320294      weak  
  57067     0.40968342644320294      weak  
  57090     0.40968342644320294      weak  
  57187     0.40968342644320294      weak  
  57202     0.4096834264432028      weak  
  57256     0.4096834264432028      weak  
  57275     0.4096834264432028      weak  
  57576     0.40968342644320294      weak  
  57583     0.4096834264432028      weak  
  57689     0.40968342644320294      weak  
  57743     0.40968342644320294      weak  
  57779     0.40968342644320294      weak  
  58064     0.40968342644320294      weak  
  58147     0.4096834264432028      weak  
  58162     1.0      strong  
  58192     0.40968342644320294      weak  
  58255     0.40968342644320294      weak  
  58431     0.4096834264432028      weak  
  58485     0.40968342644320294      weak  
  58548     0.40968342644320294      weak  
  59233     0.4096834264432028      weak  
  59331     0.40968342644320294      weak  
  59438     0.4096834264432028      weak  
  59439     0.40968342644320294      weak  
  59598     0.40968342644320294      weak  
  59649     0.40968342644320294      weak  
  60038     0.40968342644320294      weak  
  60441     0.40968342644320294      weak  
  60681     0.40968342644320294      weak  
  60732     0.4096834264432028      weak  
  60783     0.40968342644320294      weak  
  60837     0.4096834264432028      weak  
  60852     0.40968342644320294      weak  
  60957     0.40968342644320294      weak  
  61020     0.40968342644320294      weak  
  61119     0.40968342644320294      weak  
  61193     0.40968342644320294      weak  
  61345     0.40968342644320294      weak  
  61369     0.40968342644320294      weak  
  61390     0.40968342644320294      weak  
  61464     0.40968342644320294      weak  
  61527     0.40968342644320294      weak  
  61693     0.40968342644320294      weak  
  61710     1.0      strong  
  62146     1.0      strong  
  62176     0.4096834264432028      weak  
  62193     0.40968342644320294      weak  
  62284     0.40968342644320294      weak  
  62296     0.40968342644320294      weak  
  62331     0.40968342644320294      weak  
  62434     0.40968342644320294      weak  
  62543     0.40968342644320294      weak  
  62865     0.4096834264432028      weak  
  62866     0.40968342644320294      weak  
  62952     0.40968342644320294      weak  
  62957     0.40968342644320294      weak  
  63131     0.40968342644320294      weak  
  63378     0.40968342644320294      weak  
  63952     0.40968342644320294      weak  
  64019     0.40968342644320294      weak  
  64264     0.40968342644320294      weak  
  64575     0.4096834264432028      weak  
  65018     0.40968342644320294      weak  
  65868     0.40968342644320294      weak  
  66007     0.40968342644320294      weak  
  66352     0.40968342644320294      weak  
  66555     0.40968342644320294      weak  
  66821     0.40968342644320294      weak  
  67098     0.40968342644320294      weak  
  67206     0.4096834264432028      weak  
  67240     0.40968342644320294      weak  
  67273     0.40968342644320294      weak  
  67445     0.40968342644320294      weak  
  67448     0.40968342644320294      weak  
  67466     0.4096834264432028      weak  
  67685     0.40968342644320294      weak  
  67769     0.4096834264432028      weak  
  67786     1.0      strong  
  68028     0.40968342644320294      weak  
  68177     0.40968342644320294      weak  
  68260     0.40968342644320294      weak  
  68296     0.4096834264432028      weak  
  68399     0.40968342644320294      weak  
  68518     0.40968342644320294      weak  
  68538     0.40968342644320294      weak  
  68731     0.40968342644320294      weak  
  68740     0.4096834264432028      weak  
  68746     0.40968342644320294      weak  
  68768     0.40968342644320294      weak  
  68847     0.40968342644320294      weak  
  68899     0.40968342644320294      weak  
  68913     0.40968342644320294      weak  
  68983     0.40968342644320294      weak  
  68996     0.40968342644320294      weak  
  69022     0.40968342644320294      weak  
  69091     0.40968342644320294      weak  
  69148     0.40968342644320294      weak  
  69174     0.40968342644320294      weak  
  69177     0.40968342644320294      weak  
  69235     0.40968342644320294      weak  
  69328     0.40968342644320294      weak  
  69349     0.4096834264432028      weak  
  69364     0.40968342644320294      weak  
  69507     0.40968342644320294      weak  
  69737     0.40968342644320294      weak  
  69738     0.40968342644320294      weak  
  69743     1.0      strong  
  69863     0.4096834264432028      weak  
  70108     0.40968342644320294      weak  
  70518     0.4096834264432028      weak  
  70587     0.40968342644320294      weak  
  70952     0.4096834264432028      weak  
  70963     1.0      strong  
  71036     0.4096834264432028      weak  
  71137     0.40968342644320294      weak  
  71160     0.4096834264432028      weak  
  71266     0.40968342644320294      weak  
  71866     0.4096834264432028      weak  
  71947     0.4096834264432028      weak  
  71994     0.40968342644320294      weak  
  72010     0.40968342644320294      weak  
  72033     0.40968342644320294      weak  
  72055     0.40968342644320294      weak  
  72106     0.40968342644320294      weak  
  72295     1.0      strong  
  72315     0.40968342644320294      weak  
  72336     0.40968342644320294      weak  
  72400     0.4096834264432028      weak  
  72559     1.0      strong  
  72585     0.40968342644320294      weak  
  72718     0.40968342644320294      weak  
  72922     0.40968342644320294      weak  
  73050     0.40968342644320294      weak  
  73171     0.40968342644320294      weak  
  73246     1.0      strong  
  73553     0.40968342644320294      weak  
  73835     0.40968342644320294      weak  
  74034     0.40968342644320294      weak  
  74222     0.40968342644320294      weak  
  74683     0.40968342644320294      weak  
  74815     0.40968342644320294      weak  
  74920     0.40968342644320294      weak  
  75203     0.40968342644320294      weak  
  75269     0.4096834264432028      weak  
  75345     0.40968342644320294      weak  
  75359     0.40968342644320294      weak  
  75528     0.4096834264432028      weak  
  75533     0.40968342644320294      weak  
  75931     0.4096834264432028      weak  
  75932     0.40968342644320294      weak  
  76053     0.40968342644320294      weak  
  76477     0.40968342644320294      weak  
  76498     0.40968342644320294      weak  
  76515     0.40968342644320294      weak  
  76911     0.40968342644320294      weak  
  77125     0.40968342644320294      weak  
  77185     0.40968342644320294      weak  
  77359     0.40968342644320294      weak  
  77589     0.40968342644320294      weak  
  77659     0.40968342644320294      weak  
  77844     0.40968342644320294      weak  
  78162     0.40968342644320294      weak  
  78228     0.40968342644320294      weak  
  78229     0.40968342644320294      weak  
  78535     0.40968342644320294      weak  
  78598     0.4096834264432028      weak  
  78652     0.40968342644320294      weak  
  78986     0.40968342644320294      weak  
  79122     0.40968342644320294      weak  
  79231     0.40968342644320294      weak  
  79249     0.40968342644320294      weak  
  79267     0.4096834264432028      weak  
  79423     0.40968342644320294      weak  
  79446     0.40968342644320294      weak  
  80259     0.40968342644320294      weak  
  80435     0.40968342644320294      weak  
  80485     0.40968342644320294      weak  
  80505     0.40968342644320294      weak  
  80666     0.40968342644320294      weak  
  80722     0.40968342644320294      weak  
  80737     0.40968342644320294      weak  
  80939     0.40968342644320294      weak  
  80972     0.40968342644320294      weak  
  81215     0.40968342644320294      weak  
  81240     1.0      strong  
  81431     0.40968342644320294      weak  
  81696     0.40968342644320294      weak  
  81759     0.40968342644320294      weak  
  81933     0.40968342644320294      weak  
  81934     0.40968342644320294      weak  
  81971     0.40968342644320294      weak  
  81986     0.40968342644320294      weak  
  82018     0.4096834264432028      weak  
  82019     0.40968342644320294      weak  
  82074     0.40968342644320294      weak  
  82163     0.40968342644320294      weak  
  82265     0.40968342644320294      weak  
  82283     0.40968342644320294      weak  
  82522     0.40968342644320294      weak  
  82955     0.40968342644320294      weak  
  82973     0.40968342644320294      weak  
  83388     0.40968342644320294      weak  
  83494     0.40968342644320294      weak  
  83529     1.0      strong  
  83578     0.4096834264432028      weak  
  83619     1.0      strong  
  83703     0.40968342644320294      weak  
  83931     0.40968342644320294      weak  
  83995     0.40968342644320294      weak  
  84103     0.40968342644320294      weak  
  84298     0.40968342644320294      weak  
  84394     0.40968342644320294      weak  
  84420     0.40968342644320294      weak  
  84504     0.40968342644320294      weak  
  84826     0.40968342644320294      weak  
  84835     1.0      strong  
  84941     1.0      strong  
  84971     0.40968342644320294      weak  
  85454     0.40968342644320294      weak  
  85676     0.4096834264432028      weak  
  85953     0.40968342644320294      weak  
  86021     0.40968342644320294      weak  
  86120     0.4096834264432028      weak  
  86181     0.40968342644320294      weak  
  86280     0.40968342644320294      weak  
  86373     0.40968342644320294      weak  
  86644     1.0      strong  
  86645     0.40968342644320294      weak  
  86727     0.40968342644320294      weak  
  87330     0.40968342644320294      weak  
  88053     0.40968342644320294      weak  
  88451     0.40968342644320294      weak  
  89021     0.40968342644320294      weak  
  90314     0.40968342644320294      weak  
  90633     0.40968342644320294      weak  
  91179     0.40968342644320294      weak  
  91416     0.40968342644320294      weak  
  91430     0.40968342644320294      weak  
  91431     0.40968342644320294      weak  
  91748     0.40968342644320294      weak  
  91754     1.0      strong  
  91763     0.40968342644320294      weak  
  91769     0.4096834264432028      weak  
  91854     0.40968342644320294      weak  
  92132     0.40968342644320294      weak  
  92198     0.40968342644320294      weak  
  92207     0.40968342644320294      weak  
  92663     0.40968342644320294      weak  
  92938     0.40968342644320294      weak  
  93048     0.40968342644320294      weak  
  93067     0.40968342644320294      weak  
  93177     0.4096834264432028      weak  
  93358     0.40968342644320294      weak  
  93410     0.40968342644320294      weak  
  93454     0.40968342644320294      weak  
  93508     0.40968342644320294      weak  
  93509     0.40968342644320294      weak  
  93558     0.40968342644320294      weak  
  93570     0.40968342644320294      weak  
  93580     0.40968342644320294      weak  
  93649     0.40968342644320294      weak  
  93683     0.40968342644320294      weak  
  93732     0.40968342644320294      weak  
  93760     0.40968342644320294      weak  
  93771     0.40968342644320294      weak  
  93894     0.40968342644320294      weak  
  94444     0.40968342644320294      weak  
  94679     0.40968342644320294      weak  
  94721     0.40968342644320294      weak  
  94958     0.4096834264432028      weak  
  95054     0.4096834264432028      weak  
  95304     0.40968342644320294      weak  
  95305     0.40968342644320294      weak  
  95446     0.40968342644320294      weak  
  95714     0.40968342644320294      weak  
  95734     0.40968342644320294      weak  
  96168     0.40968342644320294      weak  
  96382     0.40968342644320294      weak  
