# searching chr1
# for transcription factor YAP5
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  215     0.40968342644320294      weak  
  425     0.40968342644320294      weak  
  580     0.40968342644320294      weak  
  1453     0.40968342644320294      weak  
  1519     0.40968342644320294      weak  
  1580     1.0      strong  
  1656     0.4096834264432028      weak  
  1828     0.4096834264432028      weak  
  1948     0.4096834264432028      weak  
  2140     0.40968342644320294      weak  
  2458     0.40968342644320294      weak  
  2539     0.40968342644320294      weak  
  2629     0.40968342644320294      weak  
  2635     0.4096834264432028      weak  
  3043     0.4096834264432028      weak  
  3070     0.40968342644320294      weak  
  3141     0.40968342644320294      weak  
  3623     0.4096834264432028      weak  
  3813     0.40968342644320294      weak  
  4076     0.40968342644320294      weak  
  4279     0.40968342644320294      weak  
  4986     0.40968342644320294      weak  
  4992     0.40968342644320294      weak  
  5164     0.40968342644320294      weak  
  5170     0.40968342644320294      weak  
  5817     0.40968342644320294      weak  
  5882     0.40968342644320294      weak  
  6435     0.4096834264432028      weak  
  6460     0.40968342644320294      weak  
  7021     0.40968342644320294      weak  
  7626     0.40968342644320294      weak  
  8076     0.40968342644320294      weak  
  8175     0.40968342644320294      weak  
  8526     0.40968342644320294      weak  
  8532     0.40968342644320294      weak  
  8554     0.40968342644320294      weak  
  9495     0.40968342644320294      weak  
  9504     0.40968342644320294      weak  
  9510     0.40968342644320294      weak  
  10276     0.40968342644320294      weak  
  10374     0.40968342644320294      weak  
  10712     0.4096834264432028      weak  
  11761     0.40968342644320294      weak  
  11806     0.40968342644320294      weak  
  11813     0.40968342644320294      weak  
  11819     0.4096834264432028      weak  
  11867     0.40968342644320294      weak  
  12023     0.40968342644320294      weak  
  12029     1.0      strong  
  12076     0.40968342644320294      weak  
  12364     0.40968342644320294      weak  
  12377     0.40968342644320294      weak  
  13261     0.40968342644320294      weak  
  13634     0.40968342644320294      weak  
  13640     0.40968342644320294      weak  
  13652     0.40968342644320294      weak  
  13937     1.0      strong  
  14053     0.40968342644320294      weak  
  14059     0.40968342644320294      weak  
  14425     0.40968342644320294      weak  
  14536     0.40968342644320294      weak  
  14757     0.40968342644320294      weak  
  15035     0.40968342644320294      weak  
  15298     1.0      strong  
  15357     0.40968342644320294      weak  
  15542     0.40968342644320294      weak  
  15839     0.40968342644320294      weak  
  16561     0.4096834264432028      weak  
  17573     0.40968342644320294      weak  
  18180     0.40968342644320294      weak  
  19896     0.40968342644320294      weak  
  20089     0.40968342644320294      weak  
  20260     0.40968342644320294      weak  
  20490     0.4096834264432028      weak  
  20574     0.40968342644320294      weak  
  20623     0.40968342644320294      weak  
  20762     0.40968342644320294      weak  
  20920     0.40968342644320294      weak  
  20959     0.4096834264432028      weak  
  21121     0.4096834264432028      weak  
  21468     0.4096834264432028      weak  
