# searching chr1
# for transcription factor ADR1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  1847     1.0      strong  
  1871     1.0      strong  
  1914     1.0      strong  
  2374     1.0      strong  
  2427     1.0      strong  
  2490     1.0      strong  
  2638     1.0      strong  
  2688     1.0      strong  
  3224     1.0      strong  
  3272     1.0      strong  
  3435     1.0      strong  
  3663     1.0      strong  
  4568     1.0      strong  
  4906     1.0      strong  
  5575     1.0      strong  
  6803     1.0      strong  
  7076     1.0      strong  
  7384     1.0      strong  
  7436     1.0      strong  
  7574     1.0      strong  
  7654     1.0      strong  
  7763     1.0      strong  
  8056     1.0      strong  
  8412     1.0      strong  
  8887     1.0      strong  
  9201     1.0      strong  
  9462     1.0      strong  
  10508     1.0      strong  
  12204     1.0      strong  
  12401     1.0      strong  
  12986     1.0      strong  
  13011     1.0      strong  
  13041     1.0      strong  
  13118     1.0      strong  
  13155     1.0      strong  
  13615     1.0      strong  
  14613     1.0      strong  
  14993     1.0      strong  
  15030     1.0      strong  
  15510     1.0      strong  
  16387     1.0      strong  
  17694     1.0      strong  
  17912     1.0      strong  
  17913     1.0      strong  
  19634     1.0      strong  
  20097     1.0      strong  
  20152     1.0      strong  
  20871     1.0      strong  
  21081     1.0      strong  
  21097     1.0      strong  
  21143     1.0      strong  
  21682     1.0      strong  
  23198     1.0      strong  
  23404     1.0      strong  
  23911     1.0      strong  
  23914     1.0      strong  
  24636     1.0      strong  
  24854     1.0      strong  
  25151     1.0      strong  
  25176     1.0      strong  
  25206     1.0      strong  
  25283     1.0      strong  
  25320     1.0      strong  
  25404     1.0      strong  
  25539     1.0      strong  
  25674     1.0      strong  
  27024     1.0      strong  
  27366     1.0      strong  
  27367     1.0      strong  
  27423     1.0      strong  
  27570     1.0      strong  
  27812     1.0      strong  
  27972     1.0      strong  
  28135     1.0      strong  
  28461     1.0      strong  
  28795     1.0      strong  
  29603     1.0      strong  
  31065     1.0      strong  
  31110     1.0      strong  
  31259     1.0      strong  
  31265     1.0      strong  
  31619     1.0      strong  
  31685     1.0      strong  
  32013     1.0      strong  
  32116     1.0      strong  
  32138     1.0      strong  
  32204     1.0      strong  
  32318     1.0      strong  
  32457     1.0      strong  
  32873     1.0      strong  
  32874     1.0      strong  
  32925     1.0      strong  
  33083     1.0      strong  
  33090     1.0      strong  
  33136     1.0      strong  
  33137     1.0      strong  
  33172     1.0      strong  
  33186     1.0      strong  
  33187     1.0      strong  
  33503     1.0      strong  
  33686     1.0      strong  
  33720     1.0      strong  
  33848     1.0      strong  
  34184     1.0      strong  
  34221     1.0      strong  
  34327     1.0      strong  
  34544     1.0      strong  
  34584     1.0      strong  
  34892     1.0      strong  
  34943     1.0      strong  
  35014     1.0      strong  
  35322     1.0      strong  
  35527     1.0      strong  
  35789     1.0      strong  
  35790     1.0      strong  
  36005     1.0      strong  
  36031     1.0      strong  
  36150     1.0      strong  
  36319     1.0      strong  
  36770     1.0      strong  
  36988     1.0      strong  
  37047     1.0      strong  
  37564     1.0      strong  
  37759     1.0      strong  
  38420     1.0      strong  
  38560     1.0      strong  
  38561     1.0      strong  
  38661     1.0      strong  
  40028     1.0      strong  
  40143     1.0      strong  
  40144     1.0      strong  
  40172     1.0      strong  
  40328     1.0      strong  
  40329     1.0      strong  
  40330     1.0      strong  
  40618     1.0      strong  
  40664     1.0      strong  
  40666     1.0      strong  
  40990     1.0      strong  
  41248     1.0      strong  
  41284     1.0      strong  
  41570     1.0      strong  
  41824     1.0      strong  
  42302     1.0      strong  
  42406     1.0      strong  
  42409     1.0      strong  
  42482     1.0      strong  
  43531     1.0      strong  
  43580     1.0      strong  
  43630     1.0      strong  
  43834     1.0      strong  
  43853     1.0      strong  
  44041     1.0      strong  
  44042     1.0      strong  
  44158     1.0      strong  
  44159     1.0      strong  
  44222     1.0      strong  
  44341     1.0      strong  
  44371     1.0      strong  
  44585     1.0      strong  
  44665     1.0      strong  
  44819     1.0      strong  
  45124     1.0      strong  
  45171     1.0      strong  
  45233     1.0      strong  
  45359     1.0      strong  
  45360     1.0      strong  
  45361     1.0      strong  
  45362     1.0      strong  
  45363     1.0      strong  
  45364     1.0      strong  
  45365     1.0      strong  
  45391     1.0      strong  
  45417     1.0      strong  
  45423     1.0      strong  
  45578     1.0      strong  
  47084     1.0      strong  
  47085     1.0      strong  
  47087     1.0      strong  
  48012     1.0      strong  
  48168     1.0      strong  
  48634     1.0      strong  
  49019     1.0      strong  
  49082     1.0      strong  
  49498     1.0      strong  
  50295     1.0      strong  
  50470     1.0      strong  
  50762     1.0      strong  
  50941     1.0      strong  
  51188     1.0      strong  
  51399     1.0      strong  
  51653     1.0      strong  
  52293     1.0      strong  
  52476     1.0      strong  
  52939     1.0      strong  
  53175     1.0      strong  
  53353     1.0      strong  
  53658     1.0      strong  
  53664     1.0      strong  
  53802     1.0      strong  
  53849     1.0      strong  
  54625     1.0      strong  
  55157     1.0      strong  
  55199     1.0      strong  
  56731     1.0      strong  
  57275     1.0      strong  
  57375     1.0      strong  
  57825     1.0      strong  
  58147     1.0      strong  
  58390     1.0      strong  
  58485     1.0      strong  
  58791     1.0      strong  
  58792     1.0      strong  
  59183     1.0      strong  
  59207     1.0      strong  
  59210     1.0      strong  
  59330     1.0      strong  
  59331     1.0      strong  
  59332     1.0      strong  
  59732     1.0      strong  
  59915     1.0      strong  
  59916     1.0      strong  
  60110     1.0      strong  
  60250     1.0      strong  
  60858     1.0      strong  
  61212     1.0      strong  
  61268     1.0      strong  
  61448     1.0      strong  
  61515     1.0      strong  
  61588     1.0      strong  
  61660     1.0      strong  
  61836     1.0      strong  
  61968     1.0      strong  
  62363     1.0      strong  
  62543     1.0      strong  
  63000     1.0      strong  
  63249     1.0      strong  
  63483     1.0      strong  
  63895     1.0      strong  
  65042     1.0      strong  
  65305     1.0      strong  
  65464     1.0      strong  
  65567     1.0      strong  
  65855     1.0      strong  
  65856     1.0      strong  
  65958     1.0      strong  
  65967     1.0      strong  
  66084     1.0      strong  
  66114     1.0      strong  
  66126     1.0      strong  
  66132     1.0      strong  
  66153     1.0      strong  
  66171     1.0      strong  
  66258     1.0      strong  
  66458     1.0      strong  
  66461     1.0      strong  
  66728     1.0      strong  
  66816     1.0      strong  
  66846     1.0      strong  
  66881     1.0      strong  
  67019     1.0      strong  
  67565     1.0      strong  
  67616     1.0      strong  
  67658     1.0      strong  
  67728     1.0      strong  
  67775     1.0      strong  
  67967     1.0      strong  
  68219     1.0      strong  
  68221     1.0      strong  
  68232     1.0      strong  
  68233     1.0      strong  
  68235     1.0      strong  
  68238     1.0      strong  
  68719     1.0      strong  
  68724     1.0      strong  
  68899     1.0      strong  
  68930     1.0      strong  
  69235     1.0      strong  
  69276     1.0      strong  
  69285     1.0      strong  
  69396     1.0      strong  
  69734     1.0      strong  
  69735     1.0      strong  
  69736     1.0      strong  
  69737     1.0      strong  
  69738     1.0      strong  
  70273     1.0      strong  
  70402     1.0      strong  
