# searching chr1
# for transcription factor YAP5
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  554     0.459002986772863      weak  
  932     0.36385293699331533      weak  
  989     0.5188451144929597      weak  
  1782     0.43308206514009384      weak  
  1886     0.3755511307068696      weak  
  1889     0.4341132129142369      weak  
  1934     0.7993173090598776      strong  
  2099     0.4510027023183046      weak  
  2187     0.3588038685819941      weak  
  2690     0.4638387142653961      weak  
  2775     0.593585549708434      weak  
  3164     0.4384511449295976      weak  
  3792     0.48986630635755946      weak  
  3883     0.37028872137676      weak  
  4611     0.43919783814535623      weak  
  4672     0.47496799886218183      weak  
  4675     0.3609728345896743      weak  
  4918     0.45114492959749686      weak  
  5238     0.8525103114777415      strong  
  5292     0.4391978381453562      weak  
  5409     0.37067984639453844      weak  
  8055     0.4761058170957189      weak  
  8330     0.4863106243777557      weak  
  8390     0.42824633764756076      weak  
  9136     0.4121390982790499      weak  
  9461     0.5739226283601194      weak  
  9750     0.3938273360830607      weak  
  10671     0.3593372208789646      weak  
  10937     0.4429313042241502      weak  
  11071     0.35805717536623527      weak  
  11093     0.441757929170815      weak  
  11359     0.48990186317735734      weak  
  12125     0.4460958611861755      weak  
  12158     0.6528587683117623      weak  
  12182     0.3963163134689233      weak  
  12320     0.49928886360403935      weak  
  12341     0.568695775849808      weak  
  12452     0.4283174512871567      weak  
  12476     0.38813824491537485      weak  
  12486     0.8207580713980941      strong  
  12534     0.8207580713980941      strong  
  12572     0.5787939126724505      weak  
  12582     0.8207580713980941      strong  
  12620     0.431304224150192      weak  
  12630     0.8207580713980941      strong  
  12668     0.431304224150192      weak  
  12678     0.8207580713980941      strong  
  12716     0.5787939126724505      weak  
  12726     0.8207580713980941      strong  
  12764     0.431304224150192      weak  
  12774     0.8207580713980941      strong  
  12812     0.7779832171810552      strong  
  12822     0.8207580713980941      strong  
  13154     0.3718887782676717      weak  
  13168     0.37700896031858916      weak  
  13187     0.4429313042241502      weak  
  13235     0.35891053904138803      weak  
  13322     0.4606386004835727      weak  
  13434     0.5350590243208646      weak  
  13720     0.8525103114777415      strong  
  14001     0.39404067700184897      weak  
  14120     0.35972834589674296      weak  
  14522     0.39020054046366087      weak  
  14543     0.5842696629213484      weak  
  15097     0.39020054046366087      weak  
  15376     0.4413668041530365      weak  
  15817     0.3645640733892761      weak  
  16175     0.579220594510027      weak  
  16182     0.42870857630493525      weak  
  16206     0.5633266960603043      weak  
  16378     0.4712345327833879      weak  
  16386     0.571504764613853      weak  
  16663     0.35499928886360405      weak  
  16810     0.8207580713980941      strong  
  17177     0.4968354430379747      weak  
  17184     0.3552126297823922      weak  
  18040     0.4841061015502774      weak  
  18110     0.45839852083629645      weak  
  18469     0.3800312900014224      weak  
  18627     0.4335798606172664      weak  
  18696     0.40879675721803443      weak  
  19183     0.7220878964585407      strong  
  19472     0.3692220167828189      weak  
  19554     0.35894609586118614      weak  
  19568     0.351123595505618      weak  
  19598     0.4487626226710284      weak  
  20517     0.4750391125017779      weak  
  20921     0.4101479163703598      weak  
  20976     0.4315886787085763      weak  
  20979     0.421632769165126      weak  
  21474     0.4579362821789219      weak  
  21931     0.39894751813397816      weak  
  21985     0.44762480443749114      weak  
  22060     0.5461171952780541      weak  
  23017     0.39404067700184897      weak  
  23129     0.35834162992461954      weak  
  24557     0.4460958611861755      weak  
  24590     0.6528587683117623      weak  
  24773     0.49928886360403935      weak  
  24794     0.568695775849808      weak  
  24905     0.4283174512871567      weak  
  24929     0.645960745270943      weak  
  24939     0.8207580713980941      strong  
  24977     0.5787939126724505      weak  
  24987     0.8207580713980941      strong  
  25319     0.3718887782676717      weak  
  25343     0.39165837007538046      weak  
  25352     0.5529085478594795      weak  
  25460     0.5575664912530223      weak  
  25595     0.7050561797752808      strong  
  25643     0.46696771440762325      weak  
  25646     0.4247617693073531      weak  
  25649     0.46110083914094724      weak  
  25715     0.36299957331816235      weak  
  25730     0.7050561797752808      strong  
  25751     0.3633906983359408      weak  
  25839     0.3590527663205803      weak  
  25850     0.36299957331816235      weak  
  25865     0.8270871853221446      strong  
  25886     0.3633906983359408      weak  
  25974     0.3590527663205803      weak  
  25985     0.36299957331816235      weak  
  26000     0.7050561797752808      strong  
  26021     0.3633906983359408      weak  
  26109     0.3590527663205803      weak  
  26120     0.36299957331816235      weak  
  26135     0.7050561797752808      strong  
  26156     0.3633906983359408      weak  
  26244     0.3590527663205803      weak  
  26255     0.36299957331816235      weak  
  26270     0.7050561797752808      strong  
  26291     0.3633906983359408      weak  
  26379     0.3590527663205803      weak  
  26405     0.8270871853221446      strong  
  26426     0.3633906983359408      weak  
  26514     0.3590527663205803      weak  
  26540     0.5818873559948798      weak  
  26561     0.3633906983359408      weak  
  26649     0.3590527663205803      weak  
  26675     0.5818873559948798      weak  
  26696     0.3633906983359408      weak  
  26784     0.3590527663205803      weak  
  26810     0.5818873559948798      weak  
  26831     0.3633906983359408      weak  
  26945     0.5818873559948798      weak  
  26966     0.3633906983359408      weak  
  27065     0.36299957331816235      weak  
  27080     0.7050561797752808      strong  
  27173     0.35617266391693925      weak  
  27398     0.528587683117622      weak  
  27484     0.41750817806855356      weak  
  27528     0.8525103114777415      strong  
  27572     0.5967501066704594      weak  
  27832     0.5355568197980373      weak  
  27939     0.4918219314464514      weak  
  28189     0.3533636751528943      weak  
  28805     0.5398947518133979      weak  
  28845     0.40541885933722094      weak  
  28973     0.3764756080216186      weak  
  29505     0.35261698193713553      weak  
  29594     0.657587825344901      weak  
  29606     0.5490684113212915      weak  
  29968     0.36723083487412883      weak  
  30195     0.3922272791921491      weak  
  30538     0.5491750817806855      weak  
  30561     0.38611150618688667      weak  
  30772     0.49441757929170826      weak  
  30811     0.6061015502773432      weak  
  31147     0.3934362110652823      weak  
  31342     0.5589176504053477      weak  
  31360     0.4097923481723795      weak  
  31791     0.37640449438202245      weak  
  31887     0.4187171099416867      weak  
  31890     0.8822002560091026      strong  
  31986     0.3545014933864315      weak  
  32031     0.3757289148058598      weak  
  32055     0.3794979377044517      weak  
  32097     0.5492817522400796      weak  
  32241     0.4149480870430949      weak  
  32286     0.7354217038828047      strong  
  32409     0.39795192717963307      weak  
  32526     0.7402574313753376      strong  
  32580     0.6177286303513014      weak  
  32864     0.4445669179348599      weak  
  33186     0.5713269805148629      weak  
  33187     0.39894751813397805      weak  
  33292     0.5215118759778125      weak  
  33344     0.6197909258995875      weak  
  33552     0.4925330678424121      weak  
  33672     0.41029014364955213      weak  
  33873     0.436139951642725      weak  
  34067     0.3898805290854786      weak  
  34421     0.4277840989901864      weak  
  34529     0.4548783956762908      weak  
  35181     0.46447873702176073      weak  
  35529     0.5378680130849097      weak  
  35580     0.4824349310197695      weak  
  35758     0.49047077229412606      weak  
  35793     0.5109870573175935      weak  
  35853     0.403605461527521      weak  
  35861     0.49039965865452995      weak  
  35883     0.44005120182050916      weak  
  36186     0.5652467643293982      weak  
  36552     0.4177570758071398      weak  
  36639     0.5108803868581995      weak  
  36877     0.5787227990328545      weak  
  37132     0.4012231546010525      weak  
  37507     0.6688948940406769      weak  
  37838     0.4395889631631348      weak  
  38120     0.4173659507893614      weak  
  38269     0.7527023183046507      strong  
  38494     0.49843549992888636      weak  
  38639     0.5978168112644003      weak  
  38699     0.5745982079362821      weak  
  39034     0.5065780116626369      weak  
  39098     0.45441615701891624      weak  
  39201     0.35261698193713553      weak  
  39384     0.4181482008249182      weak  
  39903     0.5815673446166975      weak  
  40005     0.6697482577158299      weak  
  40027     0.3855070402503199      weak  
  40184     0.4575807139809416      weak  
  40244     0.4040677001848955      weak  
  40262     0.45174939553406346      weak  
  40329     0.49516427250746703      weak  
  40330     0.3743066420139382      weak  
  40428     0.5492106386004837      weak  
  40431     0.5283743421988337      weak  
  40482     0.4156236666192576      weak  
  40773     0.5850874697767031      weak  
  40791     0.5561442184611006      weak  
  40851     0.44005120182050916      weak  
  41448     0.3622528801024037      weak  
  41451     0.6758640307210921      weak  
  41532     0.6937846678993032      weak  
  41622     0.8643151756506898      strong  
  41754     0.37622671028303234      weak  
  42419     0.46120750960034135      weak  
  42427     0.4263973830180627      weak  
  42614     0.49043521547432806      weak  
  42848     0.3739510738159579      weak  
  42948     0.38308917650405355      weak  
  43255     0.5052979661499076      weak  
  43266     0.3777200967145499      weak  
  43471     0.46757218034418996      weak  
  43474     0.4598563504480159      weak  
  43556     0.4377044517138387      weak  
  43833     0.4159081211776418      weak  
  43942     0.39844972265680556      weak  
  44017     0.36470630066846826      weak  
  44613     0.4819726923623951      weak  
  44623     0.36787085763049354      weak  
  45241     0.4421846110083915      weak  
  45364     0.48311051059593235      weak  
  45554     0.4547006115773005      weak  
  45875     0.39165837007538046      weak  
  45952     0.5082847390129428      weak  
  46347     0.4201038259138102      weak  
  47202     0.6218887782676717      weak  
  47559     0.3664841416583702      weak  
  47622     0.5013867159721233      weak  
  47640     0.4350376902289859      weak  
  47803     0.4257573602616983      weak  
  48382     0.49217749964443186      weak  
  48961     0.44172237235101697      weak  
  49073     0.7339283174512872      strong  
  49082     0.3941829042810411      weak  
  49517     0.5837718674441758      weak  
  49750     0.4100412459109658      weak  
  51446     0.36954202816100135      weak  
  51470     0.6056393116199685      weak  
  51497     0.5532996728772579      weak  
  51500     0.4345043379320153      weak  
  51796     0.4444602474754658      weak  
  51985     0.505724647987484      weak  
  52065     0.5136538188024464      weak  
  52115     0.3533281183330963      weak  
  52406     0.41324135969278913      weak  
  53030     0.5660290143649552      weak  
