# searching chr1
# for transcription factor SOK2
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  423     0.6740260718860674      weak  
  429     0.4708009946499887      weak  
  899     0.5625047095169919      weak  
  1092     0.4678622560470198      weak  
  1096     0.4940848466581268      weak  
  1129     0.4958179489111597      weak  
  1479     0.3693768367116268      weak  
  1647     0.5398236756838218      weak  
  1998     0.4312410519177153      weak  
  2206     0.7938361841609525      strong  
  2211     0.5477356642302766      weak  
  2237     0.6628739356491599      weak  
  2393     0.4604023811317911      weak  
  2462     0.46386858563785704      weak  
  2473     0.6181146861577876      weak  
  2821     0.3692261321678848      weak  
  2839     0.3937156205259587      weak  
  2840     0.4484213699043027      weak  
  2887     0.5925702659935197      weak  
  3215     0.4678622560470198      weak  
  3261     0.5477356642302766      weak  
  3274     0.5196292668223946      weak  
  3660     0.6491598221686384      weak  
  3703     0.6434330495064426      weak  
  3813     0.5481124255896315      weak  
  3817     0.5588878004671841      weak  
  4193     0.42589104061487454      weak  
  4194     0.3529500414437495      weak  
  4232     0.5625047095169919      weak  
  4265     0.3725416321302087      weak  
  4294     0.706502901062467      strong  
  4335     0.35400497324994357      weak  
  4624     0.6628739356491599      weak  
  5472     0.5196292668223946      weak  
  5572     0.7401853665888026      strong  
  5616     0.5735061412101575      weak  
  5692     0.5437419938211137      weak  
  5719     0.40547057493783445      weak  
  6068     0.6422274131565067      weak  
  6325     0.5503729937457613      weak  
  6464     0.43696782457991107      weak  
  6706     0.3973325295757667      weak  
  6784     0.40305930223796255      weak  
  6785     0.4286037224022305      weak  
  6817     0.46771155150327776      weak  
  6869     0.4062240976565444      weak  
  6870     0.3529500414437495      weak  
  6923     0.5560997664079572      weak  
  6981     0.3717127571396279      weak  
  7103     0.7613593549845529      strong  
  7123     0.5477356642302766      weak  
  7189     0.439755858639138      weak  
  7403     0.43357697234571624      weak  
  7572     0.49182427850199684      weak  
  7791     0.5705674026071886      weak  
  7828     0.5868434933313239      weak  
  8053     0.7401853665888026      strong  
  8252     0.5477356642302766      weak  
  8422     0.5677793685479617      weak  
  8481     0.37698741617059756      weak  
  8926     0.38798884786376303      weak  
  9105     0.6434330495064426      weak  
  9166     0.48451510813051013      weak  
  9799     0.5477356642302766      weak  
  10280     0.3725416321302087      weak  
  10481     0.5990505613744255      weak  
  10840     0.37698741617059756      weak  
  11197     0.4286037224022305      weak  
  11486     0.4604023811317911      weak  
  11497     0.5270891417376233      weak  
  12049     0.4324466882676512      weak  
  12084     0.8848617285811167      strong  
  12332     0.4680883128626328      weak  
  12484     0.4324466882676512      weak  
  13363     0.5735061412101575      weak  
  13445     0.833320774621355      strong  
  13556     0.7141888327933088      strong  
  13988     0.6153266520985607      weak  
  13992     0.7372466279858337      strong  
  14065     0.4450305176701077      weak  
  14107     0.5481124255896315      weak  
  14165     0.5677793685479617      weak  
  14171     0.3766860070831135      weak  
  14251     0.4514354607791425      weak  
  14280     0.46386858563785704      weak  
  14324     0.5705674026071886      weak  
  14389     0.4088614271720293      weak  
  14611     0.3965036545851858      weak  
  14761     0.5548941300580212      weak  
  14765     0.8848617285811167      strong  
  14781     0.5477356642302766      weak  
  14785     0.6387612086504408      weak  
  14863     0.6747042423329064      weak  
  14934     0.3973325295757667      weak  
  15045     0.7181825032024717      strong  
  15066     0.5705674026071886      weak  
  15081     0.4958179489111597      weak  
  15235     0.39220857508853896      weak  
  15548     0.40449099540351147      weak  
  15565     0.833320774621355      strong  
  15889     0.47208198327179574      weak  
  16103     0.3717127571396279      weak  
  16246     0.3973325295757667      weak  
  16452     0.6181146861577876      weak  
  16495     0.4680883128626328      weak  
  16544     0.4680883128626328      weak  
  16565     0.5437419938211137      weak  
  16610     0.5243011076783965      weak  
  16626     0.48451510813051013      weak  
  17653     0.734458593926607      strong  
  17663     0.5755406525506744      weak  
  17875     0.487679903549092      weak  
  17927     0.5990505613744255      weak  
  18356     0.6387612086504408      weak  
  18363     0.5705674026071886      weak  
  18505     0.6628739356491599      weak  
  18703     0.634767538241278      weak  
  18811     0.5437419938211137      weak  
  19399     0.3973325295757667      weak  
  19699     0.5477356642302766      weak  
  19713     0.45241504031346547      weak  
  19751     0.4514354607791425      weak  
  19762     0.5588878004671841      weak  
  20095     0.4161705975435161      weak  
  20266     1.0      strong  
  20309     0.6985155602441414      weak  
  20418     0.4958179489111597      weak  
  20505     0.3725416321302087      weak  
  20622     0.5243011076783965      weak  
  20683     0.42898048376158543      weak  
  20773     0.5073468465074222      weak  
  20779     0.43357697234571624      weak  
  20801     0.5201567327254918      weak  
  20860     0.4678622560470198      weak  
  20904     0.36538316630246404      weak  
  20963     0.5477356642302766      weak  
  20967     0.6387612086504408      weak  
  21033     0.6747042423329064      weak  
  21096     0.5300278803405923      weak  
  21281     0.45241504031346547      weak  
  21297     0.4450305176701077      weak  
  21359     0.3766860070831135      weak  
  21749     0.7306156280611861      strong  
  21789     0.3951473136915078      weak  
  21895     0.4958179489111597      weak  
  22123     0.39077688192298987      weak  
  22677     0.634767538241278      weak  
  22724     0.5477356642302766      weak  
  22949     0.3693768367116268      weak  
  23202     0.4604023811317911      weak  
  23305     0.4680883128626328      weak  
  23470     0.5246025167658805      weak  
  23599     0.4680883128626328      weak  
  23861     0.5477356642302766      weak  
  23866     0.36538316630246404      weak  
  23988     0.49634541481425665      weak  
  24481     0.4324466882676512      weak  
  24516     0.8848617285811167      strong  
  24785     0.4680883128626328      weak  
  25335     0.61148368623314      weak  
  27285     0.8136538316630247      strong  
  27450     0.5755406525506744      weak  
  27606     0.37698741617059756      weak  
  27630     0.35400497324994357      weak  
  27682     0.45241504031346547      weak  
  27709     0.45241504031346547      weak  
  27878     1.0      strong  
  28035     0.6387612086504408      weak  
  28098     0.488358073995931      weak  
  28272     0.7181825032024717      strong  
  28340     0.43357697234571624      weak  
  28426     0.6387612086504408      weak  
  28459     0.3965036545851858      weak  
  28576     0.3600331549996233      weak  
