# searching chr1
# for transcription factor FHL1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  537     0.7028015371265649      strong  
  2462     0.4630593777116647      weak  
  2865     0.8399033097805875      strong  
  3271     0.38564522127184825      weak  
  3430     0.5874550638403372      weak  
  3815     0.39029378951282995      weak  
  3901     0.4440932192884591      weak  
  6457     0.35304326267509606      weak  
  7295     0.4494235775381182      weak  
  8037     0.6503656873682906      weak  
  8156     0.3764100656997644      weak  
  8333     0.44886574934920037      weak  
  8418     0.3887442667658361      weak  
  8976     0.5286971612743274      weak  
  10838     0.3765340275195239      weak  
  12199     0.4252510226850129      weak  
  12521     0.4728523614726664      weak  
  12617     0.46820379323168465      weak  
  12665     0.46820379323168465      weak  
  12761     0.46820379323168465      weak  
  13629     0.44130407834387003      weak  
  14167     0.6889178133134994      weak  
  14276     0.3718854592785422      weak  
  14761     0.3855832403619685      weak  
  14859     0.5194620057022437      weak  
  15410     0.41731746622040405      weak  
  15504     0.3873806867484815      weak  
  15902     0.5114044874178753      weak  
  16034     0.5765464237014999      weak  
  16539     0.44477500929713637      weak  
  17156     0.4494235775381182      weak  
  17171     0.3689103756043138      weak  
  17655     0.36227841824717977      weak  
  18136     0.4691954877897608      weak  
  18228     0.4025660096690219      weak  
  18886     0.3570720218172802      weak  
  18997     0.35781579273583736      weak  
  19916     0.4095698524854344      weak  
  20154     0.35446882360233045      weak  
  21029     0.5194620057022437      weak  
  22585     0.5697285236147266      weak  
  23472     0.5141316474525846      weak  
  24631     0.4252510226850129      weak  
  25478     0.41731746622040405      weak  
  25613     0.41731746622040405      weak  
  25748     0.41731746622040405      weak  
  25811     0.38310400396677824      weak  
  25883     0.41731746622040405      weak  
  25946     0.38310400396677824      weak  
  26018     0.41731746622040405      weak  
  26081     0.38310400396677824      weak  
  26153     0.41731746622040405      weak  
  26216     0.38310400396677824      weak  
  26288     0.41731746622040405      weak  
  26351     0.38310400396677824      weak  
  26423     0.41731746622040405      weak  
  26486     0.38310400396677824      weak  
  26621     0.38310400396677824      weak  
  26756     0.38310400396677824      weak  
  26891     0.38310400396677824      weak  
  27166     0.41545803892401134      weak  
  29377     0.3524234535762985      weak  
  29565     0.39178133134994414      weak  
  30143     0.5288831040039668      weak  
  30347     0.37628610388000494      weak  
  30739     0.3996529069046733      weak  
  31104     0.36314615098549646      weak  
  31893     0.36209247551754065      weak  
  31908     0.5715259700012396      weak  
  31989     0.36674104375852234      weak  
  32100     0.36209247551754065      weak  
  32149     0.3876905912978802      weak  
  32648     0.3987851741663567      weak  
