# searching chr1
# for transcription factor SWI5
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  98     0.424608544364972      weak  
  143     0.44741929248018564      weak  
  215     0.3819350473612991      weak  
  338     0.4035375990721051      weak  
  353     0.5232456988208003      weak  
  432     0.4172627102261744      weak  
  492     0.40677556543591725      weak  
  512     0.35810941426638315      weak  
  542     0.4020394355306399      weak  
  554     0.5852986661511695      weak  
  557     0.49125265803208956      weak  
  568     0.4410883433210903      weak  
  625     0.3706746568722212      weak  
  626     0.7677846510728784      strong  
  629     0.5390972356466267      weak  
  798     0.39875314131065154      weak  
  802     0.671853856562923      weak  
  805     0.7431857722791417      strong  
  822     0.5893098782138024      weak  
  868     0.4172627102261744      weak  
  889     0.4449545718151943      weak  
  932     0.37623236033249563      weak  
  935     0.43461241059346606      weak  
  967     0.705876667311038      strong  
  970     0.7893388749275081      strong  
  973     0.4210806108641021      weak  
  986     0.4489657838778272      weak  
  987     0.38802435723951284      weak  
  988     0.5454281848057221      weak  
  989     0.8039822153489271      strong  
  1078     0.37405760680456224      weak  
  1097     0.3746375410786778      weak  
  1110     0.40885366325149813      weak  
  1124     0.4870964624009279      weak  
  1131     0.4190991687608737      weak  
  1178     0.5866035182679297      weak  
  1194     0.5571235260003866      weak  
  1196     0.3765706553257298      weak  
  1197     0.5546588053353952      weak  
  1212     0.43113280494877243      weak  
  1260     0.4747728590759714      weak  
  1294     0.4542335202010439      weak  
  1300     0.3887492750821574      weak  
  1344     0.47830079257684127      weak  
  1358     0.4314710999420065      weak  
  1359     0.351633481538759      weak  
  1360     0.5289000579934273      weak  
  1379     0.6060796443069786      weak  
  1431     0.5197177653199304      weak  
  1487     0.4378503769572782      weak  
  1514     0.6056446936013918      weak  
  1544     0.4560216508795671      weak  
  1555     0.37734390102455057      weak  
  1601     0.604388169340808      weak  
  1629     0.4281848057220181      weak  
  1656     0.3958051420838971      weak  
  1672     0.4063889425865067      weak  
  1707     0.5520007732456989      weak  
  1729     0.4385269669437464      weak  
  1732     0.44780591532959607      weak  
  1754     0.41634448095882465      weak  
  1774     0.35066692441523295      weak  
  1785     0.4035375990721051      weak  
  1794     0.6793930021264256      weak  
  1807     0.38299826019717775      weak  
  1811     0.38584960371157934      weak  
  1817     0.604388169340808      weak  
  1828     0.37797216315484244      weak  
  1847     0.6074811521360912      weak  
  1853     0.5526290353759907      weak  
  1854     0.5069592112893873      weak  
  1857     0.4635607964430699      weak  
  1868     0.534796056446936      weak  
  1871     0.5136284554417165      weak  
  1873     0.3646820027063599      weak  
  1889     0.8152426058380048      strong  
  1901     0.6224144596945679      weak  
  1909     0.5511791996907016      weak  
  1914     0.5303982215348927      weak  
  1925     0.5258554030543204      weak  
  1934     1.0      strong  
  1937     0.8214768992847478      strong  
  1948     0.5165764546684709      weak  
  1951     0.5424318577227915      weak  
  1961     0.36990141117340036      weak  
  1980     0.4550067658998647      weak  
  1981     0.6476416006185964      weak  
  1985     0.4517687995360526      weak  
  1991     0.4713899091436304      weak  
  1995     0.5742799149429731      weak  
  1996     0.8762806881886719      strong  
  1999     0.5599748695147883      weak  
  2000     0.7461820993620722      strong  
  2017     0.43499903344287655      weak  
  2022     0.3896675043495071      weak  
  2023     0.4116566789097235      weak  
  2024     0.38000193311424707      weak  
  2029     0.4830852503382949      weak  
  2050     0.37246278755074425      weak  
  2071     0.39208389715832204      weak  
  2083     0.3964817320703653      weak  
  2099     0.7586023583993814      strong  
  2102     1.0      strong  
  2105     0.7559926541658613      strong  
  2117     0.4952155422385463      weak  
  2120     0.3939686835491978      weak  
  2123     0.4660255171080611      weak  
  2129     0.5764546684709067      weak  
  2132     0.4378503769572782      weak  
  2141     0.5571235260003866      weak  
  2144     0.6485115020297699      weak  
  2187     0.680407887106128      weak  
  2190     0.4747728590759714      weak  
  2246     0.5424318577227915      weak  
  2281     0.42040402087763395      weak  
  2282     0.7252561376377343      strong  
  2285     0.42784651072878416      weak  
  2303     0.3688865261936981      weak  
  2304     0.3811134738063019      weak  
  2311     0.4393485404987435      weak  
  2317     0.3709162961531027      weak  
  2374     0.6074811521360912      weak  
  2415     0.4517687995360526      weak  
  2420     0.3633771505895998      weak  
  2424     0.46225594432630973      weak  
  2427     0.5136284554417165      weak  
  2429     0.39285714285714285      weak  
  2442     0.6961627682196019      weak  
  2458     0.3633771505895998      weak  
  2471     0.4566982408660352      weak  
  2474     0.5070075391455635      weak  
  2489     0.6724337908370386      weak  
  2490     0.4858882659965203      weak  
  2491     0.5520007732456989      weak  
  2492     0.7758070751981441      strong  
  2497     0.47196984341774606      weak  
  2499     0.36951478832399      weak  
  2500     0.6843707713125845      weak  
  2522     0.4410883433210903      weak  
  2528     0.458921322250145      weak  
  2546     0.5258554030543204      weak  
  2583     0.3857046201430505      weak  
  2629     0.36990141117340036      weak  
  2635     0.5192344867581674      weak  
  2638     0.6020201043881693      weak  
  2665     0.3857046201430505      weak  
  2679     0.4416682775952058      weak  
  2681     0.4590663058186738      weak  
  2684     0.3679682969263484      weak  
  2687     0.626280688188672      weak  
  2688     0.4857916102841677      weak  
  2690     0.5284651072878407      weak  
  2693     0.3689348540498743      weak  
  2704     0.4903827566209163      weak  
  2705     0.351633481538759      weak  
  2706     0.4922675430117918      weak  
  2718     0.4933307558476706      weak  
  2729     0.3606224627875508      weak  
  2741     0.8036439203556931      strong  
  2760     0.39247052000773247      weak  
  2771     0.4411849990334428      weak  
  2774     0.38063019524453895      weak  
  2778     0.6520877633868162      weak  
  2790     0.39208389715832204      weak  
  2821     0.40039628842064556      weak  
  2823     0.5471679876280687      weak  
  2837     0.3573361685675624      weak  
  2840     0.410593466073845      weak  
  2842     0.5457181519427798      weak  
  2845     0.36951478832398993      weak  
  2853     0.4432147689928475      weak  
  2856     0.38299826019717775      weak  
  2870     0.3734293446742703      weak  
  2885     0.373719311811328      weak  
  2888     0.5531606417939301      weak  
  2912     0.4045041561956312      weak  
  2929     0.6023583993814033      weak  
  2932     0.4724047941233328      weak  
  2963     0.5145466847090663      weak  
  2993     0.3788420645660159      weak  
  3023     0.4409916876087377      weak  
  3049     0.41035182679296345      weak  
  3052     0.4206456601585154      weak  
  3134     0.48980282234680067      weak  
  3147     0.5228107481152136      weak  
  3163     0.5109220954958439      weak  
  3223     0.6724337908370386      weak  
  3224     0.5506959211289387      weak  
  3225     0.3614923641987242      weak  
  3226     0.6660061859655905      weak  
  3244     0.4952155422385463      weak  
  3272     0.6619466460467813      weak  
  3274     0.43499903344287644      weak  
  3289     0.5735066692441523      weak  
  3366     0.3613957084863716      weak  
  3367     0.41972743089116576      weak  
  3368     0.5432051034216122      weak  
  3434     0.49391069012178623      weak  
  3435     0.508215735549971      weak  
  3436     0.3873477672530446      weak  
  3437     0.36719505122752755      weak  
  3464     0.4221438236999807      weak  
  3467     0.3541465300599266      weak  
  3472     0.4266866421805529      weak  
  3492     0.7249178426445003      strong  
  3512     0.46844190991687606      weak  
  3530     0.3623622656098976      weak  
  3589     0.41513628455441715      weak  
  3593     0.3967716992074232      weak  
  3617     0.8347187318770538      strong  
  3641     0.4696017784651073      weak  
  3661     0.42286874154262516      weak  
  3662     0.47593272762420263      weak  
  3663     0.5139667504349507      weak  
  3665     0.5427701527160255      weak  
  3705     0.4424898511502029      weak  
  3717     0.4155229074038276      weak  
  3754     0.3514401701140537      weak  
  3767     0.534796056446936      weak  
  3770     0.37734390102455057      weak  
  3792     0.7713609124299247      strong  
  3795     0.4414266383143244      weak  
  3815     0.4190991687608737      weak  
  3858     0.4552967330369225      weak  
  3886     0.4424898511502029      weak  
  3901     0.4231587086796829      weak  
  3915     0.3746375410786778      weak  
  3980     0.40223274695534517      weak  
  4037     0.4053257297506283      weak  
  4062     0.5525807075198145      weak  
  4076     0.45582833945486173      weak  
  4118     0.378213802435724      weak  
  4138     0.36018751208196415      weak  
  4142     0.39285714285714285      weak  
  4154     0.4699400734583414      weak  
  4194     0.49391069012178623      weak  
  4209     0.4221438236999807      weak  
  4212     0.5361975642760487      weak  
  4261     0.5567369031509761      weak  
  4272     0.4020394355306398      weak  
  4283     0.5051227527546878      weak  
  4286     0.5994104001546492      weak  
  4292     0.40271602551710806      weak  
  4353     0.6079161028416779      weak  
  4364     0.5525807075198145      weak  
  4390     0.4517687995360526      weak  
  4404     0.4542335202010439      weak  
  4415     0.5735066692441524      weak  
  4477     0.42069398801469166      weak  
  4494     0.39483858496037105      weak  
  4495     0.48873960951092216      weak  
  4496     0.7279624975836072      strong  
  4534     0.4409916876087377      weak  
  4568     0.5136284554417165      weak  
  4570     0.3825149816354146      weak  
  4614     0.41035182679296345      weak  
  4626     0.39503189638507635      weak  
  4631     0.3607191184999033      weak  
  4672     1.0      strong  
  4675     0.7713609124299247      strong  
  4678     0.4068238932920936      weak  
  4706     0.3857046201430505      weak  
  4761     0.6214962304272182      weak  
  4769     0.40261936980475543      weak  
  4801     0.4933307558476706      weak  
  4844     0.560264836651846      weak  
  4867     0.42040402087763395      weak  
  4868     0.6660061859655905      weak  
  4880     0.5347477285907598      weak  
  4891     0.4068238932920936      weak  
  4906     0.42895805142083904      weak  
  4917     0.5356176300019331      weak  
  4928     0.47080997486951476      weak  
  4992     0.3612023970616663      weak  
  5170     0.3755074424898512      weak  
  5178     0.43277595205876673      weak  
  5181     0.5567369031509761      weak  
  5186     0.544268316257491      weak  
  5189     0.5928378117146723      weak  
  5196     0.4560216508795671      weak  
  5199     0.671853856562923      weak  
  5202     0.6224144596945679      weak  
  5224     0.44780591532959607      weak  
  5235     0.5940460081190798      weak  
  5238     1.0      strong  
  5241     0.5928378117146723      weak  
  5291     0.47114826986274894      weak  
  5292     0.36729170693988017      weak  
  5295     0.6648946452735357      weak  
  5325     0.3709162961531027      weak  
  5412     0.5893098782138024      weak  
  5445     0.41035182679296345      weak  
  5462     0.40411753334622075      weak  
  5476     0.3757007539145564      weak  
  5501     0.7249178426445003      strong  
  5573     0.42286874154262516      weak  
  5574     0.41112507249178426      weak  
  5575     0.639667504349507      weak  
  5578     0.5354726464334042      weak  
  5609     0.636912816547458      weak  
  5617     0.42842644500289967      weak  
  5618     0.35665957858109415      weak  
  5640     0.49333075584767067      weak  
  5643     0.5438816934080803      weak  
  5694     0.4864682002706359      weak  
  5719     0.5554320510342161      weak  
  5727     0.36951478832398993      weak  
  5754     0.4755944326309685      weak  
  5766     0.43461241059346606      weak  
  5771     0.48182872607771116      weak  
  5798     0.4424898511502029      weak  
  5817     0.5293833365551904      weak  
  5908     0.7713609124299247      strong  
  5911     0.5606997873574329      weak  
  5929     0.4138314324376571      weak  
  5932     0.36270056060313166      weak  
  5954     0.6927798182872608      weak  
  5957     0.3570462014305046      weak  
  6017     0.46399574714865643      weak  
  6025     0.40223274695534517      weak  
  6034     0.511743669050841      weak  
  6035     0.41972743089116576      weak  
  6036     0.5065725884399768      weak  
  6046     0.4432147689928475      weak  
  6049     0.40885366325149813      weak  
  6058     0.4356272955731683      weak  
  6060     0.4528320123719312      weak  
  6061     0.39155229074038284      weak  
  6062     0.5289000579934273      weak  
  6069     0.4462594239319544      weak  
  6070     0.36719505122752755      weak  
  6122     0.36424705200077323      weak  
  6133     0.38526966943746377      weak  
  6141     0.4517687995360526      weak  
  6147     0.43277595205876673      weak  
  6150     0.5878117146723371      weak  
  6170     0.512903537599072      weak  
  6211     0.43171273922288805      weak  
  6214     0.4053257297506283      weak  
  6225     0.5281268122946066      weak  
  6261     0.462787550744249      weak  
  6312     0.6914266383143244      weak  
  6323     0.5240672723757974      weak  
  6326     0.4141213995747149      weak  
  6327     0.5458148076551325      weak  
  6362     0.4660255171080611      weak  
  6376     0.410110187512082      weak  
  6411     0.39884979702300416      weak  
  6441     0.6000869901411173      weak  
  6446     0.43746375410786775      weak  
  6462     0.6313551130871834      weak  
  6464     0.371931181132805      weak  
  6473     0.3704330175913397      weak  
  6510     0.41035182679296345      weak  
  6563     0.3862845544171661      weak  
  6613     0.4432147689928475      weak  
  6616     0.4053257297506283      weak  
  6698     0.41513628455441715      weak  
  6708     0.5017398028223468      weak  
  6769     0.4799439396868355      weak  
  6777     0.6056446936013918      weak  
  6803     0.43930021264256724      weak  
  6815     0.7527063599458728      strong  
  6818     0.5198144210322831      weak  
  6819     0.49376570655325724      weak  
  6825     0.3514401701140537      weak  
  6870     0.49391069012178623      weak  
  6872     0.4392035569302145      weak  
  6883     0.39735163348153885      weak  
  6884     0.6711289387202783      weak  
  6918     0.7559926541658613      strong  
  6959     0.5888749275082158      weak  
  6962     0.5888749275082158      weak  
  6965     0.5988304658805335      weak  
  6967     0.4344190991687608      weak  
  7013     0.38618789870481346      weak  
  7075     0.3845447515948193      weak  
  7076     0.3978832398994781      weak  
  7187     0.40445582833945487      weak  
  7198     0.5179779624975837      weak  
  7207     0.3844480958824667      weak  
  7210     0.45167214382369997      weak  
  7230     0.4281848057220181      weak  
  7258     0.4517687995360526      weak  
  7276     0.37971196597718926      weak  
  7280     0.4635607964430699      weak  
  7300     0.3903924221921516      weak  
  7302     0.42349700367291704      weak  
  7320     0.3922772085830273      weak  
  7330     0.4507539145563504      weak  
  7359     0.37927701527160257      weak  
  7384     0.5426734970036728      weak  
  7408     0.5735066692441523      weak  
  7435     0.5981055480378891      weak  
  7436     0.5307365165281268      weak  
  7474     0.3547747921902185      weak  
  7477     0.6466267156388942      weak  
  7525     0.38299826019717775      weak  
  7538     0.3762323603324957      weak  
  7539     0.6203363618789871      weak  
  7551     0.4409916876087377      weak  
  7573     0.3501353179972937      weak  
  7574     0.4111250724917843      weak  
  7621     0.4521554223854631      weak  
  7642     0.4722598105548038      weak  
  7645     0.3734293446742703      weak  
  7654     0.5728784071138604      weak  
  7656     0.39532186352213416      weak  
  7681     0.3514401701140537      weak  
  7707     0.5454765126618982      weak  
  7762     0.3714962304272183      weak  
  7763     0.44814421032283      weak  
  7765     0.4106901217861975      weak  
  7826     0.5240672723757974      weak  
  7830     0.4023294026676976      weak  
  7971     0.6302919002513049      weak  
  8014     0.35767446356079646      weak  
  8034     0.5361975642760487      weak  
  8042     0.44273149043108456      weak  
  8043     0.5635028030156581      weak  
  8051     0.5398221534892712      weak  
  8054     0.42286874154262516      weak  
  8055     0.47593272762420263      weak  
  8056     0.45471679876280674      weak  
  8058     0.3514401701140537      weak  
  8095     0.4687318770539339      weak  
  8161     0.49270249371737873      weak  
  8162     0.3876860622462788      weak  
  8179     0.5260487144790257      weak  
  8199     0.3833848830465881      weak  
  8202     0.40677556543591725      weak  
  8211     0.41035182679296345      weak  
  8271     0.552677363232167      weak  
  8288     0.6961627682196019      weak  
  8328     0.44848250531606404      weak  
  8330     0.6129421998840131      weak  
  8333     0.5750048327856176      weak  
  8362     0.5401604484825053      weak  
  8369     0.35298666151169533      weak  
  8382     0.3777788517301372      weak  
  8385     0.5092789483858496      weak  
  8393     0.5928378117146723      weak  
  8403     0.3885559636574522      weak  
  8411     0.5981055480378891      weak  
  8412     0.5307365165281268      weak  
  8424     0.4424898511502029      weak  
  8438     0.48535665957858115      weak  
  8464     0.39324376570655317      weak  
  8538     0.5359559249951673      weak  
  8641     0.3939203556930214      weak  
  8644     0.45573168374250916      weak  
  8676     0.4877730523873961      weak  
  8735     0.3900057993427411      weak  
  8743     0.36990141117340036      weak  
  8770     0.4414266383143244      weak  
  8809     0.4053257297506282      weak  
  8822     0.5424318577227915      weak  
  8839     0.4432147689928475      weak  
  8842     0.5873767639667504      weak  
  8845     0.6914266383143244      weak  
  8860     0.36946646046781373      weak  
  8877     0.3634738063019525      weak  
  8884     0.3735260003866229      weak  
  8887     0.6074811521360912      weak  
  8893     0.6700657258843997      weak  
  8924     0.5398221534892712      weak  
  8928     0.46563889425865057      weak  
  8948     0.3523100715252272      weak  
  8969     0.4335008699014111      weak  
  9035     0.5233906823893292      weak  
  9038     0.46457568142277217      weak  
  9067     0.36018751208196415      weak  
  9083     0.4722598105548038      weak  
  9107     0.4424898511502029      weak  
  9131     0.3686932147689928      weak  
  9136     0.7841677943166441      strong  
  9183     0.602116760100522      weak  
  9198     0.6126039048907791      weak  
  9201     0.6985791610284168      weak  
  9210     0.5165764546684709      weak  
  9213     0.4517687995360526      weak  
  9218     0.46926348347187324      weak  
  9226     0.4281848057220181      weak  
  9251     0.41503962884206463      weak  
  9254     0.4221438236999807      weak  
  9257     0.38232167021070945      weak  
  9268     0.6045814807655132      weak  
  9293     0.38232167021070945      weak  
  9364     0.541078677749855      weak  
  9384     0.6676010052194083      weak  
  9394     0.5217958631355113      weak  
  9399     0.4424898511502029      weak  
  9412     0.5008699014111734      weak  
  9438     0.37217282041368643      weak  
  9461     0.606949545718152      weak  
  9462     0.4914459694567948      weak  
  9463     0.40165281268122943      weak  
  9464     0.5283684515754881      weak  
  9475     0.9407500483278562      strong  
  9478     0.3916489464527354      weak  
  9524     0.5347477285907598      weak  
  9599     0.38526966943746377      weak  
  9604     0.3839648173207037      weak  
  9685     0.48240866035182683      weak  
  9695     0.4877730523873961      weak  
  9699     0.47796249758360715      weak  
  9703     0.7559926541658613      strong  
  9715     0.6439686835491978      weak  
  9718     0.5712352600038663      weak  
  9753     0.5893098782138024      weak  
  9786     0.571041948579161      weak  
  9791     0.48240866035182683      weak  
  9818     0.6302919002513049      weak  
  9869     0.4195341194664604      weak  
  9928     0.43765706553257294      weak  
  9930     0.3692731490431085      weak  
  9943     0.36946646046781373      weak  
  9946     0.3623622656098976      weak  
  9949     0.36801662478252467      weak  
  9958     0.5928378117146723      weak  
  9968     0.5315097622269477      weak  
  9988     0.5892615503576262      weak  
  10138     0.43311424705200074      weak  
  10167     0.6056446936013918      weak  
  10225     0.602116760100522      weak  
  10468     0.3769089503189639      weak  
  10477     0.3997680262903538      weak  
