# searching chr1
# for transcription factor SUT1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  61     0.3690094293768835      weak  
  70     0.42179449790998347      weak  
  97     0.45504034217944983      weak  
  110     0.5597841936424613      weak  
  153     0.6477107028288132      weak  
  172     0.8475260036939827      strong  
  188     0.3907358802371926      weak  
  201     0.4443472343734811      weak  
  207     0.594779819189268      weak  
  247     0.40113735783027127      weak  
  259     0.4443472343734811      weak  
  270     0.4443472343734811      weak  
  290     0.594779819189268      weak  
  307     0.42179449790998347      weak  
  337     0.44546515018955973      weak  
  364     0.4443472343734811      weak  
  395     0.594779819189268      weak  
  401     0.38684747739865843      weak  
  423     0.4374939243705649      weak  
  430     0.41916982599397307      weak  
  452     0.4412365121026539      weak  
  469     0.5597841936424613      weak  
  471     0.7250899193156412      strong  
  500     0.5597841936424613      weak  
  502     0.38684747739865843      weak  
  510     0.37605715952172647      weak  
  514     0.352289297171187      weak  
  526     0.6173325556527656      weak  
  540     0.3966170895304754      weak  
  547     0.46937882764654415      weak  
  552     0.7025371828521435      strong  
  618     0.4412365121026539      weak  
  623     0.48070380091377485      weak  
  624     0.7970253718285215      strong  
  631     0.6477107028288132      weak  
  649     0.3785846213667736      weak  
  677     0.3875279478954019      weak  
  734     0.5986682220278021      weak  
  746     0.47623213764946054      weak  
  796     0.4585885097696123      weak  
  807     0.4287450179838632      weak  
  830     0.3979294254884806      weak  
  842     0.36060075823855353      weak  
  851     0.37338388257023436      weak  
  878     0.6206863031010013      weak  
  888     0.45960921551472744      weak  
  923     0.5252746184504715      weak  
  934     0.4719548945270732      weak  
  950     0.49037620297462814      weak  
  964     0.5095751919898903      weak  
  982     0.44113930203169044      weak  
  985     0.4663653154466804      weak  
  986     0.481870321765335      weak  
  994     0.37212015164771073      weak  
  1021     0.6353650238164674      weak  
  1042     0.3690094293768835      weak  
  1089     0.3651210265383493      weak  
  1092     0.43355691649654915      weak  
  1145     0.5100126373092254      weak  
  1175     0.5237192573150579      weak  
  1192     0.5839895013123361      weak  
  1195     0.36915524448332854      weak  
  1218     0.4477009818217168      weak  
  1228     0.4677262564401673      weak  
  1230     0.38684747739865843      weak  
  1280     0.7025371828521435      strong  
  1381     0.352289297171187      weak  
  1397     0.8162243608437832      strong  
  1403     0.3785846213667736      weak  
  1411     0.5264411393020318      weak  
  1426     0.4007971225818995      weak  
  1447     0.5095751919898903      weak  
  1463     0.37994556236026056      weak  
  1504     0.4012831729367163      weak  
  1516     0.4758919024010888      weak  
  1517     0.40449110527850696      weak  
  1553     0.48114124623310994      weak  
  1577     0.4159618936521824      weak  
  1628     0.44546515018955973      weak  
  1646     0.588947214931467      weak  
  1704     0.6281228735296978      weak  
  1771     0.4481384271410519      weak  
  1784     0.45960921551472744      weak  
  1792     0.4585885097696123      weak  
  1793     0.44920773792164875      weak  
  1810     0.4635462233887431      weak  
  1811     0.40449110527850696      weak  
  1825     0.4018178283270148      weak  
  1833     0.5996889277729173      weak  
  1865     0.5264411393020318      weak  
  1875     0.352289297171187      weak  
  1886     0.4187323806746379      weak  
  1898     0.6391562165840382      weak  
  1907     0.3692038495188101      weak  
  1911     0.6515018955963839      weak  
  1921     0.4018178283270148      weak  
  1944     0.5027218819869739      weak  
  1965     0.5981335666375036      weak  
  1973     0.5232332069602411      weak  
  1979     0.3548653640517158      weak  
  1989     0.3902012248468941      weak  
  1993     0.5836492660639643      weak  
  1998     0.4707397686400312      weak  
  2001     0.3956449888208419      weak  
  2006     0.5996889277729173      weak  
  2021     0.557159521726451      weak  
  2022     0.4583940896276855      weak  
  2036     0.6675415573053369      weak  
  2043     0.6065422377758337      weak  
  2082     0.4370564790512298      weak  
  2085     0.633031982113347      weak  
  2107     0.3998736269077477      weak  
  2119     0.4287450179838632      weak  
  2128     0.35904539710314      weak  
  2142     0.36915524448332854      weak  
  2232     0.45538057742782156      weak  
  2273     0.40487994556236023      weak  
  2277     0.44113930203169044      weak  
  2302     0.4671916010498688      weak  
  2310     0.4775930786429475      weak  
  2320     0.36060075823855353      weak  
  2342     0.4412365121026539      weak  
  2351     0.5129289394381258      weak  
  2359     0.4412365121026539      weak  
  2371     0.4481384271410519      weak  
  2382     0.3835909400213862      weak  
  2389     0.563137941090697      weak  
  2419     0.45960921551472744      weak  
  2441     0.43506367259648115      weak  
  2457     0.45960921551472744      weak  
  2462     0.36779430348984166      weak  
  2473     0.4932925051035288      weak  
  2488     0.5860309128025665      weak  
  2494     0.3850976961213182      weak  
  2543     0.49484786623894245      weak  
  2544     0.5890930300379119      weak  
  2560     0.7289783221541752      strong  
  2574     0.4952853115582775      weak  
  2582     0.5640128317293671      weak  
  2602     0.40711577719451736      weak  
  2613     0.3902012248468941      weak  
  2617     0.5529308836395451      weak  
  2632     0.4914941187907067      weak  
  2633     0.7205696510158452      strong  
  2636     0.5102556624866337      weak  
  2656     0.3835909400213862      weak  
  2664     0.45960921551472744      weak  
  2685     0.5836492660639643      weak  
  2686     0.48094682609118317      weak  
  2692     0.4719548945270732      weak  
  2702     0.38475746087294654      weak  
  2703     0.6001749781277341      weak  
  2725     0.6358024691358025      weak  
  2727     0.9014289880431613      strong  
  2739     0.3692038495188101      weak  
  2759     0.39384660250801984      weak  
  2766     0.3864586371148051      weak  
  2772     0.3917079809468262      weak  
  2825     0.4283075726645281      weak  
  2836     0.4163993389715175      weak  
  2867     0.5360649363274036      weak  
  2887     0.6125206571400799      weak  
  2909     0.5071935452512882      weak  
  2910     0.7970253718285215      strong  
  2931     0.4932925051035288      weak  
  2949     0.5996889277729173      weak  
  2974     0.3994361815884127      weak  
  2975     0.7205696510158452      strong  
  2991     0.5996889277729173      weak  
  2998     0.697676679303976      weak  
  3039     0.39292310683386794      weak  
  3040     0.7113832993098085      strong  
  3051     0.40619228152036563      weak  
  3063     0.40487994556236023      weak  
