# searching chr1
# for transcription factor HAC1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  12114     0.42733359590389924      weak  
  20798     0.4834861869127327      weak  
  29780     0.40448995667585663      weak  
  41481     0.5112811568108929      weak  
  42250     0.6585832442468914      weak  
  49261     0.6436729871152872      weak  
  51762     0.5623698869071062      weak  
  56717     0.4417937320654926      weak  
  61082     0.685309176841276      weak  
  61252     0.44674506273561015      weak  
  61419     0.6997693130028696      weak  
  69252     0.525178641759973      weak  
  72100     0.4834861869127327      weak  
  77860     0.6297755021662071      weak  
  79679     0.7186181286220671      strong  
  80414     0.6436729871152872      weak  
  83931     0.3614471389185843      weak  
  86824     0.7147358352557249      strong  
  88019     0.4690260507511394      weak  
  88151     0.4145051482585946      weak  
  102146     0.5112811568108929      weak  
  105950     0.5791368930400044      weak  
  109422     0.41298598998480834      weak  
  109662     0.5602880774208069      weak  
  114057     0.8893265064986215      strong  
  114261     0.4145051482585946      weak  
  115817     0.6064254768469026      weak  
  116945     0.6997693130028696      weak  
  121089     0.386485117875429      weak  
  123682     0.8893265064986215      strong  
  130181     0.6352332189275868      weak  
  131992     0.3534574917008945      weak  
  134393     0.5940471501716086      weak  
  137628     0.39222416024306533      weak  
  138521     0.3907050019692792      weak  
  138822     0.3756822145951725      weak  
  143116     0.810442806504248      strong  
  143725     0.5602880774208069      weak  
  147451     0.42733359590389924      weak  
  157587     0.5652394080909243      weak  
  157982     0.3534574917008945      weak  
  162105     0.5380070894052776      weak  
  163298     0.7959826703426546      strong  
  168926     0.6724807291959713      weak  
  169927     0.5940471501716086      weak  
  171174     0.44021830867045525      weak  
  174976     0.685309176841276      weak  
  180970     0.7831542226973499      strong  
  181659     0.6229674224947954      weak  
  182238     0.39222416024306533      weak  
  182525     0.5752545996736622      weak  
  186300     0.40448995667585663      weak  
  188890     0.41506779947110795      weak  
  190733     0.35621448264221006      weak  
  191867     0.35919653406853097      weak  
  200571     0.4606425476846902      weak  
  208840     0.45456591458954587      weak  
  210272     0.37179992122883027      weak  
  215396     0.5940471501716086      weak  
  218170     0.8893265064986215      strong  
  218314     0.5380070894052776      weak  
  223962     0.3877792156642098      weak  
  225030     0.6352332189275868      weak  
  227076     0.5350813031002082      weak  
# 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# The number of weak sites for the forwards direction is 56
# The number of strong sites for the forwards direction is 8


# The following is the outputs of the program in the reverse compliment direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  1237     0.5668148314859619      weak  
  3359     0.6585832442468913      weak  
  3857     0.386485117875429      weak  
  7163     0.3614471389185844      weak  
  12050     0.3591965340685309      weak  
  12436     0.5652394080909243      weak  
  15945     0.4645811061722839      weak  
  21706     0.8247904124233388      strong  
  23519     0.5380070894052777      weak  
  23938     0.47110786023743867      weak  
  24482     0.3591965340685309      weak  
  24889     0.5652394080909243      weak  
  30645     0.6064254768469025      weak  
  30788     0.3614471389185844      weak  
  32476     0.6745625386822707      weak  
  32555     0.4606425476846902      weak  
  34323     0.5956788386878972      weak  
  35062     0.4957519833455241      weak  
  35376     0.4423001181567546      weak  
  40453     0.5112811568108929      weak  
  41551     0.5602880774208069      weak  
  45334     0.6585832442468913      weak  
  49576     0.6774883249873402      weak  
  50615     0.6709615709221853      weak  
  51062     0.37281269341135426      weak  
  58309     0.6229674224947954      weak  
  58481     0.7831542226973498      strong  
  61414     0.44179373206549255      weak  
  61551     0.7975018286164406      strong  
  61740     0.9354639059247174      strong  
  63402     0.6501997411804422      weak  
