# searching chr1
# for transcription factor MBP1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  96     0.7040403702837282      strong  
  105     0.5092069645423253      weak  
  107     0.5367108912876383      weak  
  109     0.740968485780169      strong  
  116     0.6411456070581159      weak  
  126     0.3521705711325736      weak  
  132     0.35253818133208564      weak  
  141     0.7084851117869196      strong  
  144     0.37349196270427426      weak  
  150     0.5092069645423253      weak  
  152     0.38004210807739863      weak  
  187     0.3595227751228152      weak  
  196     0.6411456070581159      weak  
  206     0.8056678808942953      strong  
  216     0.37349196270427426      weak  
  227     0.4155666209938843      weak  
  246     0.41593423119339634      weak  
  252     0.6411456070581159      weak  
  263     0.3521705711325736      weak  
  289     0.8056678808942953      strong  
  336     0.4282993015406209      weak  
  353     0.5562610700798716      weak  
  357     0.5865387828760485      weak  
  385     0.37656652073655716      weak  
  394     0.8056678808942953      strong  
  400     0.7422718310329847      strong  
  404     0.5439628379507402      weak  
  417     0.39117067138990075      weak  
  421     0.361928950974167      weak  
  425     0.5264512248103466      weak  
  451     0.5161915583330549      weak  
  459     0.6411456070581159      weak  
  468     0.805166594258597      strong  
  482     0.5564950038431975      weak  
  490     0.4784613842194967      weak  
  497     0.5161915583330549      weak  
  499     0.740968485780169      strong  
  501     0.7414697724158674      strong  
  525     0.8056678808942953      strong  
  546     0.8354777261638204      strong  
  575     0.4553687798683287      weak  
  586     0.3692811549644086      weak  
  617     0.5153894997159376      weak  
  619     0.4499548842027872      weak  
  630     0.3896333923737593      weak  
  648     0.41593423119339634      weak  
  676     0.5855027904956054      weak  
  689     0.6411456070581159      weak  
  722     0.35136851251545637      weak  
  733     0.42291882498412586      weak  
  745     0.5800888948300638      weak  
  771     0.3914714433713197      weak  
  796     0.5816595929552518      weak  
  800     0.489356013768673      weak  
  815     0.3939110383317181      weak  
  825     0.5158907863516359      weak  
  829     0.3944123249674164      weak  
  850     0.545700631621161      weak  
  857     0.6497008989740334      weak  
  861     0.3519700564782943      weak  
  875     0.35086722587975805      weak  
  885     0.35086722587975805      weak  
  887     0.45851017611870465      weak  
  893     0.6411456070581159      weak  
  922     0.5372121779233366      weak  
  927     0.5166928449687531      weak  
  931     0.5726030144036359      weak  
  933     0.440029408815961      weak  
  942     0.5136517060455168      weak  
  949     0.6198910537045081      weak  
  971     0.5631788256525081      weak  
  981     0.5141529926812152      weak  
  1013     0.35086722587975805      weak  
  1020     0.46272098385857025      weak  
  1072     0.47976472947231225      weak  
  1088     0.5141529926812152      weak  
