# searching chr1
# for transcription factor HAP1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  665     0.6387062646414267      weak  
  719     0.42779415098617085      weak  
  779     0.5223305372931306      weak  
  847     0.43973399833748944      weak  
  959     0.5223305372931306      weak  
  967     0.5605682762789994      weak  
  1095     0.35351016398397933      weak  
  1119     0.3701352678908789      weak  
  1158     0.6974231088944304      weak  
  1178     0.4968639008539257      weak  
  1221     0.5125066122572356      weak  
  1520     0.3789012317690621      weak  
  1587     0.38668480314365594      weak  
  1650     0.48424393561550655      weak  
  1707     0.35645734149474795      weak  
  1755     0.4889291921710874      weak  
  1814     0.43368850600770786      weak  
  1836     0.4000604549232977      weak  
  2051     0.45061588453109636      weak  
  2126     0.4640671049648606      weak  
  2135     0.35766643996070435      weak  
  2300     0.4537897680042318      weak  
  2363     0.35683518476535925      weak  
  2729     0.44177435199879084      weak  
  2891     0.3940905312476384      weak  
  2994     0.4494823547192624      weak  
  3044     0.40958210534270373      weak  
  3218     0.5401647396659863      weak  
  3610     0.5919292677397415      weak  
  3674     0.373006876747525      weak  
  3921     0.49112068314063306      weak  
  3988     0.35925338169727195      weak  
  4080     0.40467014282475633      weak  
  4273     0.44132094007405726      weak  
  4286     0.40361218166704443      weak  
  4287     0.35026071185672175      weak  
  4309     0.4312703090757952      weak  
  4819     0.49202750699010034      weak  
  5477     0.43172372100052897      weak  
  5682     0.394543943172372      weak  
  5755     0.417743519987909      weak  
  5793     0.4120003022746165      weak  
  5876     0.38464444948235466      weak  
  6397     0.4889291921710874      weak  
  6843     0.5476460364240913      weak  
  7014     0.40330990705055536      weak  
  7181     0.7714803899342552      strong  
  7477     0.5292828534723796      weak  
  7633     0.4147207738230181      weak  
  7723     0.5223305372931306      weak  
  7775     0.6127106476233658      weak  
  8068     0.492480918914834      weak  
  8194     0.46935691075341957      weak  
  8703     0.39341041336053806      weak  
  8719     0.7673241139575303      strong  
  9330     0.48167460137534945      weak  
  9349     0.6750547872742385      weak  
  9394     0.467014282475629      weak  
  9441     0.7157107231920198      strong  
  9464     0.48787123101337554      weak  
  9496     0.7630922693266834      strong  
  9659     0.500566764905917      weak  
  9806     0.4723796569183102      weak  
  9913     0.481221189450616      weak  
  9971     0.46935691075341957      weak  
  10009     0.3581198518854378      weak  
  10056     0.5412227008236983      weak  
  10064     0.3875916269931232      weak  
  10353     0.40323433839643313      weak  
  10381     0.6614524295322299      weak  
  10482     0.5576966674223531      weak  
  11223     0.4345953298571752      weak  
  11813     0.4880223683216201      weak  
  11998     0.42333560039295687      weak  
  12170     0.6669689412831555      weak  
  12365     0.49814856797400425      weak  
  12371     0.3737625632887478      weak  
  12377     0.40104284742688723      weak  
  12435     0.3505629864732108      weak  
  12443     0.4743444419254893      weak  
  13122     0.4375425073679437      weak  
  13256     0.4720018136476989      weak  
  13334     0.5382755233129298      weak  
  13367     0.45454545454545436      weak  
  13428     0.49814856797400425      weak  
  13458     0.5452278394921786      weak  
  13796     0.35426585052520204      weak  
  14341     0.5550517645280736      weak  
  14624     0.5885286783042395      weak  
  14634     0.46754326305448485      weak  
  14677     0.5364618756139953      weak  
  14757     0.4028564951258217      weak  
  14815     0.3719489155898133      weak  
  14929     0.3584221265019269      weak  
  14937     0.3555505176452807      weak  
  14981     0.3756517796418045      weak  
  15036     0.5981258973777676      weak  
  15299     0.3680193455754552      weak  
  15324     0.3871382150683896      weak  
  15348     0.3705886798156124      weak  
  15358     0.538653366583541      weak  
  15387     0.41064006650041557      weak  
  15543     0.42046399153631064      weak  
  15892     0.4968639008539257      weak  
  15978     0.677397415552029      weak  
  16094     0.35683518476535925      weak  
  16283     0.5911735811985188      weak  
  16378     0.503967354341419      weak  
  16389     0.46739212574624034      weak  
  16562     0.583465578478047      weak  
  16606     0.40021159223154235      weak  
  17316     0.6818559661452428      weak  
  17539     0.4312703090757952      weak  
  17809     0.58255875462858      weak  
  17930     0.35759087130658196      weak  
  17955     0.40844857553086966      weak  
  17965     0.6143731580140557      weak  
  18010     0.38759162699312316      weak  
  18032     0.4608932214917251      weak  
  18106     0.5981258973777676      weak  
  18141     0.365676717297665      weak  
  18252     0.5657069447593136      weak  
  18620     0.6826116526864655      weak  
  18627     0.6580518400967278      weak  
  18653     0.4165344215219526      weak  
  18781     0.4587772991763017      weak  
  18850     0.4565102395526334      weak  
  18891     0.36582785460590944      weak  
  18959     0.5195344970906067      weak  
  19365     0.5508199198972266      weak  
  19475     0.4968639008539257      weak  
  19687     0.36136930401269546      weak  
  19745     0.6380261467543261      weak  
  19801     0.48167460137534945      weak  
  19826     0.4936144487266681      weak  
  20079     0.37474495579233724      weak  
  20302     0.5230862238343533      weak  
  20520     0.47751832539862465      weak  
  20624     0.38479558679059916      weak  
  20742     0.36703695307186573      weak  
  20909     0.3655255799894203      weak  
  20970     0.411320184387516      weak  
  21014     0.4760069523161791      weak  
  21122     0.3609158920879618      weak  
  21238     0.3979445326078742      weak  
  21335     0.4383737625632887      weak  
  21528     0.46935691075341957      weak  
  21752     0.4100355172674374      weak  
  21854     0.5111463764830347      weak  
  22041     0.6226101413133831      weak  
  22106     0.4831104058036725      weak  
  22132     0.38827174488022376      weak  
  22154     0.39741555202901824      weak  
  22179     0.6687825889820902      weak  
  22224     0.3538880072545908      weak  
  22623     0.535781757726895      weak  
  22727     0.3705886798156124      weak  
  22830     0.6473966598654876      weak  
  22888     0.6140708833975665      weak  
  22899     0.428700974835638      weak  
  22952     0.42514924809189136      weak  
  23205     0.45749263205622304      weak  
  23231     0.3523766341721454      weak  
  23526     0.5910980125443964      weak  
  23547     0.4719262449935766      weak  
  23572     0.5734149474797854      weak  
  23614     0.3608403234338395      weak  
  23770     0.8673770120154158      strong  
  23978     0.46950804806166396      weak  
  24167     0.40111841608100957      weak  
  24245     0.4880223683216201      weak  
  24818     0.49814856797400425      weak  
  24824     0.3737625632887478      weak  
  24830     0.40104284742688723      weak  
  24888     0.3505629864732108      weak  
  24896     0.4743444419254893      weak  
  25287     0.4375425073679437      weak  
  25445     0.42016171691982157      weak  
  25580     0.5910980125443964      weak  
  25589     0.5511221945137156      weak  
  25715     0.3730824454016473      weak  
  25724     0.5511221945137156      weak  
  25850     0.3730824454016473      weak  
  25859     0.5511221945137156      weak  
  25985     0.3730824454016473      weak  
  25994     0.5511221945137156      weak  
  26120     0.3730824454016473      weak  
  26129     0.5511221945137156      weak  
  26255     0.3730824454016473      weak  
  26264     0.5511221945137156      weak  
  26399     0.5511221945137156      weak  
  26534     0.5862616186805713      weak  
  26552     0.48220358195420526      weak  
  26669     0.5862616186805713      weak  
  26687     0.48220358195420526      weak  
  26804     0.5862616186805713      weak  
  26822     0.48220358195420526      weak  
  26915     0.3773142900324945      weak  
