# searching chr1
# for transcription factor RAP1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  0     0.4046867617877728      weak  
  5     0.6462250779552111      weak  
  9     0.3693659642823396      weak  
  11     0.37996787300387413      weak  
  13     0.6589624870074647      weak  
  17     0.3693659642823396      weak  
  21     0.4174241708400264      weak  
  26     0.4046867617877728      weak  
  33     0.4174241708400264      weak  
  38     0.4046867617877728      weak  
  43     0.6462250779552111      weak  
  47     0.39115562694888023      weak  
  49     0.4696588868940754      weak  
  51     0.48239629594632905      weak  
  53     0.36226022866861946      weak  
  55     0.5753378059151469      weak  
  57     0.41481621468392704      weak  
  80     0.48753661532646686      weak  
  91     0.35645847113294904      weak  
  99     0.6058584522347159      weak  
  108     0.3572899933856184      weak  
  114     0.41751866200510246      weak  
  116     0.40619862042898985      weak  
  120     0.38416328073325146      weak  
  126     0.515298119625815      weak  
  130     0.35190399697628266      weak  
  133     0.46255315128035523      weak  
  136     0.41406028536331857      weak  
  144     0.709364074459038      strong  
  150     0.4811679108003401      weak  
  164     0.35702541812340544      weak  
  169     0.5215345365208351      weak  
  177     0.4262118491921005      weak  
  185     0.4433336483038836      weak  
  188     0.45631673438533493      weak  
  192     0.3775300009449116      weak  
  198     0.5614476046489653      weak  
  204     0.3779079656052159      weak  
  206     0.5030331663989416      weak  
  208     0.5418501370121893      weak  
  210     0.4154398563734291      weak  
  216     0.35636397996787295      weak  
  220     0.607275819710857      weak  
  226     0.351129169422659      weak  
  233     0.38406878956817525      weak  
  238     0.49570065198903895      weak  
  240     0.3658697911745251      weak  
  244     0.6753094585656241      weak  
  250     0.4540867428895398      weak  
  256     0.4442785599546442      weak  
  268     0.4035150713408296      weak  
  271     0.3842010771992818      weak  
  275     0.5990928848152697      weak  
  281     0.5548332230936407      weak  
  287     0.40961920060474344      weak  
  292     0.526126807143532      weak  
  298     0.4551450439383917      weak  
  301     0.3604648965321742      weak  
  305     0.42698667674572416      weak  
  309     0.5601625248039308      weak  
  312     0.3631484456203345      weak  
  349     0.6248511764150052      weak  
  355     0.3506756118302938      weak  
  361     0.5426249645658131      weak  
  362     0.46037985448360574      weak  
  372     0.41748086553907204      weak  
  375     0.3800812624019654      weak  
  378     0.4714731172635358      weak  
  380     0.3503165454030048      weak  
  392     0.5195691202872531      weak  
  394     0.4745157327789851      weak  
  396     0.38002456770291976      weak  
  399     0.44981574222810167      weak  
  408     0.35987905130870257      weak  
  414     0.3871114050836246      weak  
  421     0.3557592365113862      weak  
  425     0.5558537276764621      weak  
  445     0.6582065576868562      weak  
  451     0.43685155437966544      weak  
  457     0.4302560710573561      weak  
  466     0.4890106775016536      weak  
  468     0.41702730794670695      weak  
  473     0.40504582821506185      weak  
  474     0.5252007937257865      weak  
  484     0.5827837097231409      weak  
  491     0.3854483605782859      weak  
  497     0.37658508929415097      weak  
  499     0.42575829159973544      weak  
  512     0.5434375885854671      weak  
  523     0.3503732401020504      weak  
  527     0.3523008598696022      weak  
  561     0.836719266748559      strong  
  598     0.3812529528489086      weak  
  600     0.39784560143626563      weak  
  608     0.36165548521213264      weak  
  614     0.4549182651422091      weak  
  628     0.38410658603420567      weak  
  629     0.3893791930454502      weak  
  634     0.4474723613342152      weak  
  646     0.43490503637909844      weak  
  658     0.3938391760370405      weak  
  660     0.453311915335916      weak  
  667     0.49193990361901163      weak  
  678     0.516545403004819      weak  
  681     0.42785599546442404      weak  
  688     0.4309931021449494      weak  
  694     0.635471983369555      weak  
  703     0.43962959463290174      weak  
  732     0.4223377114239818      weak  
  742     0.35974676367759606      weak  
  745     0.4008693187186997      weak  
  762     0.3559104223755078      weak  
  792     0.3927997732212038      weak  
  798     0.5564962675989794      weak  
  815     0.44843617121799106      weak  
  832     0.3517339128791458      weak  
  838     0.37008409713691764      weak  
  849     0.4664461872814892      weak  
  856     0.41593121043182457      weak  
  882     0.4510819238401209      weak  
  885     0.3995275441746196      weak  
  895     0.3620523481054521      weak  
  925     0.4044032882925446      weak  
  940     0.4223377114239818      weak  
  947     0.43010488519323437      weak  
  949     0.613927997732212      weak  
  973     0.49222337711423975      weak  
  982     0.45616554852121327      weak  
  1005     0.478503259945195      weak  
  1012     0.5157894736842105      weak  
  1018     0.49929131626192946      weak  
  1022     0.4261173580270244      weak  
  1051     0.4696777851270905      weak  
  1067     0.43021827459132567      weak  
  1083     0.45678919021071523      weak  
  1090     0.3943872247944817      weak  
  1103     0.8002267787961823      strong  
  1117     0.42572049513370497      weak  
  1119     0.39739204384390053      weak  
  1131     0.3537749220447888      weak  
  1171     0.47517717093451756      weak  
  1183     0.4078238684682982      weak  
  1219     0.4168383256165548      weak  
  1231     0.6213927997732211      weak  
  1242     0.6251157516772181      weak  
  1246     0.385637342908438      weak  
  1249     0.40306151374846444      weak  
  1256     0.4592081640366624      weak  
  1259     0.3720495133704998      weak  
  1271     0.35916091845412457      weak  
  1276     0.43501842577718974      weak  
  1277     0.3574978739487858      weak  
  1287     0.7823679485968061      strong  
  1293     0.5549844089577624      weak  
  1319     0.5000094491165075      weak  
  1327     0.42687328734763297      weak  
  1337     0.4088632712841349      weak  
  1339     0.5137862609845979      weak  
  1353     0.3908910516866672      weak  
  1367     0.38486251535481425      weak  
  1379     0.5596144760464896      weak  
  1384     0.4021921950297647      weak  
  1394     0.5703675706321458      weak  
  1414     0.47990172918832086      weak  
  1421     0.37407162430312757      weak  
  1424     0.3550033071907776      weak  
  1436     0.4556552962298025      weak  
  1484     0.5874704715109136      weak  
  1490     0.46448077104790697      weak  
  1500     0.3678163091750921      weak  
  1529     0.5893413965794198      weak  
  1530     0.4685438911461778      weak  
  1537     0.5538316167438344      weak  
  1556     0.5116507606538788      weak  
  1558     0.7167721818010014      strong  
  1562     0.39200604743456485      weak  
  1579     0.6710195596711708      weak  
  1582     0.35375602381177357      weak  
  1613     0.3852026835490881      weak  
  1622     0.5788339790229613      weak  
  1624     0.3961447604648965      weak  
  1642     0.48982330152130765      weak  
  1649     0.44518567513937446      weak  
  1651     0.5586317679296986      weak  
  1655     0.4037040536709818      weak  
  1695     0.35647736936596425      weak  
  1700     0.4293111594065954      weak  
  1713     0.36023811773599157      weak  
  1725     0.3570632145894358      weak  
  1759     0.3846546347916469      weak  
  1774     0.3602759142020221      weak  
  1775     0.4476991401303978      weak  
  1789     0.35107247472361325      weak  
  1800     0.5684588490976094      weak  
  1812     0.40285363318529716      weak  
  1821     0.4702636303505622      weak  
  1823     0.4996125862231881      weak  
  1827     0.4594349428328451      weak  
  1864     0.4902579608806576      weak  
  1873     0.4580175753567042      weak  
  1882     0.3550789001228385      weak  
  1883     0.36724936218463566      weak  
  1894     0.5273929887555513      weak  
  1902     0.5267504488330341      weak  
  1904     0.45637342908438056      weak  
  1918     0.5436454691486345      weak  
  1919     0.41685722384957      weak  
  1927     0.4396862893319474      weak  
  1941     0.5721440045355759      weak  
  1961     0.3926485873570821      weak  
  1964     0.46650288198053474      weak  
  1970     0.6801474062175185      weak  
  1974     0.42738353963904374      weak  
  1984     0.39094774638571284      weak  
  1985     0.43331758480582067      weak  
  2007     0.47300387413776807      weak  
  2010     0.6627421336105074      weak  
  2046     0.49254464707549844      weak  
  2054     0.6974581876594538      weak  
  2061     0.43853349711801937      weak  
  2064     0.7936690919399035      strong  
  2090     0.40419540772937723      weak  
  2092     0.39087215345365206      weak  
  2098     0.49912123216479254      weak  
  2110     0.48695077010299537      weak  
  2129     0.3855995464424077      weak  
  2135     0.4329396201455164      weak  
  2146     0.3758480582065576      weak  
  2186     0.4024189738259472      weak  
  2193     0.39106113578380414      weak  
  2201     0.37567797410942066      weak  
  2223     0.42679769441557214      weak  
  2225     0.48099782670320324      weak  
  2239     0.6272701502409525      weak  
  2254     0.37994897477085887      weak  
  2264     0.6144760464896531      weak  
  2270     0.5473306245866012      weak  
  2274     0.3854483605782859      weak  
  2285     0.4181423036946045      weak  
  2310     0.41842577718983276      weak  
  2311     0.5499952754417462      weak  
  2316     0.3939147689691014      weak  
  2317     0.4943588774449588      weak  
  2322     0.4582065576868562      weak  
  2338     0.4549182651422091      weak  
  2340     0.40805064726448076      weak  
  2350     0.35143154115090236      weak  
  2352     0.543513181517528      weak  
  2378     0.41568553340262687      weak  
  2415     0.43586884626287437      weak  
  2420     0.3763205140319379      weak  
  2428     0.37259756212794104      weak  
  2464     0.5165265047718038      weak  
  2510     0.40171973920438436      weak  
  2515     0.4209959368799017      weak  
  2521     0.5301521307757724      weak  
  2533     0.5379004063120097      weak  
  2534     0.46090900500803167      weak  
  2539     0.4058962487007465      weak  
  2576     0.41241613909099495      weak  
  2579     0.3812529528489086      weak  
  2585     0.4044788812246054      weak  
  2591     0.5754322970802229      weak  
  2610     0.5062836624775583      weak  
  2630     0.4164603609562505      weak  
  2647     0.5007842766701314      weak  
  2650     0.393272229046584      weak  
  2652     0.46746669186431056      weak  
  2661     0.3795710101105546      weak  
  2672     0.44664083908154584      weak  
  2683     0.4859113672871586      weak  
  2693     0.5291694226589814      weak  
  2699     0.45132760086931867      weak  
  2722     0.4549371633752244      weak  
  2757     0.4145138429556836      weak  
  2805     0.4830577341018614      weak  
  2816     0.36441462723235374      weak  
  2822     0.40850420485684585      weak  
  2825     0.395483322309364      weak  
  2906     0.47581971085703484      weak  
  2922     0.4763866578474912      weak  
  2943     0.36528394595105357      weak  
  2956     0.3532079750543324      weak  
  2971     0.39788339790229615      weak  
  2977     0.532778985164887      weak  
  3010     0.4631956912028725      weak  
  3013     0.41132004157611257      weak  
  3016     0.5892658036473589      weak  
  3018     0.44665973731456105      weak  
  3036     0.4582821506189171      weak  
  3037     0.35553245771520364      weak  
  3042     0.37762449210998766      weak  
  3048     0.36845884909760934      weak  
  3049     0.42371728243409235      weak  
  3059     0.46998015685533395      weak  
  3064     0.4935840498913351      weak  
  3065     0.5772276292166681      weak  
  3076     0.7500708683738069      strong  
  3084     0.3809316828876499      weak  
  3094     0.4318624208636491      weak  
  3105     0.39406595483322304      weak  
  3135     0.42827175659075867      weak  
  3140     0.49135405839553997      weak  
  3143     0.4528772559765661      weak  
  3156     0.4498535386941321      weak  
  3159     0.35887744495889634      weak  
  3198     0.510970424265331      weak  
  3213     0.42384957006519886      weak  
  3233     0.4788623263724841      weak  
  3275     0.414910705849003      weak  
  3282     0.4594916375318907      weak  
  3306     0.3738448455069451      weak  
  3319     0.46049324388169693      weak  
  3344     0.3725786638949258      weak  
  3353     0.5718416328073324      weak  
  3361     0.5684210526315788      weak  
  3374     0.49804403288292537      weak  
  3378     0.5042804497779457      weak  
  3390     0.4019276197675517      weak  
  3392     0.5524331475007086      weak  
  3400     0.35281111216101285      weak  
  3410     0.5664556363979967      weak  
  3416     0.3721440045355759      weak  
  3440     0.40483794765189446      weak  
  3453     0.45803647358971933      weak  
  3460     0.4236983842010772      weak  
  3461     0.35574033827837087      weak  
  3467     0.5208730983653028      weak  
  3478     0.35281111216101285      weak  
  3515     0.4391949352735519      weak  
  3523     0.40871208542001325      weak  
  3537     0.4027969384862515      weak  
  3544     0.6960597184163279      weak  
  3552     0.4648776339412265      weak  
  3577     0.379608806576585      weak  
  3603     0.43902485117641493      weak  
  3604     0.35247094396673906      weak  
  3616     0.518586412170462      weak  
  3623     0.5035434186903524      weak  
  3625     0.36239251629972596      weak  
  3634     0.3972597562127941      weak  
  3645     0.4607200226778796      weak  
  3656     0.5315694982519134      weak  
  3658     0.6067655674194462      weak  
  3698     0.35366153264669753      weak  
  3711     0.3562316923367665      weak  
  3731     0.3651894547859774      weak  
  3756     0.561768874610224      weak  
  3760     0.4581687612208258      weak  
  3763     0.4738920910894831      weak  
  3774     0.6635736558631767      weak  
  3788     0.4773504677312671      weak  
  3807     0.4507606538788622      weak  
  3808     0.38697911745251823      weak  
  3829     0.4615893413965793      weak  
  3841     0.3558537276764622      weak  
  3850     0.5612775205518282      weak  
  3851     0.7584238873665312      strong  
  3900     0.4748181045072285      weak  
  3925     0.35579703297741655      weak  
  3933     0.6605121421147121      weak  
  3941     0.4021166020977038      weak  
  3946     0.37698195218747044      weak  
  3957     0.4530851365397334      weak  
  3958     0.4390059529433997      weak  
  3973     0.4913351601625247      weak  
  3981     0.39514315411509016      weak  
  3989     0.436719266748559      weak  
  3998     0.37887177548899176      weak  
  4005     0.41215156382878193      weak  
  4013     0.413398847207786      weak  
  4030     0.4845884909760937      weak  
  4036     0.3704053670981763      weak  
  4042     0.5557781347444013      weak  
  4055     0.39191155626948876      weak  
  4102     0.7150902390626476      strong  
  4108     0.360710573561372      weak  
  4111     0.4546725881130114      weak  
  4114     0.44913540583955397      weak  
  4131     0.5282056127752055      weak  
  4135     0.4939809127846546      weak  
  4141     0.35462534253047334      weak  
  4154     0.4713030331663989      weak  
  4175     0.6470754984408956      weak  
  4183     0.47402437872058956      weak  
  4206     0.42477558348294425      weak  
  4228     0.3513748464518567      weak  
  4230     0.36229802513464987      weak  
  4244     0.678144193517906      weak  
  4262     0.35196069167532834      weak  
  4276     0.3640744590380799      weak  
  4279     0.5837664178399319      weak  
  4280     0.3759614476046489      weak  
  4292     0.4622129830860814      weak  
  4309     0.416063498062931      weak  
  4315     0.3704431635642067      weak  
  4325     0.5235755456864782      weak  
  4337     0.35984125484267215      weak  
  4340     0.5164509118397429      weak  
  4357     0.7145799867712368      strong  
  4378     0.4435793253330813      weak  
  4389     0.381460833412076      weak  
  4392     0.3810450722857413      weak  
  4404     0.5777189832750638      weak  
  4408     0.3837286213739015      weak  
  4415     0.36140980818293483      weak  
  4418     0.3660020788056316      weak  
  4433     0.49691013890201263      weak  
  4470     0.65144099026741      weak  
  4489     0.43454596995180944      weak  
  4523     0.40328829254464704      weak  
  4527     0.3676651233109704      weak  
  4530     0.37770008504204855      weak  
  4535     0.43411131059245955      weak  
  4550     0.6433525465368987      weak  
  4553     0.3733345932155343      weak  
  4561     0.398147973164509      weak  
  4563     0.6232637248417273      weak  
  4596     0.4803930832467164      weak  
  4604     0.5019370688840593      weak  
  4607     0.39926296891240665      weak  
  4624     0.37770008504204855      weak  
  4653     0.5423225928375696      weak  
  4671     0.45240480015118584      weak  
  4680     0.35131815175281106      weak  
  4687     0.6249645658130965      weak  
  4695     0.5280733251440989      weak  
  4699     0.46427289048473963      weak  
  4710     0.42519134460927893      weak  
  4727     0.4788434281394689      weak  
  4733     0.3636775961447604      weak  
  4754     0.43885476707927806      weak  
  4768     0.44461872814891806      weak  
  4782     0.3912879145799867      weak  
  4813     0.6203344987243691      weak  
  4861     0.503864688651611      weak  
  4873     0.6260039686289331      weak  
  4884     0.5377681186809032      weak  
  4907     0.374903146555797      weak  
  4921     0.47275819710857026      weak  
  4930     0.4133421525087404      weak  
  4938     0.7469904563923272      strong  
  4942     0.5559293206085231      weak  
  4955     0.37180383634130204      weak  
  4957     0.3721440045355759      weak  
  4966     0.4042898988944533      weak  
  4968     0.3661154682037229      weak  
  4987     0.5339695738448454      weak  
  4993     0.417915524898422      weak  
  5001     0.3717660398752716      weak  
  5016     0.5433053009543607      weak  
  5019     0.40712463384673536      weak  
  5022     0.44883303411131054      weak  
  5053     0.3771331380515922      weak  
  5055     0.4259661721629028      weak  
  5114     0.5612019276197674      weak  
  5144     0.4902579608806576      weak  
  5150     0.5179060757819144      weak  
  5159     0.5153548143248606      weak  
  5163     0.5555513559482188      weak  
  5165     0.48872720400642533      weak  
  5170     0.44979684399508646      weak  
  5171     0.39155248984219976      weak  
  5174     0.3575356704148162      weak  
  5182     0.36161768874610223      weak  
  5189     0.6619673060568837      weak  
  5192     0.5292261173580269      weak  
  5195     0.3904941887933478      weak  
  5217     0.44692431257677406      weak  
  5225     0.4824718888783898      weak  
  5228     0.4166871397524331      weak  
  5231     0.7844656524614948      strong  
  5234     0.5204762354719833      weak  
  5272     0.39476518945478584      weak  
  5305     0.3742984030993102      weak  
  5311     0.5546442407634885      weak  
  5314     0.35936879901729185      weak  
  5324     0.5028819805348199      weak  
  5336     0.4412737409052253      weak  
  5347     0.511934234149107      weak  
  5350     0.5517906075781913      weak  
  5373     0.6468865161107437      weak  
  5385     0.4456392327317395      weak  
  5412     0.5605404894642351      weak  
  5418     0.8382689218558064      strong  
  5438     0.4218652555986015      weak  
  5455     0.4903713502787489      weak  
  5467     0.3785316072947179      weak  
  5469     0.3904563923273174      weak  
  5476     0.4372673155060002      weak  
  5479     0.5044127374090521      weak  
  5485     0.4071057356137201      weak  
  5526     0.4006803363885476      weak  
  5530     0.7455730889161862      strong  
  5539     0.3590097325900028      weak  
  5542     0.5218369082490787      weak  
  5554     0.35024095247094394      weak  
  5591     0.3619956534064065      weak  
  5611     0.47228574128318995      weak  
  5667     0.35895303789095717      weak  
  5698     0.543947840876878      weak  
  5710     0.4394028158367192      weak  
  5736     0.4188415383161674      weak  
  5759     0.5965605215912312      weak  
  5766     0.4300859869602192      weak  
  5776     0.3640933572710951      weak  
  5791     0.39990550883492393      weak  
  5810     0.4243409241235944      weak  
  5811     0.49175092128885944      weak  
  5813     0.510686950770103      weak  
  5819     0.6564679202494565      weak  
  5831     0.5077388264197297      weak  
  5845     0.5841065860342057      weak  
  5851     0.48103562316923365      weak  
  5864     0.37590475290560327      weak  
  5884     0.5754889917792686      weak  
  5904     0.40918454124539355      weak  
  5925     0.35955778134744404      weak  
  5932     0.35358593971463664      weak  
  5935     0.3979211943683265      weak  
  5939     0.47714258716809976      weak  
  5947     0.37826703203250495      weak  
  5958     0.3572710951526032      weak  
  5985     0.5530567891902106      weak  
  6029     0.4685249929131626      weak  
  6030     0.42058017575356704      weak  
  6039     0.49815742228101667      weak  
  6042     0.5982424643295852      weak  
  6048     0.3591798166871397      weak  
  6055     0.5436454691486345      weak  
  6075     0.37701974865350085      weak  
  6085     0.42796938486251535      weak  
  6109     0.5132949069262023      weak  
  6129     0.507587640555608      weak  
  6143     0.5103845790418595      weak  
  6153     0.43558537276764614      weak  
  6163     0.4161768874610223      weak  
  6173     0.5101766984786922      weak  
  6176     0.41309647547954265      weak  
  6186     0.4878578852877255      weak  
  6187     0.40708683738070484      weak  
  6192     0.3921383350656713      weak  
  6194     0.354682037229519      weak  
  6197     0.4772748747992062      weak  
  6207     0.559463290182368      weak  
  6213     0.44486440517811576      weak  
  6218     0.38680903335538125      weak  
  6227     0.5571388075214966      weak  
  6234     0.4251724463762637      weak  
  6235     0.38975715770575453      weak  
  6257     0.45225361428706407      weak  
  6277     0.3977322120381744      weak  
  6288     0.3705754511953132      weak  
  6294     0.5144854956061607      weak  
  6305     0.46119247850325995      weak  
  6329     0.5219880941132004      weak  
  6369     0.45680808844373044      weak  
  6370     0.36747614098081827      weak  
  6383     0.6255126145705376      weak  
  6389     0.47888122460549926      weak  
  6429     0.4078616649343286      weak  
  6450     0.3914957951431541      weak  
  6455     0.43123877917414716      weak  
  6466     0.4815269772276291      weak  
  6484     0.39011622413304353      weak  
  6486     0.38597751110271183      weak  
  6523     0.5194557308891619      weak  
  6544     0.5161296418784842      weak  
  6571     0.43995086459416044      weak  
  6582     0.36295946329018225      weak  
  6599     0.4712274402343381      weak  
  6606     0.627591420202211      weak  
  6636     0.39975432297080216      weak  
  6642     0.5432864027213455      weak  
  6658     0.5756212794103751      weak  
  6659     0.3994519512425588      weak  
  6675     0.5597467636775961      weak  
  6683     0.4293111594065955      weak  
  6691     0.566209959368799      weak  
  6718     0.4140980818293489      weak  
  6755     0.38773504677312665      weak  
  6762     0.5706132476613436      weak  
  6770     0.4319758102617405      weak  
  6791     0.4551072474723613      weak  
  6812     0.4568647831427761      weak  
  6831     0.4703770197486535      weak  
  6891     0.41407918359633367      weak  
  6894     0.40385523953510344      weak  
  6911     0.6091278465463479      weak  
  6918     0.5493149390531985      weak  
  6921     0.41528867050930734      weak  
  6930     0.5400926013417745      weak  
  6952     0.4716620995936879      weak  
  6958     0.46066332797883397      weak  
  6973     0.43670036851554367      weak  
  6976     0.4567702919777001      weak  
  7007     0.4291977700085041      weak  
  7022     0.39588018520268353      weak  
  7053     0.38416328073325146      weak  
  7110     0.39215723329868657      weak  
  7134     0.4353207975054332      weak  
  7140     0.5150146461305867      weak  
  7157     0.3661910611357838      weak  
  7168     0.38644996692809214      weak  
  7193     0.47495039213833495      weak  
  7203     0.37431730133232544      weak  
  7223     0.4173107814419351      weak  
  7226     0.36893130492298964      weak  
  7240     0.3760181423036945      weak  
  7245     0.36201455163942164      weak  
  7251     0.4241708400264575      weak  
  7259     0.4614192572994424      weak  
