# searching chr1
# for transcription factor YAP5
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  5     0.46701067910262417      weak  
  7     0.4077099257705787      weak  
  11     0.49272882805816937      weak  
  13     0.518005463726924      weak  
  15     0.4077099257705787      weak  
  23     0.5040702006125997      weak  
  25     0.42630867297662733      weak  
  28     0.3770799414994894      weak  
  30     0.36921548607853416      weak  
  35     0.5040702006125997      weak  
  43     0.46701067910262417      weak  
  45     0.530616186980877      weak  
  49     0.41756119098209105      weak  
  57     0.4090896547917989      weak  
  59     0.38075002069593533      weak  
  125     0.5333204558624686      weak  
  186     0.5670686277215156      weak  
  193     0.3833439112558293      weak  
  204     0.420762162311322      weak  
  212     0.38833853031264653      weak  
  215     0.42694334832638864      weak  
  232     0.3568531140484009      weak  
  239     0.5342862661773227      weak  
  262     0.5558928226496316      weak  
  269     0.4576285217583266      weak  
  279     0.3522448191175253      weak  
  351     0.4371533430834184      weak  
  366     0.49140428819779797      weak  
  440     0.3868760175501531      weak  
  455     0.38146747978696977      weak  
  479     0.4204034327658047      weak  
  517     0.41198708573636134      weak  
  529     0.7651149314274676      strong  
  590     0.649079720742846      weak  
  672     0.46091227682883074      weak  
  699     0.5949115593697397      weak  
  718     0.4554485499047986      weak  
  728     0.392394933635034      weak  
  730     0.3988796600347691      weak  
  740     0.3963685532161482      weak  
  760     0.45677308976517      weak  
  854     0.46960456966251823      weak  
  889     0.38555147768978165      weak  
  977     0.37972902122023233      weak  
  1037     0.5238279201964735      weak  
  1113     0.39647893153784597      weak  
  1233     0.4167057589889346      weak  
  1236     0.3693534589806562      weak  
  1405     0.421645188884903      weak  
  1415     0.5129832500896824      weak  
  1519     0.47335743260023727      weak  
  1587     0.4153260299677143      weak  
  1597     0.531913132260824      weak  
  1813     0.3738513755898341      weak  
  1859     0.3654902177212395      weak  
  1885     0.38099837191975494      weak  
  1918     0.45456552333121775      weak  
  2002     0.42572918678771493      weak  
  2046     0.36165457104224724      weak  
  2577     0.47051519081652365      weak  
  2669     0.5079886310328651      weak  
  2721     0.4062750075885096      weak  
  2799     0.5029940119760479      weak  
  2904     0.45856673749275645      weak  
  2907     0.3516653329286128      weak  
  3020     0.3946852838102596      weak  
  3034     0.5891442920610392      weak  
  3141     0.436987775600872      weak  
  3278     0.393415933110737      weak  
  3374     0.5338171583101079      weak  
  3384     0.7229504125389774      strong  
  3394     0.5648334667071387      weak  
  3422     0.5077678743894698      weak  
  3439     0.4503159579458594      weak  
  3525     0.7386241342200391      strong  
  3803     0.35351416981704786      weak  
  3895     0.3847236402770495      weak  
  4072     0.8071138828334113      strong  
  4226     0.40903446563095003      weak  
  4257     0.4968956097022544      weak  
  4320     0.7155550649852368      strong  
  4437     0.3738513755898341      weak  
  4452     0.4617401142415628      weak  
  4685     0.3939402301388007      weak  
  4700     0.522641353238224      weak  
  4723     0.6603659041364276      weak  
  4735     0.3864345042633627      weak  
  4777     0.5097822787604513      weak  
  4938     0.4844228593504236      weak  
  4988     0.5659648445045393      weak  
  5020     0.3694362427219293      weak  
  5106     0.543778801843318      weak  
  5149     0.5634537376859184      weak  
  5309     0.3906564750682964      weak  
  5356     0.444217555672066      weak  
  5408     0.4069096829382709      weak  
  5442     0.3516653329286128      weak  
  5606     0.42826788818676      weak  
  5651     0.4845608322525456      weak  
  5916     0.42716410496978385      weak  
  6178     0.5035734981649604      weak  
  6348     0.47793813295068843      weak  
  6460     0.4516680923866553      weak  
  6610     0.4219487292695714      weak  
  6634     0.4191340820662821      weak  
  6757     0.4247633764728607      weak  
  6901     0.3732442948204972      weak  
  6913     0.3758381853803912      weak  
  6971     0.42227986423466435      weak  
  7048     0.37964623747895904      weak  
  7314     0.3659593255884544      weak  
  7347     0.37713513066033827      weak  
  7371     0.35883992383895796      weak  
  7454     0.43566323574050053      weak  
  7523     0.4251221060183779      weak  
  7579     0.4258395651094124      weak  
  7590     0.45186125444962605      weak  
  7616     0.35696349237009845      weak  
  7750     0.3839785866055906      weak  
  7838     0.35439719639062883      weak  
  7912     0.35326581859322825      weak  
  8000     0.4157675432545047      weak  
