# searching chr1
# for transcription factor PHD1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  542     0.4642105263157895      weak  
  956     0.5060287081339714      weak  
  1049     0.5660287081339713      weak  
  1098     0.5988516746411483      weak  
  1131     0.5793301435406698      weak  
  1484     0.5660287081339713      weak  
  1508     0.5209569377990431      weak  
  1556     0.5209569377990431      weak  
  1841     0.5060287081339714      weak  
  1916     0.5060287081339714      weak  
  1981     0.5193301435406699      weak  
  2000     0.641818181818182      weak  
  2054     0.5809569377990431      weak  
  2114     0.5660287081339713      weak  
  2208     0.7640191387559808      strong  
  2213     0.7640191387559808      strong  
  2225     0.5809569377990431      weak  
  2239     1.0      strong  
  2252     0.5660287081339713      weak  
  2475     0.7040191387559809      strong  
  2641     0.7640191387559808      strong  
  2688     0.40583732057416266      weak  
  2729     0.4642105263157895      weak  
  2786     0.5809569377990431      weak  
  2823     0.5193301435406699      weak  
  2842     0.9400000000000001      strong  
  2889     0.5988516746411483      weak  
  3263     0.7640191387559808      strong  
  3267     0.5660287081339713      weak  
  3275     0.5988516746411483      weak  
  3276     0.7040191387559809      strong  
  3437     0.9400000000000001      strong  
  3662     0.5988516746411483      weak  
  3663     0.40583732057416266      weak  
  3705     0.5793301435406698      weak  
  3731     0.5209569377990431      weak  
  3771     0.5209569377990431      weak  
  3815     0.5793301435406698      weak  
  3886     0.5793301435406698      weak  
  3916     0.5988516746411483      weak  
  3918     0.5209569377990431      weak  
  3976     0.5060287081339714      weak  
  4070     1.0      strong  
  4157     0.5660287081339713      weak  
  4195     0.5988516746411483      weak  
  4196     0.7040191387559809      strong  
  4337     0.5660287081339713      weak  
  4626     1.0      strong  
  4906     0.46583732057416255      weak  
  4909     0.5809569377990431      weak  
  4968     0.5809569377990431      weak  
  5189     0.5793301435406698      weak  
  5307     0.5809569377990431      weak  
  5574     0.5988516746411483      weak  
  5575     0.40583732057416266      weak  
  5578     0.7018181818181818      strong  
  5618     0.5988516746411483      weak  
  5619     0.7040191387559809      strong  
  5694     0.9400000000000001      strong  
  5698     0.5809569377990431      weak  
  5798     0.5793301435406698      weak  
  5845     0.5660287081339713      weak  
  6070     0.9400000000000001      strong  
  6254     0.5660287081339713      weak  
  6327     0.7018181818181818      strong  
  6476     1.0      strong  
  6708     0.5793301435406698      weak  
  6786     0.5988516746411483      weak  
  6787     0.7040191387559809      strong  
  6803     0.46583732057416255      weak  
  6819     0.5193301435406699      weak  
  6871     0.5988516746411483      weak  
  6872     0.7040191387559809      strong  
  7076     0.46583732057416255      weak  
  7099     0.4642105263157895      weak  
  7105     1.0      strong  
  7125     0.7640191387559808      strong  
  7310     0.5660287081339713      weak  
  7389     0.5809569377990431      weak  
  7396     0.5660287081339713      weak  
  7436     0.40583732057416266      weak  
  7531     0.5060287081339714      weak  
  7574     0.46583732057416255      weak  
  7736     0.5660287081339713      weak  
  7793     0.7640191387559808      strong  
  7830     0.5793301435406698      weak  
  8055     0.5988516746411483      weak  
  8056     0.40583732057416266      weak  
  8087     0.5809569377990431      weak  
  8218     0.5660287081339713      weak  
  8254     0.7640191387559808      strong  
  8412     0.40583732057416266      weak  
  8424     0.5793301435406698      weak  
