# searching chr1
# for transcription factor ROX1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  77     0.37497374133464034      weak  
  79     0.4234297318114978      weak  
  91     0.35312653175547937      weak  
  731     0.5234927526083608      weak  
  743     0.3526363700021007      weak  
  1273     0.4043834465373573      weak  
  1448     0.8227014914921924      strong  
  1483     0.39465023457741055      weak  
  1650     0.420068622645473      weak  
  1840     0.47013514459771727      weak  
  1882     0.7446957495973671      strong  
  2119     0.366781037742455      weak  
  2253     0.4450668720677824      weak  
  2511     0.5776206148028851      weak  
  2602     0.3598487500875289      weak  
  2759     0.36026888873328194      weak  
  2901     0.5591345143897487      weak  
  3012     0.445837126251663      weak  
  3265     0.5414886912681186      weak  
  3441     0.4436664099152721      weak  
  3598     0.39808136685106077      weak  
  3830     0.40263286884671934      weak  
  3838     0.37077235487710947      weak  
  4300     0.39458021146978506      weak  
  4982     0.7206778236818149      strong  
  5016     0.5776206148028851      weak  
  5843     0.6090609901267419      weak  
  5844     0.5564036131923535      weak  
  5846     0.5556333590084727      weak  
  5984     0.5634059239549053      weak  
  6174     0.3655906449128212      weak  
  6325     0.37924515089979693      weak  
  6525     0.42441005531825504      weak  
  6590     0.3705622855542329      weak  
  7308     0.4532595756599679      weak  
  7343     0.39640081226804846      weak  
  7417     0.7446257264897418      strong  
  7461     0.38967859393599885      weak  
  7734     0.35998879630278      weak  
  8071     0.5288145087879002      weak  
  8187     0.4827393039703102      weak  
  8219     0.6192143407324417      weak  
  8252     0.392269448918143      weak  
  8297     0.846369301869617      strong  
  8298     0.5885442195924655      weak  
  8351     0.5870737343323298      weak  
  8503     0.4029129612772215      weak  
  8957     0.6838456690707935      weak  
  9202     0.5195714585813318      weak  
  9353     0.4021427070933409      weak  
  9434     0.5162803725229326      weak  
  9799     0.5459001470485261      weak  
  9997     0.4013024298018346      weak  
  10079     0.6755129192633571      weak  
  10080     0.4006021987255795      weak  
  10082     0.41334640431342345      weak  
  10176     0.516070303200056      weak  
  10534     0.381555913451439      weak  
  10797     0.46775435893844974      weak  
  11265     0.4077445557033822      weak  
  11482     0.5747496673902388      weak  
  11520     0.47748757089839655      weak  
  11599     0.38967859393599885      weak  
  11623     0.4870807366430922      weak  
  11800     0.4111756879770324      weak  
  11829     0.48582032070583303      weak  
  11880     0.47363629997899315      weak  
  11907     0.47363629997899315      weak  
  11938     0.39451018836215956      weak  
  11961     0.3552272249842448      weak  
  12140     0.5192213430432042      weak  
  12335     0.5127792171416569      weak  
  12360     0.47370632308661853      weak  
  12568     0.3789650584692949      weak  
  12888     0.3892584552902458      weak  
  12918     0.4811287724949233      weak  
  13481     0.48995168405573836      weak  
  13651     0.47587703942300963      weak  
  13705     0.3769343883481549      weak  
  13839     0.43505356767733355      weak  
  13855     0.41418668160492966      weak  
  13904     0.40711434773475247      weak  
  13942     0.3767243190252783      weak  
  14194     0.42721097962327576      weak  
  14281     0.45073874378544926      weak  
  14344     0.38407674532595754      weak  
  14626     0.46775435893844974      weak  
  15248     0.5072473916392409      weak  
  15312     0.36194944331629436      weak  
  15516     0.5020656816749528      weak  
  15544     0.7529584762971782      strong  
  15600     0.39549051186891676      weak  
  15682     0.3774945732091589      weak  
  15916     0.42174917722848543      weak  
  16322     0.4294517190672923      weak  
  16324     0.3912191023037603      weak  
  16393     0.47202576850360617      weak  
  16468     0.5656466633989217      weak  
  16579     0.40158252223233665      weak  
  16659     0.4834395350465654      weak  
  16689     0.3879980393529865      weak  
  17072     0.4251803095021357      weak  
  17278     0.47363629997899304      weak  
  17551     0.39640081226804846      weak  
  17790     0.4680344513689517      weak  
  17792     0.419788530214971      weak  
  17863     0.7234787479868356      strong  
  17864     0.5980673622295358      weak  
  17882     0.3953504656536657      weak  
  18343     0.6838456690707935      weak  
  18449     0.6347594706253064      weak  
  19053     0.5414886912681186      weak  
  19467     0.38652755409285067      weak  
  19706     0.48512008962957776      weak  
  19965     0.35529724809187035      weak  
  20100     0.4767173167145158      weak  
  20178     0.4002520831874519      weak  
  20322     0.3676913381415867      weak  
  20587     0.6425320355717388      weak  
  20628     0.4741964848399973      weak  
  20662     0.39724108955955467      weak  
  20677     0.6666199845949163      weak  
  20782     0.3705622855542329      weak  
  20797     0.7682235137595407      strong  
  20902     0.4015124991247112      weak  
  20945     0.3809957285904349      weak  
  21055     0.42251943141236603      weak  
  21086     0.3569778026748827      weak  
  21125     0.5787409845248931      weak  
  21128     0.5665569637980533      weak  
  21544     0.37917512779217144      weak  
  22141     0.4506687206778236      weak  
  22209     0.4655136194944333      weak  
  22238     0.3971010433443037      weak  
  22955     0.6409215040963517      weak  
  23435     0.36334990546880475      weak  
  23864     0.36874168475596936      weak  
  23982     0.6412015965268539      weak  
  24039     0.5737693438834817      weak  
  24232     0.4111756879770324      weak  
  24261     0.48582032070583303      weak  
  24312     0.47363629997899315      weak  
  24339     0.47363629997899315      weak  
  24370     0.39451018836215956      weak  
  24393     0.5088579231146279      weak  
  24572     0.5192213430432042      weak  
  24788     0.5127792171416569      weak  
  24813     0.47370632308661853      weak  
  25053     0.38281632938869825      weak  
  25083     0.4811287724949233      weak  
  25489     0.3938799803935299      weak  
  27109     0.3938799803935299      weak  
  27513     0.40550381625936566      weak  
  27647     0.43505356767733355      weak  
  27750     0.4178278832014565      weak  
  28013     0.48441985855332265      weak  
  28038     0.5805615853231566      weak  
  28672     0.6567467264197185      weak  
  30020     0.3965408584832997      weak  
  30112     0.5517820880890695      weak  
  30165     0.4571108465793713      weak  
  30222     0.5296547860794063      weak  
  30329     0.8332049576360198      strong  
  30485     0.4712555143197255      weak  
  30526     0.43722428401372454      weak  
  32053     0.3514459771724669      weak  
  32480     0.46628387367831386      weak  
  32623     0.48995168405573836      weak  
  32625     0.7232686786639589      strong  
  32633     0.39451018836215956      weak  
  32851     0.39352986485540226      weak  
  32943     0.4745466003781248      weak  
  33045     0.44072543939500036      weak  
  33192     0.5744695749597368      weak  
  33298     0.46810447447657727      weak  
  33351     0.5026258665359569      weak  
  33504     0.35704782578250815      weak  
  33567     0.4525593445837126      weak  
  33869     0.46243260275891046      weak  
  33885     0.5527624115958266      weak  
  33922     0.3938799803935299      weak  
  34048     0.4398851621034942      weak  
  34300     0.5737693438834816      weak  
  34406     0.42805125691478196      weak  
  34504     0.41929836846159235      weak  
  34729     0.5828023247671731      weak  
  35126     0.36370002100693233      weak  
  35463     0.44611721868216514      weak  
  35727     0.4744765772704993      weak  
  35921     0.4872207828583433      weak  
  35977     0.4061340242279952      weak  
  36157     0.4502485820320706      weak  
  36486     0.496673902387788      weak  
  36790     0.3717526783838667      weak  
  36850     0.43484349835445707      weak  
  36945     0.37273300189062397      weak  
  36967     0.368671661648344      weak  
  37095     0.41852811427771164      weak  
  37372     0.49863454940130253      weak  
  37515     0.5516420418738185      weak  
  38093     0.38596736923184644      weak  
  38177     0.500595196414817      weak  
  38189     0.4964638330649114      weak  
  38225     0.3684615923254673      weak  
  38333     0.5958966458931446      weak  
  38349     0.48007842588054056      weak  
  38389     0.8177998739584064      strong  
  38390     0.5108885932357679      weak  
  38462     0.5527624115958266      weak  
  38608     0.6535256634689447      weak  
  38737     0.36853161543309293      weak  
  38769     0.3938799803935299      weak  
  38849     0.5170506267068132      weak  
  38891     0.3791051046845459      weak  
  39009     0.42455010153350614      weak  
  39169     0.445837126251663      weak  
  39178     0.5015054968139486      weak  
  39253     0.4725159302569849      weak  
  39273     0.4790981023737834      weak  
  39295     0.7643722428401374      strong  
  39327     0.36334990546880475      weak  
  39367     0.4061340242279952      weak  
  39563     0.6706813248371963      weak  
  39995     0.3552272249842448      weak  
  40214     0.39254954134864506      weak  
  40377     0.7012113997619215      strong  
  40478     0.5440095231426372      weak  
  40690     0.420068622645473      weak  
  41015     0.37938519711504787      weak  
  41027     0.406764232196625      weak  
  41179     0.40739444016525456      weak  
  41650     0.7348224914221694      strong  
  41983     0.3618093971010434      weak  
  42062     0.4003221062950775      weak  
  42414     0.3725929556753728      weak  
  42806     0.6272669981093761      weak  
  43056     0.370842377984735      weak  
  43081     0.4361739373993419      weak  
  43152     0.49744415657166874      weak  
  43205     0.5041663749037183      weak  
  43208     0.3962607660527974      weak  
  43241     0.590925005251733      weak  
  43284     0.403123030600098      weak  
  43319     0.4074644632728801      weak  
  43337     0.5870737343323298      weak  
  43340     0.41334640431342345      weak  
  43457     0.5364470275190814      weak  
  43506     0.445837126251663      weak  
  43541     0.411385757299909      weak  
  43563     0.4138365660668021      weak  
  43565     0.6532455710384428      weak  
  43877     0.40466353896785945      weak  
  43902     0.44653735732791827      weak  
  44031     0.5788110076325187      weak  
  44033     0.5620754849100204      weak  
  44312     0.42174917722848543      weak  
  44430     0.4725159302569849      weak  
  44453     0.438904838596737      weak  
  44481     0.5493312793221763      weak  
  44644     0.5283243470345215      weak  
  44695     0.5502415797213079      weak  
  44936     0.5024157972130804      weak  
  45142     0.45529024578110777      weak  
  45234     0.49331279322176314      weak  
  45761     0.48946152230235984      weak  
  45763     0.6532455710384428      weak  
  45893     0.46579371192493535      weak  
  45909     0.5566837056228556      weak  
  45958     0.7471465583642601      strong  
