# searching chr1
# for transcription factor STE12
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  69     0.36645962732919257      weak  
  80     0.3898633540372671      weak  
  91     0.5101118012422361      weak  
  92     0.503304347826087      weak  
  101     0.6408944099378883      weak  
  113     0.5302360248447204      weak  
  118     0.35289440993788823      weak  
  128     0.35289440993788823      weak  
  146     0.35289440993788823      weak  
  152     0.5144347826086957      weak  
  160     0.7483229813664597      strong  
  165     0.43960248447204975      weak  
  175     0.8925714285714286      strong  
  182     0.36864596273291933      weak  
  186     0.36864596273291933      weak  
  200     0.36645962732919257      weak  
  208     0.48367701863354046      weak  
  218     0.35289440993788823      weak  
  229     0.35289440993788823      weak  
  239     0.6408944099378883      weak  
  240     0.3958757763975156      weak  
  254     0.35289440993788823      weak  
  258     0.4199751552795032      weak  
  265     0.35289440993788823      weak  
  269     0.4199751552795032      weak  
  273     0.36864596273291933      weak  
  276     0.39060869565217393      weak  
  283     0.5172670807453417      weak  
  306     0.5274037267080746      weak  
  320     0.5731180124223603      weak  
  335     0.42285714285714293      weak  
  359     0.35289440993788823      weak  
  363     0.4199751552795032      weak  
  373     0.5470310559006212      weak  
  396     0.48367701863354046      weak  
  422     0.36675776397515536      weak  
  446     0.5470310559006212      weak  
  456     0.4424347826086956      weak  
  461     0.35289440993788823      weak  
  492     0.5268571428571429      weak  
  513     0.618136645962733      weak  
  522     0.4241987577639751      weak  
  562     0.5470310559006212      weak  
  569     0.5815652173913044      weak  
  576     0.3966211180124224      weak  
  577     0.35289440993788823      weak  
  629     0.41182608695652173      weak  
  630     0.3862360248447206      weak  
  668     0.5470310559006212      weak  
  679     0.6422857142857143      weak  
  752     0.49142857142857144      weak  
  775     0.4718012422360249      weak  
  789     0.49142857142857144      weak  
  864     0.6951055900621118      weak  
  890     0.45356521739130434      weak  
  955     0.41853416149068334      weak  
  978     0.4424347826086956      weak  
  1031     0.5101118012422361      weak  
  1099     0.44521739130434784      weak  
  1148     0.3814658385093168      weak  
  1212     0.37918012422360253      weak  
  1244     0.37624844720496897      weak  
  1267     0.5625341614906834      weak  
  1273     0.5101118012422361      weak  
  1274     0.503304347826087      weak  
  1311     0.3889192546583851      weak  
  1320     0.6408944099378883      weak  
  1321     0.3958757763975156      weak  
  1380     0.6508819875776397      weak  
  1392     0.35219875776397513      weak  
  1409     0.509664596273292      weak  
  1450     0.4194285714285715      weak  
  1507     0.3540372670807454      weak  
  1521     0.4422360248447206      weak  
  1555     0.5149813664596273      weak  
  1650     0.6160496894409938      weak  
  1663     0.45122981366459625      weak  
  1775     0.4449192546583851      weak  
  1776     0.639751552795031      weak  
  1824     0.4188322981366461      weak  
  1840     0.36501863354037273      weak  
  1874     0.618136645962733      weak  
  1881     0.36462111801242236      weak  
  1882     0.5952795031055901      weak  
  1892     0.45122981366459625      weak  
  1915     0.39776397515527945      weak  
  1920     0.3860869565217392      weak  
  1928     0.4718012422360249      weak  
  1969     0.4020372670807454      weak  
  2008     0.36462111801242236      weak  
  2009     0.5952795031055901      weak  
  2023     0.3759006211180124      weak  
  2032     0.5843975155279503      weak  
  2065     0.39060869565217393      weak  
  2092     0.5843975155279503      weak  
  2161     0.4090434782608696      weak  
  2162     0.45883229813664606      weak  
  2198     0.35234782608695653      weak  
  2250     0.37232298136645964      weak  
  2265     0.5470310559006212      weak  
  2296     0.4630559006211181      weak  
