# searching chr1
# for transcription factor CBF1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  103     0.48484075349746997      weak  
  148     0.37381468724752315      weak  
  153     0.727261130246205      strong  
  296     0.3925670791342434      weak  
  493     0.6101543564230132      weak  
  563     0.35616787855593834      weak  
  565     0.37381468724752315      weak  
  570     0.4092358719224392      weak  
  631     0.4794404048135392      weak  
  734     0.41110685886805304      weak  
  923     0.35633796827826675      weak  
  1021     0.4623038652889399      weak  
  1121     0.3925670791342434      weak  
  1275     0.4484415529191648      weak  
  1381     0.42450142450142453      weak  
  1451     0.6350725007441425      weak  
  1577     0.4322830292979547      weak  
  1778     0.6918824680018709      weak  
  1825     0.5996087936386444      weak  
  1875     0.42450142450142453      weak  
  2431     0.49019857975081865      weak  
  2494     0.43415401624356853      weak  
  2525     0.41089424671514235      weak  
  2697     0.3925670791342434      weak  
  2825     0.4354296891610325      weak  
  2974     0.39286473614831835      weak  
  3040     0.48722200961006923      weak  
  3063     0.3579963430709699      weak  
  3138     0.727261130246205      strong  
  3355     0.3581664327932986      weak  
  3444     0.447506059446358      weak  
  3620     0.6179359612195434      weak  
  3778     0.5311476804014118      weak  
  3903     0.38095845558532127      weak  
  4014     0.42803078623974145      weak  
  4806     0.44406174256920516      weak  
  4849     0.41246757664668116      weak  
  5327     0.3819364714887104      weak  
  5534     0.37381468724752315      weak  
  6088     0.3579963430709699      weak  
  6143     0.49019857975081865      weak  
  6363     0.5058468342050432      weak  
  6373     0.4322830292979547      weak  
  6432     0.38159629204405315      weak  
  7317     0.5996087936386444      weak  
  7346     0.5314453374154866      weak  
  7419     0.4484415529191648      weak  
  7637     0.4794404048135392      weak  
  7759     0.38159629204405315      weak  
  8045     0.3856359229493558      weak  
  8111     0.3819364714887104      weak  
  8172     0.3678190245354425      weak  
  8190     0.35178806820597863      weak  
  8203     0.36233363099034743      weak  
  8524     0.48722200961006923      weak  
  8646     0.45379937917251356      weak  
  8648     0.37381468724752315      weak  
  8736     0.40311264191861207      weak  
  8880     0.3925670791342434      weak  
  9207     0.42041927116553984      weak  
  9215     0.49019857975081865      weak  
  9265     0.36382191606072206      weak  
  10140     0.35633796827826675      weak  
  10582     0.41404090657822      weak  
  10805     0.3581664327932986      weak  
  11189     0.3819364714887104      weak  
  11239     0.41667729727431224      weak  
  11461     0.4225879151252287      weak  
  11554     0.5843432410596591      weak  
  11678     0.4225879151252287      weak  
  11731     0.38159629204405315      weak  
  11816     0.37385720967810526      weak  
  12002     0.4825020198154527      weak  
  12122     0.3500021261215292      weak  
  12155     0.3500021261215292      weak  
  12274     0.756559084917294      strong  
  13135     0.3819364714887104      weak  
  13380     0.35782625334864143      weak  
  13411     0.4385338265935282      weak  
  13734     0.48484075349746997      weak  
  13842     0.41110685886805304      weak  
  14040     0.6296296296296298      weak  
  14056     0.5375685674193138      weak  
  14200     0.37730152655525795      weak  
  14310     0.47323212994854785      weak  
  14347     0.37513288259556915      weak  
  14416     0.49160181996002894      weak  
  14534     0.5311476804014118      weak  
  14555     0.4225879151252287      weak  
  15148     0.5253221074116597      weak  
  15345     0.3852106986435345      weak  
  15383     0.5996087936386444      weak  
  15405     0.42203512352766087      weak  
  15416     0.36233363099034743      weak  
  15440     0.5202194157418039      weak  
  15538     0.44627290895947624      weak  
  15587     0.37385720967810526      weak  
  15919     0.44627290895947624      weak  
  15920     0.4135306374112344      weak  
  16193     0.364119573074797      weak  
  16691     0.4082153335884679      weak  
  17075     0.5253221074116597      weak  
  17281     0.5996087936386444      weak  
  17345     0.3500021261215292      weak  
  17527     0.4623038652889399      weak  
  17554     0.5314453374154866      weak  
  17682     0.3856359229493558      weak  
  17885     0.35612535612535623      weak  
  18177     0.41701747671896927      weak  
  18666     0.3891227622570907      weak  
  18681     0.512522855806438      weak  
  18754     0.41591189352383384      weak  
  18909     0.4518858697963177      weak  
  19125     0.41089424671514235      weak  
  19179     0.5996087936386444      weak  
  19472     0.3852106986435345      weak  
  19741     0.4247565590849173      weak  
  19949     0.45379937917251356      weak  
  19951     0.37381468724752315      weak  
  19968     0.756559084917294      strong  
  20046     0.528001020538334      weak  
  20180     0.4082153335884679      weak  
  20258     0.35225581494238223      weak  
  20325     0.381808904196964      weak  
  20449     0.3925670791342434      weak  
  20488     0.4205893608878684      weak  
  20789     0.4238635880426926      weak  
  20928     0.3876769996172982      weak  
  21118     0.4825020198154527      weak  
  21348     0.41089424671514235      weak  
  21443     0.4749330271718332      weak  
  21660     0.4283709656843986      weak  
  21881     0.5234511204660459      weak  
  22150     0.6546753412425056      weak  
  22328     0.4794404048135392      weak  
  22442     0.3579963430709699      weak  
  22822     0.3925670791342434      weak  
  23095     0.735042735042735      strong  
  23269     0.5460730535357402      weak  
  24051     0.5116724071947953      weak  
  24163     0.38159629204405315      weak  
  24248     0.37385720967810526      weak  
  24434     0.4825020198154527      weak  
  24554     0.3500021261215292      weak  
  24587     0.3500021261215292      weak  
  24727     0.756559084917294      strong  
  25067     0.6918824680018709      weak  
  25300     0.3819364714887104      weak  
  25364     0.5451375600629332      weak  
  25451     0.36382191606072206      weak  
  25492     0.3869541182974019      weak  
  25585     0.3869541182974019      weak  
  25720     0.3869541182974019      weak  
  25767     0.3819364714887104      weak  
  25846     0.3891227622570907      weak  
  25855     0.3869541182974019      weak  
  25902     0.3819364714887104      weak  
  25981     0.3891227622570907      weak  
  25990     0.3869541182974019      weak  
  26037     0.3819364714887104      weak  
  26116     0.3891227622570907      weak  
  26125     0.3869541182974019      weak  
  26167     0.4749330271718332      weak  
  26172     0.3819364714887104      weak  
  26251     0.3891227622570907      weak  
  26260     0.3869541182974019      weak  
  26307     0.3819364714887104      weak  
  26395     0.3869541182974019      weak  
  26442     0.3819364714887104      weak  
  26530     0.3869541182974019      weak  
  26577     0.3819364714887104      weak  
  26665     0.3869541182974019      weak  
  26712     0.3819364714887104      weak  
  26800     0.3869541182974019      weak  
  26842     0.4749330271718332      weak  
  26847     0.3819364714887104      weak  
  26977     0.4749330271718332      weak  
  26982     0.3819364714887104      weak  
  27070     0.3869541182974019      weak  
  27112     0.3869541182974019      weak  
  27125     0.6546753412425056      weak  
  27219     0.45379937917251356      weak  
  27247     0.4092358719224392      weak  
  27518     0.6918824680018709      weak  
  27542     0.48484075349746997      weak  
  27650     0.41110685886805304      weak  
  28540     0.41591189352383384      weak  
  28807     0.4749330271718332      weak  
  28890     0.4385338265935282      weak  
  29034     0.41591189352383384      weak  
  29145     0.41697495428838716      weak  
  29370     0.364119573074797      weak  
  29476     0.47858995620189654      weak  
  29512     0.3891227622570907      weak  
  29740     0.3579963430709699      weak  
  29782     0.5314453374154866      weak  
  30205     0.528001020538334      weak  
  30353     0.3753029723178978      weak  
  30456     0.41829314963643327      weak  
  30529     0.6953267848790237      weak  
  30570     0.3891227622570907      weak  
  31207     0.735042735042735      strong  
  31443     0.4714887102946805      weak  
  31681     0.6897138240421822      weak  
  31708     0.6290768380320618      weak  
  31780     0.5058468342050432      weak  
  31819     0.48484075349746997      weak  
  31903     0.6758515116724072      weak  
  32006     0.35612535612535623      weak  
  32382     0.44418930986095173      weak  
  32502     0.47144618786409836      weak  
  32709     0.5956967300250884      weak  
  33048     0.5253221074116597      weak  
  33593     0.5202194157418039      weak  
  33640     0.41914359824807584      weak  
  33677     0.6972402942552196      weak  
  33760     0.4828421992601098      weak  
  33773     0.6394523110941022      weak  
  33925     0.3869541182974019      weak  
  33937     0.4385338265935282      weak  
  34042     0.39163158566143647      weak  
  34043     0.40574903261470435      weak  
  34264     0.35633796827826675      weak  
  34732     0.6405578942892377      weak  
  34874     0.5460730535357402      weak  
  34903     0.3852106986435345      weak  
  34952     0.578220011055832      weak  
  35049     0.4082153335884679      weak  
  35300     0.3560403112641919      weak  
  35328     0.4092358719224392      weak  
  35626     0.5920823234256071      weak  
  35683     0.3856359229493558      weak  
  35693     0.37730152655525795      weak  
  35750     0.727261130246205      strong  
  35765     0.42450142450142453      weak  
  36041     0.48484075349746997      weak  
  36046     0.727261130246205      strong  
  36137     0.4092358719224392      weak  
  36322     0.6394523110941022      weak  
  36490     0.41246757664668116      weak  
  37121     0.5311476804014118      weak  
  37373     0.3891227622570907      weak  
  37624     0.37385720967810526      weak  
  37800     0.628779181017987      weak  
  37933     0.4455075052089978      weak  
  38032     0.37449504613683726      weak  
  38263     0.447506059446358      weak  
  38301     0.5167750988646512      weak  
  38449     0.4518858697963177      weak  
  38548     0.381808904196964      weak  
  38589     0.4300718629076838      weak  
  38781     0.39163158566143647      weak  
  38852     0.6589275843007187      weak  
  39148     0.6918824680018709      weak  
  39267     0.36382191606072206      weak  
  39298     0.541820810477527      weak  
  39566     0.654547773950759      weak  
  39635     0.49019857975081865      weak  
  39640     0.3753029723178978      weak  
  39734     0.43415401624356853      weak  
  39769     0.5996087936386444      weak  
  39790     0.36382191606072206      weak  
  40044     0.4283709656843986      weak  
  40060     0.6296296296296298      weak  
  40109     0.6546753412425056      weak  
  40425     0.6918824680018709      weak  
  40748     0.3925670791342434      weak  
  40788     0.3852106986435345      weak  
  40838     0.5245567036611813      weak  
  40934     0.6350725007441425      weak  
  41044     0.3891227622570907      weak  
  41084     0.3852106986435345      weak  
  41204     0.654547773950759      weak  
  41315     0.41404090657822      weak  
  41614     0.4322830292979547      weak  
  41855     0.42450142450142453      weak  
  41978     0.35633796827826675      weak  
  42065     0.756559084917294      strong  
  42252     0.6290768380320618      weak  
  42551     0.42203512352766087      weak  
  43059     0.6350725007441425      weak  
  43177     0.41829314963643327      weak  
  43521     0.35178806820597863      weak  
  43546     0.38159629204405315      weak  
  43603     0.3500021261215292      weak  
  43823     0.381808904196964      weak  
  43857     0.622953608028235      weak  
  43918     0.6758515116724072      weak  
  44315     0.5087383594846282      weak  
  44355     0.38159629204405315      weak  
  44555     0.3856359229493558      weak  
  44670     0.41404090657822      weak  
  44674     0.6179359612195434      weak  
  44718     0.41829314963643327      weak  
  44798     0.5311476804014118      weak  
  44805     0.6918824680018709      weak  
  44864     0.5648679678530425      weak  
  45483     0.4092358719224392      weak  
  45599     0.528001020538334      weak  
  45818     0.5996087936386444      weak  
  45944     0.49019857975081865      weak  
  45961     0.41433856359229493      weak  
  46095     0.3925670791342434      weak  
  46181     0.4826721095377812      weak  
  46256     0.42203512352766087      weak  
  46299     0.4247565590849173      weak  
  46444     0.36556533571458943      weak  
  46449     0.6101543564230132      weak  
  46948     0.4828421992601098      weak  
  47295     0.4335161797848366      weak  
  47427     0.41701747671896927      weak  
  47648     0.3500021261215292      weak  
  47702     0.3856359229493558      weak  
  47823     0.447506059446358      weak  
  47887     0.6546753412425056      weak  
  47965     0.4518858697963177      weak  
  48018     0.48484075349746997      weak  
  48236     0.41914359824807584      weak  
  48361     0.381808904196964      weak  
  48587     0.39163158566143647      weak  
  48994     0.4205893608878684      weak  
  49027     0.5451375600629332      weak  
  49179     0.37385720967810526      weak  
  49211     0.37309180592762686      weak  
  49227     0.385040608921206      weak  
  49477     0.3500021261215292      weak  
  49701     0.4484415529191648      weak  
  49875     0.35178806820597863      weak  
  50112     0.4135306374112344      weak  
  50173     0.4322830292979547      weak  
  50212     0.3500021261215292      weak  
  50260     0.447506059446358      weak  
  50376     0.4238635880426926      weak  
  50482     0.4623038652889399      weak  
  50490     0.42450142450142453      weak  
  50682     0.4623038652889399      weak  
  50971     0.45379937917251356      weak  
  51049     0.4135306374112344      weak  
  51241     0.5314453374154866      weak  
  51281     0.4867542628736659      weak  
  51373     0.37730152655525795      weak  
  51487     0.41591189352383384      weak  
  51955     0.6918824680018709      weak  
  52056     0.4518858697963177      weak  
  52335     0.4205893608878684      weak  
  52529     0.41246757664668116      weak  
  52540     0.3819364714887104      weak  
  52887     0.4714887102946805      weak  
  52935     0.5920823234256071      weak  
  53221     0.35633796827826675      weak  
  53263     0.528001020538334      weak  
  53296     0.49019857975081865      weak  
  53389     0.4324105965897011      weak  
  53480     0.4247565590849173      weak  
  53796     0.4082153335884679      weak  
  53905     0.512522855806438      weak  
  53982     0.4247565590849173      weak  
  54136     0.4826721095377812      weak  
  54244     0.4082153335884679      weak  
  54612     0.49019857975081865      weak  
  54677     0.41433856359229493      weak  
  54682     0.7929582854955989      strong  
  54742     0.4484415529191648      weak  
  54819     0.44988731555895745      weak  
  55040     0.528001020538334      weak  
  55162     0.41701747671896927      weak  
  55178     0.47144618786409836      weak  
  55347     0.528001020538334      weak  
  55404     0.3925670791342434      weak  
  55622     0.4794404048135392      weak  
  55664     0.36382191606072206      weak  
  56028     0.49019857975081865      weak  
  56132     0.37513288259556915      weak  
  56152     0.4335161797848366      weak  
  56171     0.5116724071947953      weak  
  56195     0.4335161797848366      weak  
  56234     0.5311476804014118      weak  
  56492     0.6953267848790237      weak  
  56577     0.41701747671896927      weak  
  56851     0.42450142450142453      weak  
  57043     0.41246757664668116      weak  
  57101     0.3611430029340477      weak  
  57111     0.3500021261215292      weak  
  57147     0.43993706680273853      weak  
  57233     0.36382191606072206      weak  
  57239     0.528001020538334      weak  
  57313     0.785261725560233      strong  
  57546     1.0      strong  
  57553     0.5119700642088703      weak  
  57558     0.42450142450142453      weak  
  57563     0.447506059446358      weak  
  57614     0.4324105965897011      weak  
  57719     0.42803078623974145      weak  
  57893     0.49160181996002894      weak  
  57977     0.49019857975081865      weak  
  58004     0.5824722541140452      weak  
  58122     0.42450142450142453      weak  
  58235     0.756559084917294      strong  
  58286     0.5451375600629332      weak  
  58491     0.3579963430709699      weak  
  58497     0.4623038652889399      weak  
  58601     0.37513288259556915      weak  
  58702     0.578220011055832      weak  
  58782     0.5311476804014118      weak  
  59064     0.41859080665050813      weak  
  59079     0.385040608921206      weak  
  59124     0.4324105965897011      weak  
  59196     0.628779181017987      weak  
  59229     0.5726070502189905      weak  
  59241     0.385040608921206      weak  
  59304     0.4335161797848366      weak  
  59465     0.4476336267381045      weak  
  59533     0.41701747671896927      weak  
  59639     0.5956967300250884      weak  
  59656     0.4749330271718332      weak  
  59676     0.4324105965897011      weak  
  59719     0.35633796827826675      weak  
  59724     0.385040608921206      weak  
  59888     0.785261725560233      strong  
  59994     0.5311476804014118      weak  
  60050     0.3579963430709699      weak  
  60283     0.4749755496024153      weak  
  60375     0.49019857975081865      weak  
  60438     0.47858995620189654      weak  
  60934     0.4322830292979547      weak  
  60953     0.5843432410596591      weak  
  61005     0.5116724071947953      weak  
  61017     0.6758515116724072      weak  
  61031     0.3819364714887104      weak  
  61461     0.3500021261215292      weak  
  61492     0.5801335204320279      weak  
  61653     0.6784879023684994      weak  
  61984     0.37449504613683726      weak  
  62102     0.5311476804014118      weak  
  62107     0.4654505251520178      weak  
  62148     0.3604626440447337      weak  
  62189     0.4247565590849173      weak  
  62240     0.5087383594846282      weak  
  62308     0.48722200961006923      weak  
  62355     0.364119573074797      weak  
  62555     0.41404090657822      weak  
  62587     0.4082153335884679      weak  
  62771     0.42450142450142453      weak  
  62810     0.5824722541140452      weak  
  62827     0.44406174256920516      weak  
  62851     0.6918824680018709      weak  
  62943     0.578220011055832      weak  
  62968     0.3819364714887104      weak  
  63085     0.381808904196964      weak  
  63115     0.3560403112641919      weak  
  63306     0.37381468724752315      weak  
  63584     0.49160181996002894      weak  
  63802     0.41123442615979944      weak  
  64065     0.6918824680018709      weak  
  64089     0.6589275843007187      weak  
  64588     0.36382191606072206      weak  
  64651     0.44988731555895745      weak  
  64727     0.3852106986435345      weak  
  65030     0.5311476804014118      weak  
  65674     0.7929582854955989      strong  
  66242     0.3891227622570907      weak  
