# searching chr1
# for transcription factor AFT2
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  3     0.3900130324439262      weak  
  8     0.47595857054667673      weak  
  16     0.47595857054667673      weak  
  24     0.3900130324439262      weak  
  29     0.3900130324439262      weak  
  36     0.3900130324439262      weak  
  41     0.3900130324439262      weak  
  46     0.47595857054667673      weak  
  81     0.8925166335139584      strong  
  92     0.3827080046642431      weak  
  97     0.4018794155977776      weak  
  98     0.8710131010357364      strong  
  99     0.36607449070580983      weak  
  133     0.5572741614651211      weak  
  134     0.4624802798545854      weak  
  152     0.5411550860827218      weak  
  153     0.45356334453666236      weak  
  167     0.41655806296728176      weak  
  187     0.43367171959668016      weak  
  202     0.41655806296728176      weak  
  209     0.47595857054667673      weak  
  230     0.5025036010700322      weak  
  240     0.35616297414088754      weak  
  241     0.3861718910762055      weak  
  247     0.7170244872762191      strong  
  248     0.49749639892996783      weak  
  282     0.4519857329034913      weak  
  308     0.5025036010700322      weak  
  324     0.35304204677961454      weak  
  365     0.41655806296728176      weak  
  375     0.41655806296728176      weak  
  378     0.3900130324439262      weak  
  381     0.3900130324439262      weak  
  387     0.627237807805748      weak  
  425     0.5170450648192606      weak  
  435     0.3772892516633514      weak  
  477     0.37005281569380616      weak  
  492     1.0      strong  
  493     0.581006927772824      weak  
  521     0.5412922697029976      weak  
  537     0.5412922697029976      weak  
  542     0.7585225324096303      strong  
  548     0.5838191919884766      weak  
  549     0.4624802798545854      weak  
  554     0.5122093422045408      weak  
  570     0.7411345085396803      strong  
  578     0.5025036010700322      weak  
  586     0.7319775018862748      strong  
  587     0.5568969065093627      weak  
  626     0.5931476781672269      weak  
  629     0.4734892653817135      weak  
  630     0.5387200768228273      weak  
  631     0.45356334453666236      weak  
  649     0.8460113862404828      strong  
  650     0.42369161122162013      weak  
  670     0.41655806296728176      weak  
  678     0.6576239796968242      weak  
  679     0.40818986213046166      weak  
  692     0.41655806296728176      weak  
  734     0.4686535427669936      weak  
  735     0.4317511489128198      weak  
  798     0.46131421908224163      weak  
  808     0.575142328006036      weak  
  852     0.5286370807325605      weak  
  863     0.3533850058303039      weak  
  871     0.3772892516633514      weak  
  900     0.4483846628712532      weak  
  901     0.7546813910419097      strong  
  956     0.5727073187461418      weak  
  973     0.7500514438576034      strong  
  985     0.37591741546059404      weak  
  991     0.49118595239728374      weak  
  1021     0.4559983537965567      weak  
  1028     0.3772892516633514      weak  
  1035     0.4778448453254682      weak  
  1080     0.43689553467316006      weak  
  1099     0.4045887920982235      weak  
  1115     0.35585431099526715      weak  
  1194     0.5122093422045408      weak  
  1197     0.44704712257356477      weak  
  1212     0.5265793264284244      weak  
  1242     0.41655806296728176      weak  
  1259     0.4799711914397421      weak  
  1266     0.39989025310377946      weak  
  1274     0.3827080046642431      weak  
  1275     0.5151587900404692      weak  
  1282     0.35383085259620006      weak  
  1317     0.627237807805748      weak  
  1318     0.3685094999657041      weak  
  1321     0.35616297414088754      weak  
  1322     0.3861718910762055      weak  
  1398     0.6333767748130873      weak  
  1403     0.8460113862404828      strong  
  1404     0.42369161122162013      weak  
  1413     0.502092050209205      weak  
  1433     0.423245764455724      weak  
  1450     0.9734549694766444      strong  
  1451     0.567357157555388      weak  
  1454     0.374888538308526      weak  
  1457     0.3653199807942932      weak  
  1459     0.3989985595719871      weak  
  1462     0.49430687975855686      weak  
  1464     0.7168873036559434      strong  
  1484     0.4451608477947733      weak  
  1487     0.5258591124219769      weak  
  1507     0.45044241717538924      weak  
  1517     0.5058988956718568      weak  
  1522     0.6600932848617874      weak  
  1523     0.35842650387543734      weak  
  1525     0.6068317442897319      weak  
  1555     0.5667741271692159      weak  
  1569     0.3803758831195555      weak  
  1581     0.38562315659510255      weak  
  1582     0.3676178064339119      weak  
  1774     0.35184169010220184      weak  
  1778     0.37252212085876946      weak  
  1794     0.4735921530969203      weak  
  1811     0.5058988956718568      weak  
  1839     0.3771520680430757      weak  
  1841     0.7016942177104054      strong  
  1853     0.6074147746759038      weak  
  1857     0.46131421908224163      weak  
  1867     0.45342616091638654      weak  
  1881     0.48082858906646553      weak  
  1901     0.37104739694080535      weak  
  1914     0.4580904040057618      weak  
  1916     0.5727073187461418      weak  
  1961     0.4347691885588861      weak  
  1967     0.5485972974826806      weak  
  1999     0.4132313601755951      weak  
  2000     0.617257699430688      weak  
  2003     0.4347691885588861      weak  
  2008     0.48082858906646553      weak  
  2024     0.6186295356334454      weak  
  2033     0.6666780986350229      weak  
  2047     0.46975101172919953      weak  
  2053     0.4858357912065299      weak  
  2057     0.47595857054667673      weak  
  2064     0.37005281569380616      weak  
  2093     0.5376911996707593      weak  
  2108     0.5149873105151246      weak  
  2114     0.4451608477947733      weak  
  2120     0.5614925577886      weak  
  2123     0.5258591124219769      weak  
  2129     0.6424308937512861      weak  
  2132     0.5258591124219769      weak  
  2134     0.4126483297894231      weak  
  2141     0.5122093422045408      weak  
  2144     0.6067974483846629      weak  
  2161     0.5683174428973181      weak  
  2189     0.47753618217984767      weak  
  2224     0.3695040812127032      weak  
  2239     0.37999862816379737      weak  
  2252     0.4451608477947733      weak  
  2255     0.6425680773715619      weak  
  2267     0.5025036010700322      weak  
  2288     0.4936209616571781      weak  
  2303     0.4557239865560052      weak  
  2311     0.7850675629329859      strong  
  2312     0.4057548528705673      weak  
  2379     0.5062761506276151      weak  
  2442     0.762329377872282      strong  
  2462     0.5185540846422938      weak  
  2464     0.4883050963714932      weak  
  2479     0.627237807805748      weak  
  2480     0.3685094999657041      weak  
  2494     0.7274847383222443      strong  
  2502     0.5813841827285822      weak  
  2524     0.5813841827285822      weak  
  2530     0.43689553467316006      weak  
  2576     0.6957610261334796      weak  
  2577     0.4612113313670348      weak  
  2604     0.5139927292681253      weak  
  2629     0.4347691885588861      weak  
  2635     0.44145689004732847      weak  
  2720     0.35094999657040954      weak  
  2729     0.6295356334453667      weak  
  2735     0.4674874819946499      weak  
  2743     0.5262020714726662      weak  
  2760     0.7764249948556142      strong  
  2761     0.35842650387543734      weak  
  2763     0.42917895603264977      weak  
  2771     0.42242266273406953      weak  
  2785     0.48340078194663555      weak  
  2826     0.393819877906578      weak  
  2828     0.4428287262500858      weak  
  2837     0.5614925577886      weak  
  2842     0.6399958844913918      weak  
  2870     0.5945195143699842      weak  
  2912     0.5945195143699842      weak  
  2977     0.6068317442897319      weak  
  2993     0.35184169010220184      weak  
  3039     0.38716647232320467      weak  
  3040     0.4423485835791206      weak  
  3052     0.7764249948556142      strong  
  3062     0.4137115028465601      weak  
  3087     0.7170244872762191      strong  
  3088     0.3685094999657041      weak  
  3101     0.6226078606214418      weak  
  3136     0.370155703409013      weak  
  3137     0.5411550860827218      weak  
  3138     0.45356334453666236      weak  
  3236     0.36888675492146245      weak  
  3247     0.3803758831195555      weak  
  3253     0.364874134028397      weak  
  3305     0.3974552438438851      weak  
  3331     0.3779408738596612      weak  
  3354     0.3894642979628232      weak  
  3355     0.4294533232732012      weak  
  3377     0.3815419438918993      weak  
  3379     0.36291926743946773      weak  
  3380     0.5584402222374648      weak  
  3381     0.4317511489128198      weak  
  3385     0.3888469716715825      weak  
  3419     0.4674874819946499      weak  
  3420     0.4624802798545854      weak  
  3430     0.41230537073873386      weak  
  3436     0.4244461211331367      weak  
  3437     0.6536456547088277      weak  
  3464     0.5614925577886      weak  
  3512     0.55312435695178      weak  
  3522     0.4393305439330544      weak  
  3533     0.36888675492146245      weak  
  3554     0.46021675012003566      weak  
  3619     0.870121407503944      strong  
  3620     0.5697921668152822      weak  
  3717     0.7500514438576034      strong  
  3730     0.45044241717538924      weak  
  3759     0.3861718910762055      weak  
  3766     0.4799711914397421      weak  
  3770     0.5667741271692159      weak  
  3810     0.5025036010700322      weak  
  3824     0.35304204677961454      weak  
  3863     0.4237944989368269      weak  
  3892     0.6737430550792235      weak  
  3901     0.3837025859112422      weak  
  3902     0.40973317785856367      weak  
  3917     0.5643391179093217      weak  
  3976     0.4129569929350436      weak  
  3992     0.4237944989368269      weak  
  4012     0.3585979834007819      weak  
  4013     0.5949310652308114      weak  
  4070     0.5397489539748955      weak  
  4079     0.4150833390493175      weak  
  4157     0.45881061801220935      weak  
  4186     0.3815419438918993      weak  
  4209     0.5614925577886      weak  
  4233     0.4483846628712532      weak  
  4234     0.8836682900061733      strong  
  4235     0.4212566019617259      weak  
  4283     0.4922491254544208      weak  
  4292     0.7850675629329859      strong  
  4306     0.41230537073873386      weak  
  4312     0.6691131078949173      weak  
  4322     0.6737430550792235      weak  
  4323     0.3811646889361411      weak  
  4337     0.45881061801220935      weak  
  4360     0.3803758831195555      weak  
  4396     0.7299197475821387      strong  
  4418     0.5149873105151246      weak  
  4551     0.6148226901707936      weak  
  4556     0.5960628300980862      weak  
  4599     0.41539200219493794      weak  
  4626     0.5260991837574595      weak  
  4654     0.4150833390493175      weak  
  4730     0.7435695177995747      strong  
  4731     0.49749639892996783      weak  
  4775     0.5286370807325605      weak  
  4803     0.35094999657040954      weak  
  4805     0.3802729954043487      weak  
  4806     0.37252212085876946      weak  
  4809     0.5175252074902257      weak  
  4830     0.5376911996707593      weak  
  4847     0.5440702380135812      weak  
  4848     0.43710131010357367      weak  
  4908     0.48340078194663555      weak  
  4930     0.366451745661568      weak  
  4941     0.4559983537965567      weak  
  4945     0.7635297345496947      strong  
  4955     0.5412922697029976      weak  
  4967     0.3695040812127032      weak  
  4983     0.7876397558131559      strong  
  4984     0.3811646889361411      weak  
  4988     0.4277385280197545      weak  
  5031     0.4127855134096988      weak  
  5064     0.36888675492146245      weak  
  5135     0.6737430550792235      weak  
  5157     0.7562247067700116      strong  
  5158     0.42369161122162013      weak  
  5192     0.3803758831195555      weak  
  5202     0.37104739694080535      weak  
  5213     0.3974552438438851      weak  
  5234     0.45342616091638654      weak  
  5279     0.4519857329034913      weak  
  5306     0.3695040812127032      weak  
  5314     0.5838191919884766      weak  
  5315     0.4624802798545854      weak  
  5364     0.8460113862404828      strong  
  5365     0.5834419370327183      weak  
  5400     0.7435695177995747      strong  
  5448     0.7041292269702997      strong  
  5470     0.7041292269702997      strong  
  5531     0.669215995610124      weak  
  5532     0.4612113313670348      weak  
  5554     0.39989025310377946      weak  
  5567     0.42568077371561835      weak  
  5570     0.3744083956375609      weak  
  5578     0.5170107689141917      weak  
  5580     0.4126483297894231      weak  
  5603     0.4393305439330544      weak  
  5609     0.762329377872282      strong  
  5642     0.4259894368612388      weak  
