# searching chr1
# for transcription factor YAP7
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  196     0.45734227824083495      weak  
  285     0.3767703462763434      weak  
  390     0.414515145354747      weak  
  825     0.5239547333468862      weak  
  1201     0.46981093718235417      weak  
  1268     0.3913397031917057      weak  
  2305     0.3551534864809921      weak  
  2922     0.4217659415870435      weak  
  2964     0.54306430846378      weak  
  3099     0.4001490817916922      weak  
  3517     0.4871586365792505      weak  
  3638     0.41376973639628656      weak  
  3751     0.524361320051501      weak  
  3807     0.3628786338686725      weak  
  4433     0.512502541166904      weak  
  4861     0.43796164532086457      weak  
  5203     0.4878362810869418      weak  
  5685     0.5472657044114657      weak  
  5865     0.39737073931015787      weak  
  6383     0.3787355153486481      weak  
  6507     0.8113437690587518      strong  
  6822     0.5418445483499357      weak  
  7657     0.38842583180863327      weak  
  7678     0.5895507216914008      weak  
  8163     0.3551534864809921      weak  
  8208     0.35718642000406586      weak  
  8390     0.5253777868130379      weak  
  8455     0.5593955410991394      weak  
  8618     0.4931219082469337      weak  
  9303     0.3524429084502271      weak  
  9448     0.3625398116148269      weak  
  9918     0.3707393101578912      weak  
  9930     0.5005759978315376      weak  
  10234     0.6646337331435928      weak  
  10302     0.38429220031171657      weak  
  10535     0.3533238463102256      weak  
  10675     0.6767635698312665      weak  
  10957     0.4433828013823949      weak  
  11005     0.39316934336247217      weak  
  11121     0.4856678186623298      weak  
  11300     0.4931219082469337      weak  
  11536     0.5616995324252897      weak  
  11655     0.46981093718235417      weak  
  13080     0.4296943823270313      weak  
  13110     0.5171105238192045      weak  
  13213     0.512502541166904      weak  
  13686     0.4184454834993563      weak  
  14383     0.3883580673578641      weak  
  14573     0.3827336179440266      weak  
  14985     0.3528494951548418      weak  
  15189     0.44107881005624455      weak  
  15220     0.404350477739378      weak  
  15274     0.45619028257775973      weak  
  15335     0.47990784034695405      weak  
  15834     0.4765873822592668      weak  
  16429     0.350816561631768      weak  
  16513     0.402791895371688      weak  
  17498     0.3610489936979061      weak  
  17504     0.39852273497323304      weak  
  17785     0.5799281696821847      weak  
  18040     0.4560547536762215      weak  
  18114     0.441824219014705      weak  
  18235     0.6137426306159789      weak  
  18378     0.5921935352713967      weak  
  18737     0.4713017550992749      weak  
  19242     0.5039642203699939      weak  
  19331     0.44832960628854107      weak  
  19489     0.46269566985159594      weak  
  19575     0.404350477739378      weak  
  20119     0.4961035440807753      weak  
  20195     0.5818255743037203      weak  
  20434     0.3682997899302027      weak  
  21205     0.599308802602155      weak  
  21231     0.4799756047977231      weak  
  21311     0.5849427390391001      weak  
  21708     0.40590906010706784      weak  
  22273     0.5299857694653385      weak  
  22391     0.5158907637053602      weak  
  22557     0.3682997899302027      weak  
  22560     0.5106051365453683      weak  
  22644     0.4788913735854171      weak  
  22660     0.4052991800501458      weak  
  23424     0.39418581012400894      weak  
  23584     0.5098597275869079      weak  
  23995     0.3682997899302027      weak  
  24155     0.35149420613945925      weak  
  25129     0.4172257233855121      weak  
  25245     0.4296943823270313      weak  
  25275     0.5171105238192045      weak  
  25375     0.512502541166904      weak  
  25653     0.3997424950870773      weak  
  27233     0.5023378735515349      weak  
  27620     0.41322762079013364      weak  
  27939     0.3593548824286779      weak  
  28050     0.4256962797316528      weak  
  28222     0.5391339703191707      weak  
  28577     0.4170224300332046      weak  
  28667     0.38463102256556214      weak  
  28727     0.6253303516974995      weak  
  28747     0.6646337331435928      weak  
  28859     0.545842650945314      weak  
  28873     0.5093853764315242      weak  
  29133     0.4345056583316393      weak  
  29484     0.3811072711255676      weak  
  29505     0.4920376770346277      weak  
  29554     0.436470827403944      weak  
  30611     0.5214474486684286      weak  
  32059     0.3859185471301754      weak  
  32350     0.35725418445483503      weak  
  33066     0.4106525716609068      weak  
  33113     0.6137426306159789      weak  
  33229     0.41322762079013364      weak  
  33232     0.3707393101578912      weak  
  33630     0.5455038286914685      weak  
  33811     0.37866775089787896      weak  
  34209     0.36599579860405235      weak  
  34234     0.39879379277630955      weak  
  34710     0.4688622348715864      weak  
  34749     0.6024259673375347      weak  
  35593     0.36057464254252225      weak  
  36302     0.377651284136342      weak  
  36685     0.5196178084976621      weak  
  37335     0.4028596598224572      weak  
  37847     0.4856678186623298      weak  
  38438     0.4747577420885004      weak  
  38809     0.3838856136071018      weak  
  39067     0.4747577420885004      weak  
  39201     0.4920376770346277      weak  
  39241     0.7916920783357052      strong  
  40248     0.6279731652774955      weak  
  40515     0.43043979128549165      weak  
  40589     0.5297824761130312      weak  
  41554     0.38307244019787223      weak  
  42695     0.404350477739378      weak  
  42904     0.38700277834248165      weak  
  44901     0.43613200515009826      weak  
  45656     0.44229857017008883      weak  
  45727     0.557565900928373      weak  
  45903     0.4736735108761944      weak  
  46162     0.46235684759775014      weak  
  46285     0.5377786813037881      weak  
  46508     0.5806735786406452      weak  
  46865     0.599308802602155      weak  
  47164     0.38842583180863327      weak  
  47211     0.534593752117639      weak  
  47391     0.6268889340651894      weak  
  47718     0.3838856136071018      weak  
  47744     0.38429220031171657      weak  
  47779     0.3827336179440266      weak  
  48100     0.6173341465067426      weak  
  48535     0.4744866842854239      weak  
  48946     0.3504777393779223      weak  
  49151     0.5202276885545843      weak  
  49485     0.523277088839195      weak  
  49578     0.41004269160398454      weak  
  50242     0.404350477739378      weak  
  50600     0.41031374940706106      weak  
  50660     0.5239547333468862      weak  
  50728     0.3704682523548147      weak  
  50860     0.35244290845022697      weak  
  51131     0.4172257233855121      weak  
  51533     0.5451650064376228      weak  
  51596     0.45619028257775973      weak  
  51702     0.36192993155790476      weak  
  52119     0.4446025614962392      weak  
  53428     0.377651284136342      weak  
  53733     0.5000338822253847      weak  
  54081     0.3697906078471235      weak  
  55029     0.5165006437622823      weak  
  55291     0.41797113234397243      weak  
  55429     0.5656976350206682      weak  
  56138     0.4042827132886088      weak  
  56361     0.4001490817916922      weak  
  56365     0.4765196178084977      weak  
  56638     0.40651894016399004      weak  
  57297     0.4114657450701363      weak  
  57772     0.3653859185471302      weak  
  57807     0.3704682523548147      weak  
  59157     0.5656976350206682      weak  
  59690     0.411330216168598      weak  
  59764     0.3758894084163449      weak  
  60324     0.37527952835942274      weak  
  60707     0.4400623432947077      weak  
  60923     0.43531883174086883      weak  
  61110     0.5305278850714915      weak  
  61711     0.4744866842854239      weak  
  63038     0.45422511350545514      weak  
  63840     0.46981093718235417      weak  
  64111     0.43531883174086883      weak  
  64165     0.3524429084502271      weak  
  64402     0.5595310700006776      weak  
  64422     0.5023378735515349      weak  
  64638     0.3610489936979061      weak  
  65032     0.36924849224097045      weak  
  65344     0.373856474893271      weak  
  65426     0.545842650945314      weak  
  65700     0.40719658467168135      weak  
  66749     0.350816561631768      weak  
  67315     0.4498204242054619      weak  
  67843     0.4706918750423529      weak  
  67918     0.3637595717286712      weak  
  68085     0.5253777868130379      weak  
  69204     0.4001490817916921      weak  
  69586     0.36518262519482286      weak  
  69631     0.39316934336247217      weak  
  69777     0.40550247340245316      weak  
  70024     0.404350477739378      weak  
  71095     0.41783560344243414      weak  
  71448     0.40800975808091083      weak  
  71524     0.4736735108761944      weak  
  71793     0.4066544690655283      weak  
  71951     0.41004269160398454      weak  
  72634     0.6447109846174698      weak  
  72848     0.36057464254252225      weak  
  74240     0.45673239818391276      weak  
  75084     0.3804973910686454      weak  
  75177     0.441824219014705      weak  
  75866     0.42081723927627573      weak  
  75881     0.3533238463102256      weak  
  76850     0.39316934336247217      weak  
  77354     0.37527952835942274      weak  
  77677     0.48051772040387614      weak  
  78143     0.36057464254252225      weak  
  78456     0.7916920783357052      strong  
  78608     0.37527952835942274      weak  
  78881     0.36057464254252225      weak  
  78893     0.36057464254252225      weak  
  78959     0.4961035440807753      weak  
  79026     0.5472657044114657      weak  
  79035     0.5256488446161144      weak  
  79042     0.5616995324252897      weak  
  79671     0.44832960628854107      weak  
  79674     0.36267534051636513      weak  
  79909     0.3563732465948364      weak  
  80217     0.36362404282713295      weak  
  80296     0.5036253981161483      weak  
  80300     0.35169749949176665      weak  
  81819     0.3603035847394457      weak  
  81855     0.3691807277902013      weak  
  81891     0.6071017144406045      weak  
  82141     0.3610489936979061      weak  
  82165     0.5535000338822255      weak  
  82456     0.6287185742359558      weak  
  82510     0.36192993155790476      weak  
  83373     0.39215287660093523      weak  
  84462     0.6598224571389849      weak  
  85616     0.43531883174086883      weak  
  85879     0.6965507894558516      weak  
  86041     0.3752795283594227      weak  
  86395     0.40719658467168135      weak  
  87430     0.35244290845022697      weak  
  87688     0.39215287660093523      weak  
  88140     0.4920376770346277      weak  
  88251     0.45673239818391276      weak  
  88694     0.3930338144609337      weak  
  88815     0.5932777664837027      weak  
  88880     0.3830046757471032      weak  
  88944     0.6030358473944569      weak  
  89051     0.36518262519482286      weak  
  89993     0.5593955410991394      weak  
  90013     0.41797113234397243      weak  
  90083     0.36118452259944434      weak  
  90576     0.5469946466083891      weak  
  90635     0.4856678186623298      weak  
  90986     0.3625398116148269      weak  
  91299     0.5732872535068103      weak  
  91405     0.512502541166904      weak  
  91622     0.38429220031171657      weak  
  91779     0.37453411940096226      weak  
  91874     0.7166768313342821      strong  
  93431     0.45632581147929796      weak  
  93711     0.45673239818391276      weak  
  93775     0.3522396150979197      weak  
  94020     0.5808091075421834      weak  
  94973     0.3992003794809243      weak  
  95094     0.6312258589144136      weak  
  95222     0.35915158907637057      weak  
  95376     0.4256962797316528      weak  
  96173     0.4465677305685438      weak  
  96236     0.38842583180863327      weak  
  96397     0.488988276750017      weak  
  96487     0.5214474486684286      weak  
  96515     0.377651284136342      weak  
  96814     0.6326489123805652      weak  
  97115     0.3598292335840618      weak  
  97156     0.3787355153486481      weak  
  97997     0.3625398116148269      weak  
  98159     0.3590160601748323      weak  
  98299     0.5377786813037881      weak  
  98444     0.5290370671545708      weak  
  98724     0.512502541166904      weak  
  99265     0.4281357999593414      weak  
  99346     0.5377786813037881      weak  
  99938     0.3746696483025005      weak  
  99952     0.3746696483025005      weak  
  99991     0.3504777393779223      weak  
  100054     0.5472657044114657      weak  
  100238     0.4001490817916922      weak  
  101112     0.4314562580470286      weak  
  101387     0.3697906078471235      weak  
  101618     0.6686318357389714      weak  
  102068     0.40800975808091083      weak  
  102156     0.5776919428068037      weak  
  102516     0.5106051365453683      weak  
  102734     0.3707393101578912      weak  
  102758     0.45198888663007397      weak  
  102781     0.4288134444670327      weak  
  103814     0.38266585349325744      weak  
  104152     0.4452124415531613      weak  
  104295     0.5691536220098937      weak  
  104299     0.5036253981161483      weak  
  105651     0.6592125770820628      weak  
  105854     0.5138578301822864      weak  
  106118     0.6592125770820628      weak  
  106251     0.45734227824083495      weak  
  106346     0.3571186555532967      weak  
  106662     0.4526665311377652      weak  
  106822     0.409703869350139      weak  
  108593     0.37168801246865896      weak  
  108611     0.3863928982855594      weak  
  108674     0.5106051365453683      weak  
  108809     0.5273429558853425      weak  
  110312     0.3691807277902013      weak  
  110421     0.35149420613945925      weak  
  110559     0.488988276750017      weak  
  110888     0.5966659890221591      weak  
  110944     0.6686318357389714      weak  
  112776     0.43531883174086883      weak  
  112901     0.5311377651284137      weak  
  112972     0.4807887782069527      weak  
  113336     0.5194822795961239      weak  
  114255     0.4498204242054619      weak  
  115435     0.4416886901131667      weak  
  115773     0.4856678186623298      weak  
  116392     0.37527952835942274      weak  
  116425     0.39486345463170036      weak  
  116638     0.3849020803686386      weak  
  117101     0.3682997899302027      weak  
  117119     0.45632581147929796      weak  
  117444     0.4788913735854171      weak  
  117585     0.5023378735515349      weak  
  117836     0.4303720268347226      weak  
  117886     0.36118452259944434      weak  
  117935     0.5039642203699939      weak  
  117983     0.39459239682862374      weak  
  118137     0.7958257098326219      strong  
  118647     0.3598292335840618      weak  
  118961     0.35718642000406586      weak  
  119073     0.6965507894558516      weak  
  119082     0.4343023649793319      weak  
  119120     0.37866775089787896      weak  
  119221     0.462763434302365      weak  
  119273     0.44832960628854107      weak  
