# searching chr1
# for transcription factor GLN3
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  325     0.3525081581543598      weak  
  805     0.42566593306518935      weak  
  1143     0.48554299157623126      weak  
  1178     0.6742050542612127      weak  
  1221     0.4069211504894892      weak  
  1814     0.6386886241177809      weak  
  2195     0.36548531532215217      weak  
  2764     0.38134628519389846      weak  
  2778     0.49639523412005765      weak  
  2786     0.3940198831296956      weak  
  2885     0.3510662518023829      weak  
  3119     0.8191545875388935      strong  
  3151     0.4410715640889428      weak  
  3208     0.5324428929194809      weak  
  3560     0.3872656902178036      weak  
  3584     0.42293389997723296      weak  
  3792     0.43112999924110196      weak  
  3801     0.3821051832738862      weak  
  3825     0.5187068376717007      weak  
  3907     0.5901950368065568      weak  
  3969     0.6143279957501707      weak  
  4065     0.5113455262958185      weak  
  4080     0.39978750853760325      weak  
  4161     0.5045154435759277      weak  
  4333     0.4322683463610837      weak  
  4432     0.5155953555437506      weak  
  4596     0.6202474007740761      weak  
  4675     0.5077787053198756      weak  
  4826     0.5914851635425363      weak  
  5032     0.5665174167109357      weak  
  5046     0.42149199362525624      weak  
  5209     0.3808909463459057      weak  
  5277     0.4252864840251954      weak  
  5403     0.5428397966153145      weak  
  5578     0.3585793427942627      weak  
  5793     0.35432951354633063      weak  
  5921     0.43211656674508603      weak  
  6023     0.5215147605676558      weak  
  6441     0.5017075206799726      weak  
  6498     0.4617135918646126      weak  
  6501     0.4279426273051528      weak  
  6523     0.7571526144038854      strong  
  6708     0.6446839189496849      weak  
  6715     0.420429536313273      weak  
  6806     0.39963572892160587      weak  
  7154     0.40912195492145403      weak  
  7214     0.6817940350610913      weak  
  7253     0.8517113151703727      strong  
  7492     0.3821051832738862      weak  
  7663     0.35387417469833793      weak  
  8015     0.3689003566820976      weak  
  8068     0.40487212567352193      weak  
  8101     0.4145860210973666      weak  
  8208     0.35235637853836227      weak  
  8449     0.3717082795780526      weak  
  8574     0.4083630568414661      weak  
  8890     0.6091674888062534      weak  
  9312     0.4975335812400395      weak  
  9394     0.7908476891553464      strong  
  9464     0.38673446156181224      weak  
  9486     0.43204067693708725      weak  
  9596     0.36715489109812544      weak  
  9659     0.4510131289367837      weak  
  9668     0.39697958564164826      weak  
  9827     0.9233512939212263      strong  
  9838     0.40578280336950745      weak  
  9925     0.37944903999392876      weak  
  10024     0.42536237383319425      weak  
  10050     0.38460954693784616      weak  
  10188     0.38939060484176974      weak  
