# searching chr1
# for transcription factor CIN5
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  59     0.5728830738044781      weak  
  73     0.3964341656684788      weak  
  84     0.448263153045241      weak  
  110     0.5820510457937896      weak  
  140     0.43642310881783836      weak  
  151     0.5374550815442736      weak  
  157     0.5292545839859946      weak  
  170     0.5626094167511289      weak  
  192     0.3521146226849719      weak  
  196     0.5731134248594859      weak  
  205     0.4591357228416106      weak  
  221     0.5451948769925367      weak  
  235     0.49894038514696415      weak  
  257     0.3730765686906847      weak  
  268     0.3730765686906847      weak  
  285     0.3608679627752695      weak  
  302     0.6045793789735557      weak  
  316     0.4073067354648484      weak  
  335     0.4918455726527228      weak  
  362     0.3730765686906847      weak  
  369     0.6774624527780337      weak  
  403     0.609002119229706      weak  
  416     0.47986731779231545      weak  
  418     0.45623329954851194      weak  
  452     0.6245277803372339      weak  
  464     0.42490555606744684      weak  
  469     0.7444946097853128      strong  
  498     0.3793881875978991      weak  
  500     0.4248594858564451      weak  
  524     0.5656500506772322      weak  
  526     0.3600847691882429      weak  
  574     0.43812770662489636      weak  
  575     0.4282686814705612      weak  
  590     0.36096010319727273      weak  
  605     0.5485580023956511      weak  
  618     0.5191652077766515      weak  
  622     0.5969317239472955      weak  
  629     0.3651064221874137      weak  
  638     0.601262323781443      weak  
  653     0.6605086151294574      weak  
  664     0.4083663503178845      weak  
  675     0.7149175343223072      strong  
  689     0.4147701096471022      weak  
  700     0.7029853496729015      strong  
  710     0.43798949599189163      weak  
  712     0.35082465677692803      weak  
  721     0.43117110476365983      weak  
  723     0.3702662858195891      weak  
  746     0.3792039067538929      weak  
  763     0.5661568229982494      weak  
  771     0.6441997604349029      weak  
  772     0.5599373445130378      weak  
  779     0.4140329862710772      weak  
  794     0.3567216437851285      weak  
  816     0.6210264443011149      weak  
  830     0.376117202616788      weak  
  840     0.6219939187321478      weak  
  849     0.4429190085690592      weak  
  876     0.7861881507417304      strong  
  886     0.9359624067078227      strong  
  894     0.41398691606007554      weak  
  909     0.4397862342209528      weak  
  921     0.49677508522989033      weak  
  932     0.7309038975398507      strong  
  945     0.39325532110937067      weak  
  948     0.43702202156085873      weak  
  959     0.4140329862710772      weak  
  980     0.5006910531650235      weak  
  994     0.468441905463927      weak  
  1002     0.4950244172118309      weak  
  1007     0.4355017045978071      weak  
  1009     0.3924260573113425      weak  
  1013     0.3934396019533769      weak  
  1014     0.4075831567308577      weak  
  1019     0.6480235879480328      weak  
  1026     0.3810467151939556      weak  
  1040     0.6928959734635586      weak  
  1066     0.6740071869529163      weak  
  1071     0.7034921219939188      strong  
  1084     0.38639085967013725      weak  
  1087     0.596148530360269      weak  
  1107     0.5159863632175435      weak  
  1124     0.4073067354648484      weak  
  1140     0.7164839214963605      strong  
  1162     0.46116281212567956      weak  
  1172     0.47986731779231545      weak  
  1187     0.4267022942965078      weak  
  1190     0.4079056482078688      weak  
  1216     0.44678890629319096      weak  
  1223     0.4947479959458214      weak  
  1233     0.6976872754077214      weak  
  1238     0.42688657514051415      weak  
  1239     0.35096286740993277      weak  
  1251     0.49953929788998425      weak  
  1253     0.3924260573113425      weak  
  1278     0.5179673822906108      weak  
  1288     0.5517829171657607      weak  
  1332     0.42854510273657054      weak  
  1339     0.47986731779231545      weak  
  1376     0.4441168340551      weak  
  1388     0.3649682115544089      weak  
  1395     0.5133603611904543      weak  
  1418     0.4041739611167419      weak  
  1422     0.4073067354648484      weak  
  1424     0.489910623790657      weak  
  1425     0.3504560950889155      weak  
  1440     0.5661568229982494      weak  
  1495     0.4222334838293559      weak  
  1497     0.43434994932276794      weak  
  1502     0.41919284990325256      weak  
  1530     0.5212844374827237      weak  
  1531     0.7069013176080347      strong  
  1538     0.6248963420252465      weak  
  1551     0.3994287293835806      weak  
  1572     0.4997696489449922      weak  
  1590     0.7103105132221507      strong  
  1615     0.707500230351055      strong  
  1617     0.46867225651893485      weak  
  1623     0.5815442734727725      weak  
  1626     0.5441813323505021      weak  
  1632     0.701879664608864      strong  
  1660     0.4113609140329862      weak  
  1676     0.5725605823274671      weak  
  1682     0.4941490832028011      weak  
  1692     0.7029853496729015      strong  
  1697     0.4020086611996683      weak  
  1710     0.5751405141435548      weak  
  1715     0.6097392426057312      weak  
  1735     0.45291624435639916      weak  
  1737     0.43434994932276794      weak  
  1742     0.4981571915599373      weak  
  1747     0.5099050953653367      weak  
  1751     0.4004883442366165      weak  
  1760     0.5801621671427256      weak  
  1761     0.3671335114714825      weak  
  1766     0.61559015940293      weak  
  1782     0.8276513406431402      strong  
  1797     0.5943978623422095      weak  
  1804     0.38722012346816537      weak  
  1831     0.38164562793697593      weak  
  1860     0.6740071869529163      weak  
  1906     0.3975859209435179      weak  
  1963     0.37966460886390857      weak  
  1971     0.3718326729936423      weak  
  1972     0.5154795908965263      weak  
  2014     0.4591357228416106      weak  
  2036     0.5706717036764027      weak  
  2041     0.5782272182806598      weak  
  2062     0.4418593937160232      weak  
  2080     0.8934856721643786      strong  
  2158     0.35022574403390766      weak  
  2165     0.5452870174145398      weak  
  2229     0.4596424951626279      weak  
  2232     0.5607205381000646      weak  
  2261     0.5751405141435548      weak  
  2275     0.6032433428545103      weak  
  2286     0.35285174606099695      weak  
  2292     0.38118492582696023      weak  
  2293     0.41601400534414446      weak  
  2318     0.6219939187321478      weak  
  2321     0.528148898921957      weak  
  2331     0.4596424951626279      weak  
  2342     0.7119690408182069      strong  
  2349     0.8299087809822169      strong  
  2359     0.5191652077766515      weak  
  2382     0.46821155440891904      weak  
  2386     0.3786971344328757      weak  
  2397     0.3777296600018428      weak  
  2408     0.9882520961946006      strong  
  2417     0.7559660923247028      strong  
  2436     0.4582143186215793      weak  
  2445     0.4241684326914217      weak  
  2455     0.7136275684142633      strong  
  2483     0.4950244172118309      weak  
  2504     0.391735004146319      weak  
  2517     0.6788906293190823      weak  
  2535     0.6015387450474523      weak  
  2539     0.35423385239104394      weak  
