# searching chr1
# for transcription factor DAL82
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  415     0.4349054553357966      weak  
  637     0.41679345069912344      weak  
  848     0.5334347605592988      weak  
  883     0.4834456277620807      weak  
  915     0.47105701659059634      weak  
  960     0.5876983264507716      weak  
  979     0.46381221473592715      weak  
  1070     0.3936100847641817      weak  
  1171     0.5774107078171413      weak  
  1214     0.36738390205027893      weak  
  1352     0.5797290444106353      weak  
  1513     0.8359776860102877      strong  
  1790     0.4375860320220243      weak  
  1807     0.40592624791711945      weak  
  2556     0.4898935014127364      weak  
  2677     0.723393465188727      strong  
  2714     0.8382235745852352      strong  
  2971     0.7470839672534958      strong  
  2995     0.36564514960515826      weak  
  3211     0.35716873143519523      weak  
  3441     0.47909874664927915      weak  
  3603     0.4285300297036877      weak  
  3677     0.4291820618706079      weak  
  3688     0.35130044193291315      weak  
  3690     0.394262116931102      weak  
  3850     0.3614431645294502      weak  
  3877     0.504383105122075      weak  
  3976     0.4904730855611099      weak  
  4302     0.35122799391436654      weak  
  4516     0.3781786568137362      weak  
  4665     0.5122799391436644      weak  
  4687     0.5157574440339057      weak  
  4781     0.5774107078171413      weak  
  4797     0.8098963993334783      strong  
  4824     0.4975729913786857      weak  
  4876     0.37752662464681597      weak  
  4926     0.5227124538143884      weak  
  4951     0.4538143881764835      weak  
  4966     0.4677244077374485      weak  
  5358     0.504383105122075      weak  
  5444     0.3752082880533218      weak  
  5524     0.4169383467362168      weak  
  5672     0.41679345069912344      weak  
  6054     0.429399405926248      weak  
  6116     0.3857132507425922      weak  
  6127     0.56451496051583      weak  
  6164     0.5774107078171413      weak  
  6205     0.6508729986234877      weak  
  6287     0.3759327682387887      weak  
  6429     0.4504093313047889      weak  
  6484     0.5633557922190828      weak  
  6636     0.4477287546185613      weak  
  6724     0.597768601028762      weak  
  6776     0.49547199884083176      weak  
  6890     0.39245091646743463      weak  
  7065     0.3887560675215533      weak  
  7090     0.6163877417952619      weak  
  7092     0.7812069839889879      strong  
  7183     0.4728682170542635      weak  
  7185     0.566615953053684      weak  
  7194     0.7057885966818808      strong  
  7212     0.35506773889734117      weak  
  7401     0.43063102224154176      weak  
  7428     0.38636528290951255      weak  
  7594     0.39245091646743463      weak  
  8108     0.40657828008403973      weak  
  8154     0.49779033543432594      weak  
  9332     0.5895095269144389      weak  
  9799     0.35586466710135484      weak  
  9964     0.5381438817648339      weak  
  10178     0.5519090052887055      weak  
  10414     0.4709121205535029      weak  
  10422     0.42237194812721884      weak  
