# searching chr1
# for transcription factor RLM1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  317     0.5847957583451573      weak  
  700     0.5136285564931671      weak  
  1170     0.47539392129041896      weak  
  1288     0.4759166604435815      weak  
  1495     0.4062429990291988      weak  
  1500     0.37696960645209476      weak  
  1501     0.8100963333582256      strong  
  1682     0.3781644388021807      weak  
  1692     0.5136285564931671      weak  
  1710     0.6856844149055336      weak  
  1772     0.35322231349413785      weak  
  2157     0.39287581211261297      weak  
  2261     0.81099245762079      strong  
  2292     0.7522216414009408      strong  
  2423     0.5513404525427527      weak  
  2483     0.5997311627212308      weak  
  2754     0.6644014636696289      weak  
  2812     0.5306549174818906      weak  
  2850     0.40855798670749016      weak  
  2864     0.4202822791427078      weak  
  2966     0.484355163916063      weak  
  3106     0.41736987528937347      weak  
  3131     0.4199835710551863      weak  
  3401     0.39735643342543503      weak  
  3479     0.39735643342543503      weak  
  3566     0.5511164214771114      weak  
  3568     0.35075797177208573      weak  
  3635     0.6639534015383467      weak  
  3867     0.35090732581584644      weak  
  3879     0.4948846240011948      weak  
  4029     0.5545515644836083      weak  
  4148     0.5328205511164216      weak  
  4151     0.41057426629826005      weak  
  4347     0.6056306474497799      weak  
  4464     0.36868045702337393      weak  
  4837     0.7713389590023151      strong  
  5109     0.5104921215741917      weak  
  5456     0.5543275334179674      weak  
  5548     0.5992831005899486      weak  
  5562     0.35090732581584644      weak  
  5674     0.47741020088118896      weak  
  5730     0.3781644388021807      weak  
  6219     0.4923456052572624      weak  
  6245     0.43574042267194385      weak  
  6318     0.3883951907997909      weak  
  6380     0.49578074826375923      weak  
  6796     0.7738033007243672      strong  
  6846     0.3995220670599656      weak  
  6878     0.47449779702785466      weak  
  6953     0.7713389590023151      strong  
  7069     0.49652751848256294      weak  
  7135     0.44649391382271675      weak  
  7294     0.48898513927264586      weak  
  7296     0.6169815547755957      weak  
  7350     0.527443805541035      weak  
  7669     0.3632290344261071      weak  
  7807     0.39735643342543503      weak  
  8134     0.42192517362407583      weak  
  8268     0.3836905384213277      weak  
  8408     0.3872750354715854      weak  
  8542     0.3851840788589352      weak  
  8635     0.37308640131431564      weak  
  8674     0.642670450302442      weak  
  8974     0.43775670226271374      weak  
  9023     0.6856844149055336      weak  
  9027     0.37413187962064076      weak  
  9055     0.41617504293928764      weak  
  9125     0.46561123142409083      weak  
  9195     0.7342991561496527      strong  
  9248     0.8654320065715779      strong  
  9472     0.3948174146815025      weak  
  9693     0.47061459189007543      weak  
  9882     0.6448360839369727      weak  
  9901     0.4062429990291988      weak  
  9933     0.3781644388021807      weak  
  10018     0.35090732581584644      weak  
  10391     0.3937719363751774      weak  
  10427     0.35785228885072073      weak  
  10655     0.3987006198192816      weak  
  10687     0.47330296467776867      weak  
  11024     0.6051825853184977      weak  
  11025     0.3924277499813308      weak  
  11065     0.3680083638264507      weak  
  11169     0.5921141064894333      weak  
  11181     0.6484205809872302      weak  
  11216     0.360764692704055      weak  
  11261     0.633709207676798      weak  
  11340     0.5206481965499217      weak  
  11442     0.3585990590695244      weak  
  11539     0.3781644388021807      weak  
  11972     0.37816443880218054      weak  
  12470     0.6367709655738929      weak  
  12844     0.4969009035919648      weak  
  13353     0.41400940930475694      weak  
  13611     0.5547009185273691      weak  
  13714     0.4337988201030543      weak  
  13757     0.4503024419386155      weak  
  13814     0.3995220670599656      weak  
  13874     0.3585990590695244      weak  
  14247     0.37846314688970206      weak  
  14291     0.4323799566873273      weak  
  14665     0.6764244641923679      weak  
  14723     0.6210887909790157      weak  
  14879     0.5235606004032559      weak  
  15062     0.47404973489657243      weak  
  15153     0.6639534015383467      weak  
  15155     0.3745052647300426      weak  
  15259     0.45702337390784864      weak  
  15444     0.48442984093794345      weak  
  15663     0.3793592711522665      weak  
  15794     0.5195280412217161      weak  
  15811     0.47539392129041896      weak  
  16026     0.7713389590023151      strong  
  16065     0.5444701665297588      weak  
  16212     0.4642670450302443      weak  
  16540     0.48584870435367045      weak  
  16768     0.4634455977895602      weak  
  16883     0.39780449555671726      weak  
  17057     0.4194608319020237      weak  
  17151     0.5545515644836083      weak  
  17155     0.6610409976850125      weak  
  17157     0.6169815547755957      weak  
  17190     0.6435665745650064      weak  
  17501     0.37047270554850276      weak  
  17658     0.45022776491673516      weak  
  17904     0.45702337390784864      weak  
  18286     0.37047270554850276      weak  
  18427     0.6210887909790157      weak  
  18549     0.36808304084833104      weak  
  18570     0.360764692704055      weak  
  18687     0.5328205511164216      weak  
  18690     0.41057426629826005      weak  
  19049     0.7738033007243672      strong  
  19084     0.5263236502128296      weak  
  19152     0.4202076021208274      weak  
  19229     0.5127324322306027      weak  
  19930     0.8066611903517289      strong  
  20231     0.35210215816593243      weak  
  20296     0.6789634829363005      weak  
  20543     0.42192517362407583      weak  
  20609     0.46867298932118573      weak  
  20701     0.42326936001792254      weak  
  21273     0.39242774998133073      weak  
  21403     0.38899260697483384      weak  
  21616     0.47494585915913673      weak  
  21815     0.5332686132477038      weak  
  22419     0.7036069001568217      strong  
  22815     0.4957807482637592      weak  
  22817     0.41490553356732135      weak  
  23053     0.5405122843700993      weak  
  23299     0.4923456052572624      weak  
  23325     0.5332686132477038      weak  
  23356     0.4820401762377716      weak  
  23443     0.4171458442237323      weak  
  23899     0.39608692405346874      weak  
  23948     0.5868867149578075      weak  
  24404     0.37816443880218054      weak  
  24602     0.5204241654842805      weak  
  24923     0.6367709655738929      weak  
  25009     0.4969009035919648      weak  
  25328     0.36569337614815917      weak  
  25418     0.3873497124934658      weak  
  27359     0.36808304084833104      weak  
  27395     0.5293854081099246      weak  
  27767     0.44686729893211863      weak  
  27808     0.5513404525427527      weak  
  27966     0.5894257337017401      weak  
  27968     0.4231200059741617      weak  
  27997     0.3982525576879994      weak  
  28053     0.561347173474722      weak  
  28566     0.5332686132477038      weak  
  28611     0.4503024419386155      weak  
  28983     0.42326936001792254      weak  
  29266     0.3736091404674782      weak  
  29289     0.5780001493540439      weak  
  29496     0.37405720259876035      weak  
  29535     0.6367709655738929      weak  
  29546     0.5444701665297588      weak  
  29941     0.4435068329475021      weak  
  30063     0.5894257337017401      weak  
  30605     0.3641251586886715      weak  
  30782     0.5195280412217161      weak  
  30842     0.5597042789933537      weak  
  31001     0.4820401762377716      weak  
  31011     0.3653946680606377      weak  
  31124     0.3799566873273094      weak  
