# searching chr1
# for transcription factor ACE2
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  8     0.6897419250121734      weak  
  16     0.6897419250121734      weak  
  46     0.6897419250121734      weak  
  93     0.3841908781042038      weak  
  99     0.5938159389709462      weak  
  103     0.6024995942217173      weak  
  130     0.44724882324298      weak  
  140     0.4408375263755884      weak  
  162     0.3505112806362604      weak  
  177     0.6179191689660769      weak  
  180     0.46591462424931      weak  
  205     0.4069144619379971      weak  
  209     0.6897419250121734      weak  
  237     0.458123681220581      weak  
  241     0.827381918519721      strong  
  274     0.43434507385164745      weak  
  284     0.4388897906184061      weak  
  346     0.36049342639181947      weak  
  378     0.4802791754585294      weak  
  397     0.48961207596169454      weak  
  493     0.4788183736406427      weak  
  509     0.5822106800844019      weak  
  524     0.4069144619379971      weak  
  587     0.47086511929881514      weak  
  733     0.38621976951793546      weak  
  745     0.36252231780555105      weak  
  828     0.3832170102256127      weak  
  980     0.40585943840285676      weak  
  1245     0.48961207596169454      weak  
  1271     0.3832170102256127      weak  
  1275     0.5029216036357734      weak  
  1322     0.5843207271546828      weak  
  1323     0.4293134231455933      weak  
  1395     0.7171725369258238      strong  
  1410     0.35611102093815933      weak  
  1451     0.5370881350430124      weak  
  1484     0.5786398311962343      weak  
  1522     0.6023372829086187      weak  
  1581     0.35416328518097706      weak  
  1778     0.8613049829573121      strong  
  1864     0.48579776010387926      weak  
  1886     0.36430774224963475      weak  
  2057     0.436698587891576      weak  
  2058     0.37104366174322356      weak  
  2067     0.4229832819347507      weak  
  2094     0.3602499594221717      weak  
  2114     0.43994481415354647      weak  
  2138     0.8386625547800681      strong  
  2252     0.5786398311962343      weak  
  2314     0.6999675377373801      weak  
  2513     0.4885570524265541      weak  
  2578     0.49756533030352224      weak  
  2605     0.4079694854731374      weak  
  2616     0.4056159714332089      weak  
  3308     0.5506411296867393      weak  
  3318     0.3684466807336473      weak  
  3382     0.544716766758643      weak  
  3759     0.827381918519721      strong  
  3778     0.4920467456581723      weak  
  3799     0.3505112806362604      weak  
  3811     0.4392955689011524      weak  
  3893     0.3846778120434993      weak  
  3911     0.5606232754422984      weak  
  3926     0.42988151274143815      weak  
  3984     0.3718552183087161      weak  
  4106     0.37071903911702647      weak  
  4135     0.44043174809284213      weak  
  4322     0.4297192014283395      weak  
  4323     0.3990423632527187      weak  
  4334     0.3797273169939944      weak  
  4337     0.40602174971595517      weak  
  4341     0.40585943840285676      weak  
  4553     0.6115078720986853      weak  
  4699     0.7232592111670183      strong  
  4806     0.7469566628794027      strong  
  4849     0.35887031326083435      weak  
  4933     0.4106476221392631      weak  
  4946     0.6430774224963479      weak  
  5018     0.4885570524265541      weak  
  5136     0.5233728290861872      weak  
  5246     0.4095925986041227      weak  
  5322     0.5822106800844019      weak  
  5471     0.45292971920142827      weak  
  5527     0.4741113455607856      weak  
  5649     0.5482876156468106      weak  
  5812     0.5119298815127414      weak  
  5814     0.4297192014283395      weak  
  5848     0.3509170589190067      weak  
  5951     0.8376075312449277      strong  
  6050     0.4681058269761403      weak  
  6176     0.46591462424931      weak  
  6231     0.39952929719201424      weak  
  6346     0.4648596007141698      weak  
  6432     0.7569388086349618      strong  
  6487     0.6149164096737542      weak  
  6547     0.5832657036195422      weak  
  6574     0.4881512741438078      weak  
  6645     0.49756533030352224      weak  
  6733     0.5506411296867393      weak  
  6806     0.4406752150624898      weak  
  6867     0.45041389384840125      weak  
  6898     0.6649894497646486      weak  
  7419     0.5029216036357734      weak  
  7457     0.5506411296867393      weak  
  7583     0.49415679272845314      weak  
  7584     0.38005193962019146      weak  
  7588     0.5506411296867393      weak  
  7614     0.4648596007141698      weak  
  7676     0.4881512741438078      weak  
  7698     0.8036844668073366      strong  
  7748     0.3505112806362604      weak  
  7759     0.7569388086349618      strong  
  7821     0.3505112806362604      weak  
  7994     0.5858626846291185      weak  
  8011     0.44457068657685445      weak  
  8047     0.3604934263918194      weak  
  8074     0.6175133906833306      weak  
  8131     0.4648596007141698      weak  
  8172     0.4818211329329654      weak  
  8176     0.8386625547800681      strong  
  8203     0.36447005356273326      weak  
  8257     0.5506411296867393      weak  
  8356     0.6660444732997889      weak  
  8373     0.6739977276416166      weak  
  8486     0.41300113617919154      weak  
