# searching chr1
# for transcription factor RDS1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  1450     1.0      strong  
  15518     1.0      strong  
  15730     1.0      strong  
  20630     1.0      strong  
  21546     1.0      strong  
  21741     1.0      strong  
  24050     1.0      strong  
  34506     1.0      strong  
  37444     1.0      strong  
  38920     1.0      strong  
  41174     1.0      strong  
  43216     1.0      strong  
  46443     1.0      strong  
  51436     1.0      strong  
  52406     1.0      strong  
  60312     1.0      strong  
  63234     1.0      strong  
  67251     1.0      strong  
  68206     1.0      strong  
  70325     1.0      strong  
  95945     1.0      strong  
  106432     1.0      strong  
  108972     1.0      strong  
  109170     1.0      strong  
  109523     1.0      strong  
  110158     1.0      strong  
  110361     1.0      strong  
  111171     1.0      strong  
  112606     1.0      strong  
  114017     1.0      strong  
  114072     1.0      strong  
  114296     1.0      strong  
  118731     1.0      strong  
  121542     1.0      strong  
  127544     1.0      strong  
  131310     1.0      strong  
  148101     1.0      strong  
  148555     1.0      strong  
  157365     1.0      strong  
  165615     1.0      strong  
  174350     1.0      strong  
  175117     1.0      strong  
  182299     1.0      strong  
  182584     1.0      strong  
  188880     1.0      strong  
  190015     1.0      strong  
  191235     1.0      strong  
  191658     1.0      strong  
  191814     1.0      strong  
  193124     1.0      strong  
  195447     1.0      strong  
  197774     1.0      strong  
  207510     1.0      strong  
  209400     1.0      strong  
  213840     1.0      strong  
  226316     1.0      strong  
# 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# The number of weak sites for the forwards direction is 0
# The number of strong sites for the forwards direction is 56


# The following is the outputs of the program in the reverse compliment direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  655     1.0      strong  
  1068     1.0      strong  
  1142     1.0      strong  
  1684     1.0      strong  
  1757     1.0      strong  
  1862     1.0      strong  
  2156     1.0      strong  
  2943     1.0      strong  
  4205     1.0      strong  
  4481     1.0      strong  
  4503     1.0      strong  
  4650     1.0      strong  
  4663     1.0      strong  
  5143     1.0      strong  
  5657     1.0      strong  
  5732     1.0      strong  
  6125     1.0      strong  
  6399     1.0      strong  
  6598     1.0      strong  
  6668     1.0      strong  
  7929     1.0      strong  
  7981     1.0      strong  
  8407     1.0      strong  
  8616     1.0      strong  
  8620     1.0      strong  
  9935     1.0      strong  
