# searching chr1
# for transcription factor MOT3
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  900     1.0      strong  
  1130     1.0      strong  
  1513     1.0      strong  
  1671     1.0      strong  
  1984     1.0      strong  
  2238     1.0      strong  
  2414     1.0      strong  
  2499     0.416717436334836      weak  
  2962     1.0      strong  
  3588     1.0      strong  
  3704     1.0      strong  
  3786     1.0      strong  
  3814     1.0      strong  
  3857     1.0      strong  
  3885     0.416717436334836      weak  
  3900     1.0      strong  
  4012     1.0      strong  
  4069     0.416717436334836      weak  
  4233     1.0      strong  
  4468     1.0      strong  
  4476     1.0      strong  
  4625     1.0      strong  
  4843     1.0      strong  
  5188     0.416717436334836      weak  
  5577     0.416717436334836      weak  
  5797     1.0      strong  
  6326     1.0      strong  
  6445     1.0      strong  
  6475     0.416717436334836      weak  
  6697     1.0      strong  
  6707     1.0      strong  
  6768     1.0      strong  
  6776     1.0      strong  
  6883     1.0      strong  
  7104     1.0      strong  
  7257     1.0      strong  
  7829     1.0      strong  
  8072     1.0      strong  
  8387     0.416717436334836      weak  
  8423     1.0      strong  
  8595     1.0      strong  
  8643     0.416717436334836      weak  
  8927     1.0      strong  
  9106     1.0      strong  
  9203     0.416717436334836      weak  
  9383     1.0      strong  
  9398     1.0      strong  
  9411     1.0      strong  
  9745     1.0      strong  
  10276     1.0      strong  
  10294     1.0      strong  
  11070     0.416717436334836      weak  
  11175     1.0      strong  
  11419     1.0      strong  
  11450     1.0      strong  
  11647     1.0      strong  
  11665     0.416717436334836      weak  
  11708     0.416717436334836      weak  
  11857     0.416717436334836      weak  
  12050     1.0      strong  
  12485     1.0      strong  
  12533     1.0      strong  
  12581     1.0      strong  
  12629     1.0      strong  
  12677     1.0      strong  
  12725     1.0      strong  
  12773     1.0      strong  
  12821     1.0      strong  
  12928     0.416717436334836      weak  
  12988     0.416717436334836      weak  
  13228     0.416717436334836      weak  
  13387     1.0      strong  
  13446     1.0      strong  
  13617     0.416717436334836      weak  
  13799     1.0      strong  
  13963     0.416717436334836      weak  
  14108     1.0      strong  
  14112     1.0      strong  
  14143     0.416717436334836      weak  
  14166     1.0      strong  
  14472     1.0      strong  
  14496     1.0      strong  
  14935     1.0      strong  
  15082     1.0      strong  
  15566     1.0      strong  
  15754     1.0      strong  
  15901     0.416717436334836      weak  
  15954     1.0      strong  
  16247     1.0      strong  
  16809     1.0      strong  
  17362     1.0      strong  
  17654     1.0      strong  
  17733     1.0      strong  
  18506     1.0      strong  
  18598     1.0      strong  
  19400     1.0      strong  
  20159     1.0      strong  
  20267     1.0      strong  
  20291     0.416717436334836      weak  
  20314     1.0      strong  
  20419     1.0      strong  
  20762     1.0      strong  
  21073     1.0      strong  
  21432     1.0      strong  
  21645     1.0      strong  
  21849     1.0      strong  
  21863     1.0      strong  
  21896     1.0      strong  
  22770     0.416717436334836      weak  
  22878     1.0      strong  
  22936     0.416717436334836      weak  
  23136     1.0      strong  
  24140     0.416717436334836      weak  
  24289     0.416717436334836      weak  
  24482     1.0      strong  
  24938     1.0      strong  
  24986     1.0      strong  
  25051     0.416717436334836      weak  
  25093     0.416717436334836      weak  
  25153     0.416717436334836      weak  
  25483     0.416717436334836      weak  
  25618     0.416717436334836      weak  
  25753     0.416717436334836      weak  
  25888     0.416717436334836      weak  
  26023     0.416717436334836      weak  
  26158     0.416717436334836      weak  
  26293     0.416717436334836      weak  
  26428     0.416717436334836      weak  
  26563     0.416717436334836      weak  
  26698     0.416717436334836      weak  
  26833     0.416717436334836      weak  
  26968     0.416717436334836      weak  
  27286     1.0      strong  
  27425     0.416717436334836      weak  
  27772     0.416717436334836      weak  
  27879     1.0      strong  
  28099     1.0      strong  
  28447     1.0      strong  
  28740     1.0      strong  
  28800     1.0      strong  
  28804     1.0      strong  
  29109     0.416717436334836      weak  
  29185     1.0      strong  
  29253     1.0      strong  
  29300     1.0      strong  
  29593     1.0      strong  
  29605     0.416717436334836      weak  
  29810     0.416717436334836      weak  
  30021     1.0      strong  
  30341     1.0      strong  
  30430     1.0      strong  
  30578     1.0      strong  
  30673     1.0      strong  
  30747     1.0      strong  
  30771     1.0      strong  
  30828     0.416717436334836      weak  
  31103     1.0      strong  
  31112     0.416717436334836      weak  
  31467     1.0      strong  
  31479     1.0      strong  
  31550     1.0      strong  
  31591     1.0      strong  
  31922     1.0      strong  
  31980     1.0      strong  
  32087     1.0      strong  
  32133     1.0      strong  
  32140     0.416717436334836      weak  
  32521     0.416717436334836      weak  
  32542     1.0      strong  
  32579     1.0      strong  
  32605     0.416717436334836      weak  
  32680     1.0      strong  
  32815     1.0      strong  
  33124     1.0      strong  
  33275     1.0      strong  
  33473     1.0      strong  
  33652     1.0      strong  
  33688     0.416717436334836      weak  
  33727     1.0      strong  
  33746     1.0      strong  
  34013     1.0      strong  
  34082     1.0      strong  
  34117     1.0      strong  
  34203     0.416717436334836      weak  
  34301     0.416717436334836      weak  
  34420     0.416717436334836      weak  
  34445     1.0      strong  
  34678     0.416717436334836      weak  
  34976     1.0      strong  
  35211     1.0      strong  
  35236     0.416717436334836      weak  
  35395     1.0      strong  
  35416     1.0      strong  
  35422     1.0      strong  
  35570     1.0      strong  
  35720     1.0      strong  
  35747     1.0      strong  
  35860     0.416717436334836      weak  
  35989     1.0      strong  
  36530     1.0      strong  
  36641     0.416717436334836      weak  
  36722     0.416717436334836      weak  
  36791     1.0      strong  
  36851     1.0      strong  
  36932     1.0      strong  
  37004     1.0      strong  
  37023     1.0      strong  
  37163     1.0      strong  
  37516     1.0      strong  
  37575     1.0      strong  
  37639     1.0      strong  
  37726     1.0      strong  
  37983     1.0      strong  
  38166     1.0      strong  
  38268     0.416717436334836      weak  
  38518     1.0      strong  
  38524     1.0      strong  
  38718     0.416717436334836      weak  
  38770     0.416717436334836      weak  
  39227     1.0      strong  
  39254     1.0      strong  
  39350     1.0      strong  
  39713     1.0      strong  
  40578     0.416717436334836      weak  
  40685     1.0      strong  
  40862     1.0      strong  
  41321     1.0      strong  
  41431     1.0      strong  
  41480     1.0      strong  
  41531     1.0      strong  
  41602     1.0      strong  
  41695     1.0      strong  
  41903     1.0      strong  
  42055     1.0      strong  
  42276     1.0      strong  
  42345     1.0      strong  
  42568     1.0      strong  
  42649     1.0      strong  
  42653     1.0      strong  
  42785     1.0      strong  
  43539     0.416717436334836      weak  
  43617     1.0      strong  
  44115     1.0      strong  
  44406     1.0      strong  
  44431     1.0      strong  
  44526     1.0      strong  
  44548     1.0      strong  
  44595     1.0      strong  
  44622     1.0      strong  
  45235     0.416717436334836      weak  
  45342     1.0      strong  
  45922     1.0      strong  
  46151     1.0      strong  
  46268     1.0      strong  
  46400     1.0      strong  
  46467     1.0      strong  
  46703     1.0      strong  
  46893     0.416717436334836      weak  
  47009     1.0      strong  
  47100     1.0      strong  
  47171     1.0      strong  
  47445     1.0      strong  
  47450     1.0      strong  
  48340     1.0      strong  
  48533     1.0      strong  
  48549     1.0      strong  
  48585     1.0      strong  
  48636     0.416717436334836      weak  
  48762     1.0      strong  
  48902     1.0      strong  
  48963     0.416717436334836      weak  
  48976     1.0      strong  
  49516     1.0      strong  
  49710     1.0      strong  
  49749     1.0      strong  
  49805     1.0      strong  
  50203     1.0      strong  
  50872     1.0      strong  
  51004     1.0      strong  
  51212     1.0      strong  
  51616     0.416717436334836      weak  
  51643     1.0      strong  
  51655     0.416717436334836      weak  
  51926     1.0      strong  
  51978     0.416717436334836      weak  
  52312     1.0      strong  
  52577     1.0      strong  
  52681     1.0      strong  
  52745     1.0      strong  
  53387     1.0      strong  
  53627     1.0      strong  
  53678     0.416717436334836      weak  
  53691     1.0      strong  
  54222     1.0      strong  
  54489     0.416717436334836      weak  
  54586     0.416717436334836      weak  
  54636     1.0      strong  
  54913     1.0      strong  
  55007     1.0      strong  
  55140     1.0      strong  
  55412     1.0      strong  
  55424     1.0      strong  
  55583     1.0      strong  
  55983     1.0      strong  
  56396     1.0      strong  
  56692     1.0      strong  
  57077     1.0      strong  
  57229     1.0      strong  
  57717     1.0      strong  
  57779     1.0      strong  
  58132     1.0      strong  
  58149     0.416717436334836      weak  
  58227     1.0      strong  
  58242     1.0      strong  
  58275     1.0      strong  
  58336     0.416717436334836      weak  
  58598     0.416717436334836      weak  
  58767     1.0      strong  
  58854     1.0      strong  
  58862     1.0      strong  
  59017     0.416717436334836      weak  
  59115     1.0      strong  
  59286     0.416717436334836      weak  
  59321     1.0      strong  
  59770     1.0      strong  
  59897     1.0      strong  
  59909     1.0      strong  
  60390     1.0      strong  
  60911     1.0      strong  
  61126     1.0      strong  
  61321     1.0      strong  
  61474     1.0      strong  
  61633     1.0      strong  
  61793     1.0      strong  
  61838     0.416717436334836      weak  
  61842     1.0      strong  
  61926     1.0      strong  
  61941     1.0      strong  
  62183     1.0      strong  
  62724     1.0      strong  
  63002     0.416717436334836      weak  
  63053     0.416717436334836      weak  
  63067     1.0      strong  
  63160     1.0      strong  
  63204     1.0      strong  
  63339     1.0      strong  
  64075     1.0      strong  
  64358     0.416717436334836      weak  
  64397     0.416717436334836      weak  
  64519     0.416717436334836      weak  
  64680     0.416717436334836      weak  
  64767     1.0      strong  
  64865     1.0      strong  
  65322     1.0      strong  
  65595     1.0      strong  
  65793     0.416717436334836      weak  
  66148     0.416717436334836      weak  
  66160     1.0      strong  
  66528     1.0      strong  
  66573     1.0      strong  
  66609     0.416717436334836      weak  
  66784     1.0      strong  
  66836     1.0      strong  
  67141     0.416717436334836      weak  
  67239     1.0      strong  
  67420     0.416717436334836      weak  
  67435     0.416717436334836      weak  
  67754     1.0      strong  
  67962     1.0      strong  
  68003     1.0      strong  
  68082     1.0      strong  
  68347     1.0      strong  
  68453     0.416717436334836      weak  
  68558     1.0      strong  
  68590     1.0      strong  
  68610     1.0      strong  
  68832     1.0      strong  
  68894     1.0      strong  
  68901     0.416717436334836      weak  
  68992     1.0      strong  
  69001     1.0      strong  
  69063     1.0      strong  
  69324     1.0      strong  
  69694     0.416717436334836      weak  
  69908     1.0      strong  
  70006     1.0      strong  
  70131     1.0      strong  
  70152     1.0      strong  
  70501     1.0      strong  
  70834     0.416717436334836      weak  
  71509     1.0      strong  
  71542     1.0      strong  
  71909     1.0      strong  
  72009     1.0      strong  
  72140     1.0      strong  
  72188     1.0      strong  
  72275     1.0      strong  
  72281     1.0      strong  
  72330     1.0      strong  
  72477     1.0      strong  
  72519     1.0      strong  
  72548     1.0      strong  
  72576     0.416717436334836      weak  
  72965     1.0      strong  
  72971     1.0      strong  
  73095     0.416717436334836      weak  
  73181     1.0      strong  
  73233     1.0      strong  
  73241     1.0      strong  
  73418     1.0      strong  
  73486     0.416717436334836      weak  
  73572     1.0      strong  
  73664     1.0      strong  
  74272     1.0      strong  
  74374     1.0      strong  
  74455     1.0      strong  
  74721     1.0      strong  
  74810     0.416717436334836      weak  
  75105     0.416717436334836      weak  
  75339     1.0      strong  
  75420     1.0      strong  
  75488     1.0      strong  
  75718     1.0      strong  
  75725     1.0      strong  
  75792     1.0      strong  
  76372     1.0      strong  
  76542     1.0      strong  
  76584     1.0      strong  
  76592     0.416717436334836      weak  
  76602     1.0      strong  
  76652     1.0      strong  
  76766     1.0      strong  
  76841     1.0      strong  
  76872     1.0      strong  
  77096     1.0      strong  
  77117     1.0      strong  
  77124     1.0      strong  
  77258     1.0      strong  
  77490     1.0      strong  
  77718     1.0      strong  
  77783     1.0      strong  
  77835     1.0      strong  
  77859     1.0      strong  
  77892     0.416717436334836      weak  
  77990     1.0      strong  
  78115     1.0      strong  
  78150     1.0      strong  
  78348     1.0      strong  
  78399     1.0      strong  
  78524     1.0      strong  
  78534     1.0      strong  
  78583     1.0      strong  
  78684     1.0      strong  
  78777     1.0      strong  
  78827     1.0      strong  
  79089     1.0      strong  
  79167     1.0      strong  
  79412     1.0      strong  
  79494     1.0      strong  
  79626     1.0      strong  
  79637     0.416717436334836      weak  
  80354     0.416717436334836      weak  
  80360     0.416717436334836      weak  
  80469     1.0      strong  
  80801     1.0      strong  
  80901     1.0      strong  
  80971     1.0      strong  
  81333     1.0      strong  
  81354     1.0      strong  
  81413     1.0      strong  
  81500     1.0      strong  
  81546     1.0      strong  
  81582     1.0      strong  
  81608     0.416717436334836      weak  
  81663     1.0      strong  
  82108     0.416717436334836      weak  
  82271     1.0      strong  
  83057     1.0      strong  
  83336     1.0      strong  
  83531     0.416717436334836      weak  
  83930     1.0      strong  
  83976     1.0      strong  
  84039     1.0      strong  
  84450     0.416717436334836      weak  
  84483     0.416717436334836      weak  
  84608     1.0      strong  
  84738     1.0      strong  
  84888     1.0      strong  
  84961     1.0      strong  
  85176     0.416717436334836      weak  
  85207     1.0      strong  
  85351     1.0      strong  
  85392     0.416717436334836      weak  
  85435     1.0      strong  
  85525     1.0      strong  
  85557     0.416717436334836      weak  
  85599     0.416717436334836      weak  
  85653     0.416717436334836      weak  
  85782     1.0      strong  
  85906     1.0      strong  
  85913     1.0      strong  
  86251     1.0      strong  
  87556     0.416717436334836      weak  
  87613     1.0      strong  
  88079     1.0      strong  
  88123     1.0      strong  
  88323     1.0      strong  
  88938     1.0      strong  
  89150     1.0      strong  
  89230     1.0      strong  
  89686     1.0      strong  
