# searching chr1
# for transcription factor UME6
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  66     0.4657097746519305      weak  
  119     0.5015645184440936      weak  
  133     0.5651499928233098      weak  
  138     0.4828190038754126      weak  
  168     0.6639586622649634      weak  
  197     0.38524472513276875      weak  
  203     0.49013922778814406      weak  
  219     0.5015645184440936      weak  
  243     0.4292521888904836      weak  
  286     0.48505813118989516      weak  
  321     0.4282187455145686      weak  
  391     0.5698579015358116      weak  
  465     0.5311324816994402      weak  
  473     0.6508109659824889      weak  
  483     0.6589062724271565      weak  
  506     0.486723123295536      weak  
  522     0.4621788431175542      weak  
  548     0.5551887469499067      weak  
  583     0.47943160614324676      weak  
  620     0.35866226496339887      weak  
  645     0.5120424860054542      weak  
  693     0.5928233098894788      weak  
  730     0.5404908856035596      weak  
  742     0.40378929237835504      weak  
  762     0.3584039041194201      weak  
  812     0.3750825319362709      weak  
  939     0.5136500645902109      weak  
  978     0.5430744940433472      weak  
  1017     0.4610592794603129      weak  
  1082     0.3563944308884742      weak  
  1085     0.37663269700014346      weak  
  1099     0.3642600832496052      weak  
  1120     0.45138510119133063      weak  
  1245     0.3553322807521171      weak  
  1311     0.48663700301420976      weak  
  1393     0.6154155303573992      weak  
  1433     0.35355246160470777      weak  
  1439     0.35946605425577716      weak  
  1454     0.4638725419836371      weak  
  1459     0.494875843261088      weak  
  1489     0.5753983063011339      weak  
  1519     0.37973302712788864      weak  
  1561     0.37166642744366296      weak  
  1698     0.39193340031577434      weak  
  1861     0.38768479977034587      weak  
  1871     0.36302569255059564      weak  
  1894     0.36029855030859764      weak  
  1940     0.3521171235826036      weak  
  1969     0.384326108798622      weak  
  1975     0.6232237691976461      weak  
  2053     0.5139084254341898      weak  
  2060     0.4458734031864504      weak  
  2074     0.6895076790584181      weak  
  2087     0.38659394287354676      weak  
  2097     0.37904406487727843      weak  
  2228     0.39348356537964685      weak  
  2269     0.4054542844839959      weak  
  2306     0.539916750394718      weak  
  2330     0.3924214152432898      weak  
  2355     0.37648916319793313      weak  
  2376     0.3599253624228505      weak  
  2467     0.40953064446677195      weak  
  2609     0.35128462752978323      weak  
  2613     0.45491603272570685      weak  
  2696     0.365523180709057      weak  
  2721     0.5826898234534232      weak  
  2760     0.445385388258935      weak  
  2768     0.37120711927658967      weak  
  2897     0.3742500358834505      weak  
  2914     0.4207549877996268      weak  
  2951     0.3730156451844409      weak  
  3015     0.5032869240706186      weak  
  3075     0.36311181283192184      weak  
  3083     0.7642313764891633      strong  
  3155     0.3656380077508253      weak  
  3294     0.4730012918042199      weak  
  3349     0.6266685804506961      weak  
  3376     0.4779675613607005      weak  
  3409     0.397990526769054      weak  
  3419     0.4001148270417683      weak  
  3440     0.4341897516865222      weak  
  3458     0.39104349074206973      weak  
  3512     0.3642026697287211      weak  
  3524     0.41059279460312903      weak  
  3542     0.412315200229654      weak  
  3559     0.5367015932252046      weak  
  3716     0.35823166355676755      weak  
  3821     0.4282187455145686      weak  
  3840     0.662150136357112      weak  
  3849     0.4339600976029855      weak  
  3877     0.42953925649490454      weak  
  4123     0.5375340892780249      weak  
  4140     0.3664705038036457      weak  
  4169     0.3554758145543274      weak  
  4231     0.35254772498923487      weak  
  4243     0.42692694129467484      weak  
  4247     0.36962824745227496      weak  
  4267     0.37513994545715507      weak  
  4339     0.45526051385101174      weak  
  4522     0.4209846418831634      weak  
  4588     0.35788718243146256      weak  
  4759     0.3969857901535811      weak  
  4862     0.37631692263528066      weak  
  4926     0.3689105784412229      weak  
  4937     0.48919190469355534      weak  
  5230     0.4519305296397301      weak  
  5310     0.36603990239701445      weak  
  5314     0.5301277450839672      weak  
  5346     0.6599971293239557      weak  
  5349     0.35395435625089705      weak  
  5358     0.42953925649490454      weak  
  5478     0.60137792450122      weak  
  5486     0.43711784125161474      weak  
  5525     0.7298693842399884      strong  
  5567     0.556652791732453      weak  
  5646     0.406171953495048      weak  
  5739     0.3975025118415387      weak  
  5810     0.4277594373474953      weak  
  5863     0.3640017224056264      weak  
  5878     0.4780249748815845      weak  
  5889     0.43840964547150846      weak  
  5924     0.3912444380651644      weak  
  5979     0.3694273001291803      weak  
