# searching chr1
# for transcription factor ARR1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  519     0.5409238249594814      weak  
  660     0.36598460291734203      weak  
  705     0.5783022690437601      weak  
  749     0.856665316045381      strong  
  755     0.7436183144246354      strong  
  786     0.7436183144246354      strong  
  857     0.3881685575364669      weak  
  893     0.726600486223663      strong  
  1055     0.3687196110210698      weak  
  1140     0.4372974068071315      weak  
  1295     0.5977512155591573      weak  
  1301     0.5977512155591573      weak  
  1354     0.48581847649918974      weak  
  1368     0.48581847649918974      weak  
  1411     0.8034846029173419      strong  
  1472     0.7021880064829823      strong  
  1502     0.6674432739059969      weak  
  1558     0.5823541329011346      weak  
  1687     0.5783022690437601      weak  
  1702     0.47497974068071314      weak  
  1865     0.3569692058346839      weak  
  1952     0.8711507293354943      strong  
  2094     0.4151134521880065      weak  
  2195     0.5231969205834684      weak  
  2247     0.8711507293354943      strong  
  2293     0.8838128038897894      strong  
  2573     0.683245542949757      weak  
  2747     0.356665316045381      weak  
  2791     0.42463533225283634      weak  
  2805     0.4535048622366289      weak  
  2813     0.8838128038897894      strong  
  2875     0.8152350081037277      strong  
  2881     0.6402957860615885      weak  
  2893     0.6353322528363047      weak  
  3151     0.6147690437601296      weak  
  3208     0.5231969205834684      weak  
  3234     0.6851701782820098      weak  
  3346     0.5711102106969208      weak  
  3455     0.8878646677471638      strong  
  3627     0.5182333873581847      weak  
  3656     0.4287884927066451      weak  
  3690     0.4287884927066451      weak  
  3694     0.8557536466774717      strong  
  3750     0.48581847649918974      weak  
  3764     0.3922204213938412      weak  
  3834     0.3704416531604539      weak  
  4135     0.3903970826580227      weak  
  4203     0.4372974068071315      weak  
  4228     0.4287884927066451      weak  
  4349     0.6674432739059969      weak  
  4372     0.8464343598055105      strong  
  4416     0.7098865478119936      strong  
  4520     0.5494327390599677      weak  
