# searching chr1
# for transcription factor SFL1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  1608     0.566821535938781      weak  
  2198     0.566821535938781      weak  
  2590     1.0      strong  
  3196     1.0      strong  
  3246     0.566821535938781      weak  
  3409     0.566821535938781      weak  
  3514     0.566821535938781      weak  
  3676     0.566821535938781      weak  
  3831     0.566821535938781      weak  
  4019     0.566821535938781      weak  
  4423     0.566821535938781      weak  
  5089     0.566821535938781      weak  
  5191     0.566821535938781      weak  
  5556     0.566821535938781      weak  
  6418     0.566821535938781      weak  
  6504     0.566821535938781      weak  
  7437     0.566821535938781      weak  
  8387     0.566821535938781      weak  
  8413     0.566821535938781      weak  
  10240     0.566821535938781      weak  
  10617     0.566821535938781      weak  
  10760     0.566821535938781      weak  
  11010     0.566821535938781      weak  
  11212     0.566821535938781      weak  
  11841     0.566821535938781      weak  
  14899     0.566821535938781      weak  
  15332     0.566821535938781      weak  
  16155     0.566821535938781      weak  
  16397     0.566821535938781      weak  
  16851     0.566821535938781      weak  
  17419     0.566821535938781      weak  
  17462     0.566821535938781      weak  
  18241     0.566821535938781      weak  
  19910     0.566821535938781      weak  
  19923     0.566821535938781      weak  
  21722     0.566821535938781      weak  
  22086     1.0      strong  
  22142     0.566821535938781      weak  
  22312     0.566821535938781      weak  
  23058     0.566821535938781      weak  
  23105     0.566821535938781      weak  
  24097     0.566821535938781      weak  
  24273     0.566821535938781      weak  
  28474     0.566821535938781      weak  
  29235     0.566821535938781      weak  
  29361     0.566821535938781      weak  
  30920     0.566821535938781      weak  
  30981     0.566821535938781      weak  
  32263     0.566821535938781      weak  
  33060     0.566821535938781      weak  
  33335     0.566821535938781      weak  
  33952     0.566821535938781      weak  
  34432     1.0      strong  
  34527     0.566821535938781      weak  
  35421     0.566821535938781      weak  
  35515     0.566821535938781      weak  
  36115     0.566821535938781      weak  
  36166     0.566821535938781      weak  
  37058     0.566821535938781      weak  
  37551     0.566821535938781      weak  
  37881     0.566821535938781      weak  
  38276     0.566821535938781      weak  
  39400     0.566821535938781      weak  
  39804     0.566821535938781      weak  
