# searching chr1
# for transcription factor DIG1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  311     0.734100545124167      strong  
  719     0.39624470018170804      weak  
  1049     0.3664445790430043      weak  
  1466     0.45657177468201093      weak  
  1468     0.3625681405208964      weak  
  1766     0.49345850999394303      weak  
  1946     0.3995154451847365      weak  
  2241     0.3689884918231375      weak  
  2775     0.39521502119927315      weak  
  2790     0.4082374318594791      weak  
  3204     0.3991520290732889      weak  
  3268     0.387038158691702      weak  
  3283     0.4128407026044821      weak  
  3341     0.4032101756511205      weak  
  3439     0.4905511811023622      weak  
  3588     0.4602665051483949      weak  
  3677     0.4170805572380375      weak  
  3811     0.6427619624470018      weak  
  3839     0.538885523924894      weak  
  3864     0.486008479709267      weak  
  4188     0.43288915808600853      weak  
  4578     0.4084797092671108      weak  
  4708     0.4106602059357965      weak  
  4795     0.46371895820714715      weak  
  4898     0.4271350696547546      weak  
  5668     0.4143549364021804      weak  
  5969     0.4898243488794669      weak  
  6004     0.5889763779527559      weak  
  6562     0.600847970926711      weak  
  6625     0.6043004239854634      weak  
  6694     0.5565717746820108      weak  
  6722     0.36965475469412473      weak  
  6878     0.5136886735311932      weak  
  6961     0.3725015142337977      weak  
  7117     0.358328285887341      weak  
  7559     0.4501514233797698      weak  
  7663     0.4560266505148395      weak  
  7686     0.41811023622047244      weak  
  7835     0.5648697758933979      weak  
  7900     0.3887946698970321      weak  
  8011     0.4857662023016353      weak  
  8299     0.5303452453058752      weak  
  8519     0.556450635978195      weak  
  8647     0.3585705632949727      weak  
  8947     0.3787401574803149      weak  
  9322     0.3767413688673531      weak  
  9799     0.4372501514233797      weak  
  9887     0.4462144155057541      weak  
  9995     0.4423379769836462      weak  
  10184     0.671168988491823      weak  
  10354     0.526832222895215      weak  
  10539     0.40387643852210786      weak  
  10759     0.4965475469412477      weak  
  11303     0.4057540884312537      weak  
  11319     0.3546941247728649      weak  
  11381     0.876741368867353      strong  
  11449     0.46480920654148994      weak  
  11491     0.46365838885523925      weak  
  11760     0.3567534827377347      weak  
  11766     0.408358570563295      weak  
  11831     0.38994548758328285      weak  
  11838     0.36535433070866136      weak  
  12240     0.4219261053906722      weak  
  12777     0.361114476075106      weak  
  13764     0.4985463355542095      weak  
  13914     0.41823137492428836      weak  
  14078     0.5237431859479104      weak  
  14204     0.38413082980012114      weak  
  14318     0.3625681405208964      weak  
  14378     0.4634766807995155      weak  
  14418     0.4983040581465778      weak  
  14449     0.42301635372501506      weak  
  14779     0.4520896426408237      weak  
  14818     0.46723198061780735      weak  
  15186     0.6052695336159902      weak  
  15504     0.49212598425196846      weak  
  15778     0.45620835857056324      weak  
  15872     0.44688067837674134      weak  
  15883     0.5582677165354331      weak  
  15928     0.5430648092065415      weak  
  15950     0.5893397940642034      weak  
  15989     0.49781950333131436      weak  
  16234     0.46081162931556635      weak  
  16345     0.35875227135069654      weak  
  16398     0.4653543307086614      weak  
  16525     0.3874621441550576      weak  
  16660     0.48782556026650514      weak  
  16673     0.5333131435493641      weak  
  16912     0.45832828588734104      weak  
  17117     0.3698970321017565      weak  
  17409     0.40635978195033307      weak  
  17594     0.4612961841308298      weak  
  17663     0.41726226529376126      weak  
  17846     0.3688673531193216      weak  
  17931     0.3723803755299818      weak  
  17939     0.43991520290732883      weak  
  18046     0.3930345245305875      weak  
  18332     0.4171411265899455      weak  
  18333     0.3636583888552392      weak  
  18357     0.43155663234403385      weak  
  18489     0.40932768019382193      weak  
  19180     0.36620230163537243      weak  
  19245     0.5852816474863719      weak  
  19287     0.4356753482737734      weak  
  19340     0.3728043609933374      weak  
  19345     0.3520896426408238      weak  
  19404     0.40387643852210786      weak  
  19587     0.3956995760145366      weak  
  19745     0.5886129618413083      weak  
  19900     0.39854633555420954      weak  
  19934     0.35105996365838876      weak  
  20197     0.4087219866747425      weak  
  20310     0.3835857056329497      weak  
  20388     0.5297395517867958      weak  
  20499     0.5579648697758933      weak  
  20787     0.42374318594791033      weak  
  20798     0.43718958207147185      weak  
  20841     0.7336765596608117      strong  
  20951     0.3634161114476075      weak  
  20961     0.395336159903089      weak  
  21191     0.37922471229557847      weak  
  21278     0.4023622047244095      weak  
  21408     0.4410054512416717      weak  
  22076     0.41895820714718357      weak  
  22092     0.36995760145366446      weak  
