# searching chr1
# for transcription factor CAD1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  0     0.4476440912923557      weak  
  5     0.4730824746688009      weak  
  26     0.4476440912923557      weak  
  38     0.4476440912923557      weak  
  43     0.4730824746688009      weak  
  92     0.42089091506724025      weak  
  95     0.4286796335729496      weak  
  96     0.5935289325882841      weak  
  131     0.3784602632443943      weak  
  137     0.42369199548397235      weak  
  169     0.6123076043616823      weak  
  180     0.40664256213110767      weak  
  206     0.37322967430294546      weak  
  209     0.4664656367456019      weak  
  210     0.42111957469309586      weak  
  213     0.386734883455047      weak  
  244     0.3722149972132109      weak  
  245     0.42576422334328956      weak  
  274     0.4122304317379561      weak  
  277     0.4285367213067898      weak  
  281     0.3656696154230918      weak  
  289     0.3602818229888672      weak  
  314     0.36195389650293686      weak  
  336     0.38014662798508      weak  
  377     0.3623111771683365      weak  
  378     0.4255641461706659      weak  
  381     0.39822502965429524      weak  
  400     0.5353207665813957      weak  
  426     0.4293656124505167      weak  
  427     0.36641275920712274      weak  
  430     0.3524359395766939      weak  
  451     0.36031040544209914      weak  
  486     0.4549183256398897      weak  
  490     0.508796249982136      weak  
  501     0.438612036071056      weak  
  506     0.3630114472725194      weak  
  512     0.36496934531890873      weak  
  536     0.4106583968101982      weak  
  539     0.41097280379574985      weak  
  542     0.38550583796607263      weak  
  551     0.8206022322895975      strong  
  568     0.3982821945607592      weak  
  581     0.3833907364269076      weak  
  584     0.4083003444185615      weak  
  620     0.4552756063052892      weak  
  623     0.7307818730081603      strong  
  672     0.3626970402869678      weak  
  694     0.4054706815485974      weak  
  736     0.36665571005959446      weak  
  816     0.37221499721321083      weak  
  828     0.37380132336758465      weak  
  862     0.6057479313449474      weak  
  865     0.35995312477669955      weak  
  874     0.3787889614565619      weak  
  894     0.3826904663227246      weak  
  895     0.4002686750603805      weak  
  927     0.5152273019593273      weak  
  930     0.5267317393851915      weak  
  949     0.5175567718977321      weak  
  964     0.3966815771797693      weak  
  967     0.41012962142540693      weak  
  982     0.45343203807182775      weak  
  983     0.44221342517828305      weak  
  1052     0.39828219456075914      weak  
  1063     0.3573664127592071      weak  
  1092     0.47020993811898876      weak  
  1113     0.3708287482314607      weak  
  1124     0.40675689194403564      weak  
  1152     0.42031926600260106      weak  
  1172     0.3920369285295757      weak  
  1188     0.38316207680105185      weak  
  1191     0.6226258699784202      weak  
  1194     0.6437911765966873      weak  
  1206     0.4886027467737556      weak  
  1234     0.3688279765052234      weak  
  1245     0.3500350135052092      weak  
  1257     0.41513155074100005      weak  
  1276     0.3974818858702643      weak  
  1277     0.35833821616909384      weak  
  1279     0.4165463821759822      weak  
  1315     0.48477269804067286      weak  
  1320     0.42274877452731774      weak  
  1321     0.42753633544367114      weak  
  1354     0.35527989367327395      weak  
  1385     0.36424049276149373      weak  
  1401     0.37720263530218795      weak  
  1403     0.430580366712875      weak  
  1407     0.47122461520872333      weak  
