# searching chr1
# for transcription factor PHO2
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  90     0.6643960588736163      weak  
  318     0.6834934922758789      weak  
  412     0.5662328183919233      weak  
  505     0.5662328183919233      weak  
  606     0.46515022503345094      weak  
  829     0.8827393261160444      strong  
  1056     0.5662328183919233      weak  
  1067     0.7816567327575721      strong  
  1141     0.7816567327575721      strong  
  1205     0.8827393261160444      strong  
  1272     0.8827393261160444      strong  
  1365     0.6643960588736163      weak  
  1503     0.7816567327575721      strong  
  1661     0.6834934922758789      weak  
  1683     1.0      strong  
  1861     0.7816567327575721      strong  
  2090     0.6834934922758789      weak  
  2149     0.6834934922758789      weak  
  2160     0.46515022503345094      weak  
  2294     0.7816567327575721      strong  
  2601     0.6643960588736163      weak  
  2623     0.7816567327575721      strong  
  2674     1.0      strong  
  2814     0.7816567327575721      strong  
  2859     0.46515022503345094      weak  
  2876     0.5662328183919233      weak  
  2926     0.6643960588736163      weak  
  2968     1.0      strong  
  3117     0.6834934922758789      weak  
  3325     0.6834934922758789      weak  
  3521     0.6834934922758789      weak  
  3537     0.6834934922758789      weak  
  3871     0.46515022503345094      weak  
  3897     1.0      strong  
  3967     0.46515022503345094      weak  
  4023     0.46515022503345094      weak  
  4204     0.7816567327575721      strong  
  4350     0.7816567327575721      strong  
  4373     0.6834934922758789      weak  
  4430     0.46515022503345094      weak  
  4457     1.0      strong  
  4480     0.7816567327575721      strong  
  4491     0.46515022503345094      weak  
  4502     1.0      strong  
  4521     0.46515022503345094      weak  
  4607     0.46515022503345094      weak  
  4748     0.7816567327575721      strong  
  4758     0.6834934922758789      weak  
  4793     0.7816567327575721      strong  
  5030     0.5662328183919233      weak  
  5050     1.0      strong  
  5086     0.6834934922758789      weak  
  5127     0.46515022503345094      weak  
  5207     0.8827393261160444      strong  
