# searching chr1
# for transcription factor MET4
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  2716     0.7834440913030918      strong  
  4049     0.3582057208899163      weak  
  7185     1.0      strong  
  8462     1.0      strong  
  9522     0.8635509968217281      strong  
  11505     0.3582057208899163      weak  
  22669     1.0      strong  
  27687     0.3582057208899163      weak  
  28360     0.3582057208899163      weak  
  30974     0.7834440913030918      strong  
  35458     0.7848887604738516      strong  
  39474     0.3582057208899163      weak  
  43943     0.9213377636521237      strong  
  44487     0.7834440913030918      strong  
  48019     0.9198930944813639      strong  
  48398     0.3582057208899163      weak  
  48837     0.3582057208899163      weak  
  53141     0.3582057208899163      weak  
  53572     0.7848887604738516      strong  
  54281     1.0      strong  
  56145     1.0      strong  
  60889     1.0      strong  
  62491     0.9213377636521237      strong  
  67213     0.7834440913030918      strong  
  67878     0.8635509968217281      strong  
  68017     0.3582057208899163      weak  
  69138     0.7848887604738516      strong  
  71332     0.3582057208899163      weak  
  74681     1.0      strong  
  75081     0.3582057208899163      weak  
  79511     0.3582057208899163      weak  
  82296     0.9198930944813639      strong  
  86000     0.9213377636521237      strong  
  89371     1.0      strong  
  94551     0.3582057208899163      weak  
  96462     0.8635509968217281      strong  
  98336     1.0      strong  
  98945     0.8635509968217281      strong  
  102184     0.7834440913030918      strong  
  103167     1.0      strong  
  111265     0.8635509968217281      strong  
  119182     0.9213377636521237      strong  
  121974     0.3582057208899163      weak  
  125892     0.9213377636521237      strong  
  130249     0.9213377636521237      strong  
  130600     0.7848887604738516      strong  
  130699     0.7834440913030918      strong  
  132661     0.3582057208899163      weak  
  135027     0.8635509968217281      strong  
  136487     0.9213377636521237      strong  
  137166     1.0      strong  
  137650     0.8635509968217281      strong  
  143051     1.0      strong  
  145607     0.3582057208899163      weak  
  149851     0.9213377636521237      strong  
  150608     0.7848887604738516      strong  
  155295     1.0      strong  
  156817     0.9213377636521237      strong  
  157580     0.8635509968217281      strong  
  157632     0.3582057208899163      weak  
  161762     0.3582057208899163      weak  
  161831     0.8635509968217281      strong  
  165478     1.0      strong  
  173488     0.7834440913030918      strong  
  174002     0.7848887604738516      strong  
  174472     0.8635509968217281      strong  
  180341     0.9198930944813639      strong  
  181191     1.0      strong  
  181554     0.7834440913030918      strong  
  183837     0.3582057208899163      weak  
  183933     0.9198930944813639      strong  
  186035     0.3582057208899163      weak  
  187089     0.3582057208899163      weak  
  188174     0.3582057208899163      weak  
  189613     0.8635509968217281      strong  
  193018     0.3582057208899163      weak  
  196178     0.9213377636521237      strong  
  202337     0.8635509968217281      strong  
  206338     1.0      strong  
  210610     0.3582057208899163      weak  
  211135     0.3582057208899163      weak  
  212279     0.8635509968217281      strong  
  213309     0.8635509968217281      strong  
  214343     0.8635509968217281      strong  
  217790     0.3582057208899163      weak  
  218405     0.3582057208899163      weak  
  218963     1.0      strong  
  225636     0.7848887604738516      strong  
# 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# The number of weak sites for the forwards direction is 27
# The number of strong sites for the forwards direction is 61


# The following is the outputs of the program in the reverse compliment direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  1885     0.8635509968217279      strong  
  2137     0.7848887604738516      strong  
  12073     0.7848887604738516      strong  
  16582     0.7848887604738516      strong  
  17805     0.8635509968217279      strong  
  18676     0.9213377636521237      strong  
  23513     0.9213377636521237      strong  
  24505     0.7848887604738516      strong  
  29347     0.9198930944813638      strong  
  40481     1.0      strong  
  47711     1.0      strong  
  52569     0.9198930944813638      strong  
  53816     1.0      strong  
  58080     0.7834440913030917      strong  
  60725     0.7848887604738516      strong  
  60770     0.9213377636521237      strong  
  75481     0.7834440913030917      strong  
  75836     0.8635509968217279      strong  
  75950     1.0      strong  
  75959     0.7848887604738516      strong  
  77570     0.7848887604738516      strong  
  77582     0.7848887604738516      strong  
  85050     0.7848887604738516      strong  
  93023     0.7848887604738516      strong  
  95326     0.8635509968217279      strong  
  96087     0.8635509968217279      strong  
  96270     0.9198930944813638      strong  
  106705     0.9213377636521237      strong  
  107243     1.0      strong  
  109766     0.7848887604738516      strong  
  121266     1.0      strong  
  126822     0.9198930944813638      strong  
  127384     0.8635509968217279      strong  
  128947     0.9213377636521237      strong  
  130495     1.0      strong  
  134423     1.0      strong  
  138660     0.9198930944813638      strong  
  140129     0.7834440913030917      strong  
  155498     0.7834440913030917      strong  
  158160     0.7848887604738516      strong  
  163676     1.0      strong  
  173717     0.7848887604738516      strong  
  173726     0.7848887604738516      strong  
  176731     0.7848887604738516      strong  
  176989     0.8635509968217279      strong  
  179750     0.7848887604738516      strong  
  180579     0.9198930944813638      strong  
  184315     0.7848887604738516      strong  
  187740     0.9213377636521237      strong  
  188244     0.7848887604738516      strong  
  190501     0.7848887604738516      strong  
  191115     0.7848887604738516      strong  
  191222     0.8635509968217279      strong  
  200222     1.0      strong  
  207872     0.7848887604738516      strong  
  211092     0.7848887604738516      strong  
  212582     0.9198930944813638      strong  
  221886     0.8635509968217279      strong  
  225831     0.9198930944813638      strong  
  229485     0.9213377636521237      strong  
# 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# The number of weak sites for the reverse compliment direction is 0
# The number of strong sites for the reverse compliment direction is 60
