# searching chr1 
# for transcription factor YAP5 
# weak threshold: 0.35 
# strong threshold: 0.7 
# 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
#   position   strength       type 
         107   1.298007e+02   strong 
         647   1.298007e+02   strong 
         829   2.186375e+03   strong 
         842   5.503669e+01   strong 
         935   3.822214e+02   strong 
        1175   1.298007e+02   strong 
        1306   1.036479e+02   strong 
        1428   5.503669e+01   strong 
        1511   6.523525e+01   strong 
        1628   3.822214e+02   strong 
        1726   3.731573e+02   strong 
        1842   9.014459e+02   strong 
        2241   9.014459e+02   strong 
        2513   3.731573e+02   strong 
        2548   2.444474e+02   strong 
        2727   5.156431e+03   strong 
        2849   9.014459e+02   strong 
        3087   5.503669e+01   strong 
        3111   7.198192e+02   strong 
        3150   1.298007e+02   strong 
        3311   1.298007e+02   strong 
        3347   1.228544e+02   strong 
        3379   4.117494e+03   strong 
        3442   3.731573e+02   strong 
        3560   6.523525e+01   strong 
        3755   1.298007e+02   strong 
        3758   9.710859e+03   strong 
        3812   1.298007e+02   strong 
        3821   2.444474e+02   strong 
        3903   9.014459e+02   strong 
        4743   9.710859e+03   strong 
        4821   3.731573e+02   strong 
        4834   2.444474e+02   strong 
        5185   4.117494e+03   strong 
        5337   5.503669e+01   strong 
        5432   9.014459e+02   strong 
        5528   5.503669e+01   strong 
        5562   5.503669e+01   strong 
        5808   9.014459e+02   strong 
        6207   9.014459e+02   strong 
        6337   5.503669e+01   strong 
        6429   7.198192e+02   strong 
        6614   5.503669e+01   strong 
        6626   1.298007e+02   strong 
        6689   5.156431e+03   strong 
        6720   1.228544e+02   strong 
        6966   2.444474e+02   strong 
        6979   2.444474e+02   strong 
        7009   6.523525e+01   strong 
        7024   3.731573e+02   strong 
        7517   5.503669e+01   strong 
        7704   2.444474e+02   strong 
        7726   7.198192e+02   strong 
        8046   6.523525e+01   strong 
        8077   3.822214e+02   strong 
        8369   2.186375e+03   strong 
        9006   1.298007e+02   strong 
        9036   7.198192e+02   strong 
        9161   1.298007e+02   strong 
        9581   1.697650e+03   strong 
        9644   9.710859e+03   strong 
        9801   5.156431e+03   strong 
        9940   1.582221e+02   strong 
        9979   9.710859e+03   strong 
       10153   2.979721e+02   strong 
       10246   6.523525e+01   strong 
       10801   3.731573e+02   strong 
       10812   2.979721e+02   strong 
       10992   3.822214e+02   strong 
       11325   5.503669e+01   strong 
       11465   1.697650e+03   strong 
       11537   1.697650e+03   strong 
       11740   7.027491e+02   strong 
       11761   1.582221e+02   strong 
       12334   7.027491e+02   strong 
       12384   3.731573e+02   strong 
       12511   6.523525e+01   strong 
       12576   5.156431e+03   strong 
       12580   7.198192e+02   strong 
       12603   5.503669e+01   strong 
       12762   7.027491e+02   strong 
       12965   2.979721e+02   strong 
       13054   7.027491e+02   strong 
       13274   4.117494e+03   strong 
       13286   3.731573e+02   strong 
       13728   3.731573e+02   strong 
       13783   3.731573e+02   strong 
       13834   7.198192e+02   strong 
       13923   4.117494e+03   strong 
       13962   1.228544e+02   strong 
       14116   5.503669e+01   strong 
       14232   1.298007e+02   strong 
       14538   2.444474e+02   strong 
       14901   9.014459e+02   strong 
       14995   9.710859e+03   strong 
       15209   1.228544e+02   strong 
       15799   1.228544e+02   strong 
       16451   1.228544e+02   strong 
       16685   1.298007e+02   strong 
       17014   2.444474e+02   strong 
       17463   2.186375e+03   strong 
       17489   4.117494e+03   strong 
       17521   9.710859e+03   strong 
       17654   3.731573e+02   strong 
       17753   2.979721e+02   strong 
       17758   2.186375e+03   strong 
       17954   3.822214e+02   strong 
       17990   1.697650e+03   strong 
       18031   1.582221e+02   strong 
       18160   1.298007e+02   strong 
       18353   1.298007e+02   strong 
       18427   7.198192e+02   strong 
       18457   2.444474e+02   strong 
       18637   3.822214e+02   strong 
       18693   5.156431e+03   strong 
       19366   6.523525e+01   strong 
       19448   3.731573e+02   strong 
       19541   6.523525e+01   strong 
       19595   1.298007e+02   strong 
       19611   5.503669e+01   strong 
       19811   1.298007e+02   strong 
       19853   5.156431e+03   strong 
       19909   3.822214e+02   strong 
       19965   3.731573e+02   strong 
       19979   1.697650e+03   strong 
       20048   5.156431e+03   strong 
       20395   5.503669e+01   strong 
       20439   1.298007e+02   strong 
       20509   2.444474e+02   strong 
       20582   9.710859e+03   strong 
       20934   9.014459e+02   strong 
       21190   9.014459e+02   strong 
       21358   1.298007e+02   strong 
       21541   7.027491e+02   strong 
       21585   7.027491e+02   strong 
       21734   1.298007e+02   strong 
       21777   1.298007e+02   strong 
       21780   9.710859e+03   strong 
       21793   2.186375e+03   strong 
       21798   1.582221e+02   strong 
       21911   6.523525e+01   strong 
       21938   1.582221e+02   strong 
       22009   1.298007e+02   strong 
       22224   7.027491e+02   strong 
       22564   7.198192e+02   strong 
       22807   3.731573e+02   strong 
       22896   1.298007e+02   strong 
       22918   6.523525e+01   strong 
       23006   3.731573e+02   strong 
       23037   4.117494e+03   strong 
       23306   7.027491e+02   strong 
       23407   1.582221e+02   strong 
       23471   2.186375e+03   strong 
       23483   7.027491e+02   strong 
       23563   1.228544e+02   strong 
       23697   7.198192e+02   strong 
       23765   6.523525e+01   strong 
       23874   3.731573e+02   strong 
       23971   7.198192e+02   strong 
       24010   1.582221e+02   strong 
       24157   6.523525e+01   strong 
       24316   1.228544e+02   strong 
       24476   3.731573e+02   strong 
       24505   9.710859e+03   strong 
       24554   1.298007e+02   strong 
       24591   1.298007e+02   strong 
       24654   7.198192e+02   strong 
       24682   6.523525e+01   strong 
       24766   1.298007e+02   strong 
       24856   9.014459e+02   strong 
       25186   7.027491e+02   strong 
       25308   1.228544e+02   strong 
       25502   1.697650e+03   strong 
       25775   2.444474e+02   strong 
       25783   2.979721e+02   strong 
       26293   5.156431e+03   strong 
       26439   2.444474e+02   strong 
       26625   1.582221e+02   strong 
       26657   2.186375e+03   strong 
       27012   2.444474e+02   strong 
       27096   9.710859e+03   strong 
       27288   5.156431e+03   strong 
       27375   9.710859e+03   strong 
       27532   1.298007e+02   strong 
       27558   9.014459e+02   strong 
       27780   1.298007e+02   strong 
       28222   9.710859e+03   strong 
       28315   5.156431e+03   strong 
       28370   2.186375e+03   strong 
       28545   3.822214e+02   strong 
       28567   1.036479e+02   strong 
       29720   1.228544e+02   strong 
       30358   2.186375e+03   strong 
       30416   1.298007e+02   strong 
       30448   3.731573e+02   strong 
       30453   1.582221e+02   strong 
       30619   6.523525e+01   strong 
       30664   1.036479e+02   strong 
       30808   9.014459e+02   strong 
       31095   5.503669e+01   strong 
       31104   1.228544e+02   strong 
       31119   5.503669e+01   strong 
       31161   9.014459e+02   strong 
       31422   7.198192e+02   strong 
       31522   7.027491e+02   strong 
       31559   9.710859e+03   strong 
       31878   2.186375e+03   strong 
       32033   2.186375e+03   strong 
       32097   5.156431e+03   strong 
       32281   7.198192e+02   strong 
       32392   3.731573e+02   strong 
       32666   9.710859e+03   strong 
       32669   3.731573e+02   strong 
       32714   2.444474e+02   strong 
       32776   1.228544e+02   strong 
       32804   1.582221e+02   strong 
       33056   3.731573e+02   strong 
       33254   9.710859e+03   strong 
       33257   7.027491e+02   strong 
       33262   1.298007e+02   strong 
       33275   3.731573e+02   strong 
       33337   1.298007e+02   strong 
       33397   7.027491e+02   strong 
       33529   2.444474e+02   strong 
       33592   1.298007e+02   strong 
       33800   4.117494e+03   strong 
       33827   1.036479e+02   strong 
       34539   1.582221e+02   strong 
       34546   3.731573e+02   strong 
       34639   6.523525e+01   strong 
       34678   3.822214e+02   strong 
       34717   3.731573e+02   strong 
       34848   7.027491e+02   strong 
       34890   2.186375e+03   strong 
       34903   3.822214e+02   strong 
       34919   2.444474e+02   strong 
       34923   5.503669e+01   strong 
       35100   4.117494e+03   strong 
       35200   7.027491e+02   strong 
       35232   1.298007e+02   strong 
       35482   1.298007e+02   strong 
       35524   5.503669e+01   strong 
       35752   1.298007e+02   strong 
       35759   5.503669e+01   strong 
       35867   7.027491e+02   strong 
       35960   5.156431e+03   strong 
       36044   3.731573e+02   strong 
       36157   6.523525e+01   strong 
       36245   3.822214e+02   strong 
       36258   1.582221e+02   strong 
       36263   7.027491e+02   strong 
       36318   5.503669e+01   strong 
       36339   3.731573e+02   strong 
       36340   3.822214e+02   strong 
       36491   1.697650e+03   strong 
       36556   7.198192e+02   strong 
       37290   5.503669e+01   strong 
       37609   7.027491e+02   strong 
       37690   1.298007e+02   strong 
       37692   1.298007e+02   strong 
       37837   1.228544e+02   strong 
       37949   1.298007e+02   strong 
