# searching chr1
# for transcription factor SUM1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  67     0.3614320081937928      weak  
  83     0.48893599790391357      weak  
  104     0.41866946144868167      weak  
  139     0.4524212181120931      weak  
  147     0.3885143986851821      weak  
  195     0.3996617678584189      weak  
  284     0.4711192625586547      weak  
  299     0.3763904437510422      weak  
  313     0.428768787366315      weak  
  334     0.5337636662458615      weak  
  402     0.6591477502798753      weak  
  435     0.47793154372007735      weak  
  463     0.5705166376866828      weak  
  544     0.4318890979682251      weak  
  564     0.40392539837553304      weak  
  635     0.3767000928947432      weak  
  637     0.6620298692327847      weak  
  672     0.4425362646785605      weak  
  709     0.4835290474715958      weak  
  711     0.46414024724293174      weak  
  721     0.5373841793106735      weak  
  760     0.3547864611866709      weak  
  768     0.46656980206273985      weak  
  770     0.3517614272443609      weak  
  798     0.6297787199580782      weak  
  818     0.43386608865493187      weak  
  839     0.5795441011838125      weak  
  846     0.43331824786223      weak  
  855     0.38146392587475886      weak  
  859     0.4308172355477217      weak  
  871     0.35847843174618305      weak  
  874     0.43529523854893654      weak  
  885     0.36479051044470373      weak  
  908     0.5686349236595766      weak  
  917     0.4578281685444108      weak  
  931     0.42903079818021583      weak  
  966     0.4859586022914038      weak  
  970     0.408474858871448      weak  
  985     0.47583545720887027      weak  
  1039     0.3604077841030893      weak  
  1070     0.5950980158635639      weak  
  1074     0.48257628087559257      weak  
  1083     0.5238072553176285      weak  
  1106     0.7761474882690613      strong  
  1118     0.5999094871733798      weak  
  1158     0.47809827787437775      weak  
  1172     0.4113569778243576      weak  
  1200     0.4278160207703119      weak  
  1222     0.6712478860491152      weak  
  1256     0.39568396732010575      weak  
  1262     0.35452445037277      weak  
  1290     0.598170688135674      weak  
  1300     0.5342162303789629      weak  
  1340     0.3747945597027369      weak  
  1342     0.7267227211013982      strong  
  1358     0.4496581949836839      weak  
  1375     0.5324774313412571      weak  
  1387     0.5488173784627112      weak  
  1417     0.4932710859157279      weak  
  1420     0.38984827191958654      weak  
  1496     0.37508038968153773      weak  
  1513     0.38101136174165734      weak  
  1543     0.552985732320225      weak  
  1551     0.3782007002834481      weak  
  1587     0.4397970607150514      weak  
  1589     0.537574732629874      weak  
  1597     0.7338922897363219      strong  
  1609     0.4232903794392969      weak  
  1642     0.43731986756544317      weak  
  1658     0.4431079246361624      weak  
  1659     0.4011385560822238      weak  
  1668     0.3890146011480839      weak  
  1691     0.41845508896458095      weak  
  1728     0.3795822118476526      weak  
  1746     0.5673963270847726      weak  
  1750     0.5965748040873688      weak  
  1765     0.4385822833051474      weak  
  1781     0.7049043660529263      strong  
  1796     0.7325822356668177      strong  
  1798     0.40047161946502163      weak  
  1803     0.5298811423671486      weak  
  1807     0.379701307672153      weak  
  1813     0.7396803468070411      strong  
  1830     0.36576709620560705      weak  
  1835     0.4958197365600363      weak  
  1864     0.4017578543696259      weak  
  1867     0.5179953790820095      weak  
  1897     0.5826882309506228      weak  
  1905     0.6240621203820595      weak  
  1910     0.5776862063216064      weak  
  1933     0.6294452516494773      weak  
  1947     0.5196865397899151      weak  
  1961     0.5450063120786985      weak  
  1971     0.42652978586570756      weak  
  2003     0.4003525236405211      weak  
  2019     0.46721291951504174      weak  
  2025     0.36786318271681406      weak  
  2061     0.3930876783459972      weak  
  2070     0.387251982945478      weak  
  2079     0.7172188743062669      strong  
  2087     0.4329847795536288      weak  
  2093     0.5818783793440204      weak  
  2153     0.36121763570969206      weak  
  2157     0.5841412000095277      weak  
  2164     0.3535240454469666      weak  
  2170     0.49331872424552803      weak  
  2175     0.582997880094324      weak  
  2179     0.5986232522687754      weak  
  2183     0.6388061834552081      weak  
  2228     0.5713503084581854      weak  
  2242     0.4960102898792369      weak  
  2281     0.3570731010170784      weak  
  2288     0.4183121739751805      weak  
  2317     0.3688874068075173      weak  
  2320     0.4227425386465951      weak  
  2330     0.526617916775838      weak  
  2347     0.4058547507324393      weak  
  2381     0.5201867422528167      weak  
  2385     0.6069123216540029      weak  
  2416     0.47459686063406614      weak  
  2420     0.3796060310125528      weak  
  2444     0.43186527880332526      weak  
  2446     0.4582807326775125      weak  
  2454     0.48707810304170746      weak  
  2467     0.3542862587237692      weak  
  2503     0.36171783817259373      weak  
  2514     0.3722697282233286      weak  
  2516     0.5195436248005145      weak  
  2522     0.41071386037205543      weak  
  2524     0.4689040802229475      weak  
  2542     0.3832027249124646      weak  
  2579     0.5778767596408071      weak  
  2592     0.35702546268727825      weak  
  2594     0.7702879737036421      strong  
  2616     0.4858395064669033      weak  
  2653     0.3711502274730248      weak  
  2661     0.6616011242645834      weak  
  2677     0.45692304027820785      weak  
  2689     0.457875806874211      weak  
  2694     0.3935878808088989      weak  
  2700     0.4015196627206251      weak  
  2704     0.4573279660815093      weak  
  2714     0.8399352118714718      strong  
  2724     0.5116356620536884      weak  
  2737     0.7644999166329229      strong  
  2777     0.3848700664554701      weak  
  2781     0.3807017125979563      weak  
  2847     0.4601862658695187      weak  
  2852     0.5786627920825097      weak  
  2893     0.5079913298239764      weak  
  2895     0.4542791129742991      weak  
  2907     0.4443227020460664      weak  
  2912     0.4493009075101827      weak  
  2917     0.38346473572636564      weak  
  2921     0.3540480670747684      weak  
  2925     0.36088416740109097      weak  
  2934     0.39356406164399876      weak  
  2936     0.4553033370650026      weak  
  2951     0.5093490222232809      weak  
  2988     0.39639854226710813      weak  
  3001     0.41200009527665954      weak  
  3019     0.35626324941047577      weak  
  3022     0.4086415930257486      weak  
  3079     0.4787890336564801      weak  
  3114     0.4182883548102805      weak  
  3124     0.38763308958387915      weak  
  3130     0.6934949860657887      weak  
  3132     0.5922635352404545      weak  
  3143     0.47836028868827873      weak  
  3146     0.41988423885858567      weak  
  3181     0.4459662244241718      weak  
  3225     0.37107876997832445      weak  
  3249     0.5176619107734084      weak  
  3285     0.4276969249458115      weak  
  3294     0.36924469428101847      weak  
  3297     0.43748660171974374      weak  
  3299     0.5570588095181385      weak  
  3332     0.4957959173951362      weak  
  3356     0.39954267203391847      weak  
  3396     0.41769287568777846      weak  
  3397     0.49091298859061994      weak  
  3424     0.47538289307576875      weak  
  3441     0.5644427506371628      weak  
  3450     0.37524712383583836      weak  
  3468     0.5351451778100661      weak  
  3474     0.397851511326013      weak  
  3475     0.49091298859061994      weak  
  3488     0.43529523854893654      weak  
  3491     0.3528094704999643      weak  
  3502     0.3890384203129838      weak  
  3516     0.4376056975442441      weak  
  3518     0.46313984231712846      weak  
  3534     0.4085939546959484      weak  
  3565     0.6931138794273873      weak  
  3573     0.4497534716432843      weak  
  3589     0.7144082128480576      strong  
  3590     0.41583498082557224      weak  
  3613     0.5322154205273563      weak  
  3632     0.3716027916061264      weak  
  3637     0.43272276873972804      weak  
  3644     0.42672033918490837      weak  
  3648     0.6434509206107235      weak  
  3664     0.4623061715456258      weak  
  3677     0.5567491603744373      weak  
  3679     0.357882952623681      weak  
  3717     0.47976561941738327      weak  
  3750     0.4505395040849869      weak  
  3763     0.37315103732463145      weak  
  3787     0.36893504513731756      weak  
  3791     0.43982087987995144      weak  
  3832     0.49646285401233836      weak  
  3866     0.5874044256008385      weak  
  3868     0.46495009884953437      weak  
  3875     0.38382202319986664      weak  
  3877     0.46311602315222844      weak  
  3936     0.6042445751851941      weak  
  3947     0.4213372079174905      weak  
  3964     0.41664483243217487      weak  
  3992     0.4985589405235454      weak  
  4020     0.516637686682705      weak  
  4028     0.4744063073148656      weak  
  4033     0.5834028058976253      weak  
  4049     0.6397351308863113      weak  
  4056     0.380296786794655      weak  
  4058     0.6147726460710289      weak  
  4075     0.3517137889145607      weak  
  4117     0.6017673820355859      weak  
  4121     0.5223066479289238      weak  
  4134     0.5494604959150133      weak  
  4147     0.4117142652978587      weak  
  4157     0.4240049543862992      weak  
  4167     0.4518257389895911      weak  
  4190     0.5959078674701666      weak  
  4211     0.47366791320296303      weak  
  4257     0.5417430864873879      weak  
  4268     0.6068170449944026      weak  
  4349     0.35519138698997227      weak  
  4360     0.7805540337755758      strong  
  4377     0.5549389038420314      weak  
  4386     0.40001905533192      weak  
  4392     0.4505156849200867      weak  
  4400     0.4489674392015817      weak  
  4407     0.6097706214420124      weak  
  4411     0.5244027344401305      weak  
  4484     0.4952242574375343      weak  
  4488     0.3785579877569493      weak  
  4492     0.4336755353357313      weak  
  4518     0.48636352809470507      weak  
  4530     0.48574422980730303      weak  
