# searching chr1
# for transcription factor RCS1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  1     0.6619706971502175      weak  
  6     0.6619706971502175      weak  
  14     0.6619706971502175      weak  
  22     0.6619706971502175      weak  
  27     0.6619706971502175      weak  
  34     0.6619706971502175      weak  
  39     0.6619706971502175      weak  
  44     0.6619706971502175      weak  
  175     0.4037997101915956      weak  
  178     0.39341490903236204      weak  
  207     0.3707132506842699      weak  
  211     0.517066494928353      weak  
  276     0.6432941555305104      weak  
  290     0.3707132506842699      weak  
  310     0.517066494928353      weak  
  373     0.39188536467557566      weak  
  376     0.39341490903236204      weak  
  379     0.39341490903236204      weak  
  395     0.3707132506842699      weak  
  446     0.39188536467557566      weak  
  513     0.35380776042505235      weak  
  522     0.5768797295121558      weak  
  538     0.4469489615198841      weak  
  543     0.4355981323458381      weak  
  562     0.39188536467557566      weak  
  569     0.3938979230397682      weak  
  668     0.39188536467557566      weak  
  679     1.0      strong  
  708     0.3650780872645307      weak  
  809     0.35533730478183867      weak  
  950     0.49694091128642737      weak  
  1061     0.405329254548382      weak  
  1243     0.39341490903236204      weak  
  1380     0.462405409756883      weak  
  1399     0.45065206890999854      weak  
  1463     0.66398325551441      weak  
  1485     0.40186765416197073      weak  
  1561     0.3650780872645307      weak  
  1652     0.5383191112542264      weak  
  1874     0.35380776042505235      weak  
  1884     0.5383191112542264      weak  
  1944     0.3556593141201095      weak  
  1968     0.35533730478183867      weak  
  2055     0.6469167605860571      weak  
  2065     0.6432941555305104      weak  
  2121     0.40186765416197073      weak  
  2130     0.5104653034938015      weak  
  2136     0.6469167605860571      weak  
  2253     0.40186765416197073      weak  
  2265     0.39188536467557566      weak  
  2312     0.8587184028336823      strong  
  2523     0.3938979230397682      weak  
  2576     0.41515053936564167      weak  
  2668     0.3934149090323619      weak  
  2824     0.462405409756883      weak  
  2878     0.5300273707937531      weak  
  3545     0.35380776042505235      weak  
  4071     0.4639349541136694      weak  
  4338     0.35533730478183867      weak  
  4804     0.5300273707937531      weak  
  4931     0.405329254548382      weak  
  4956     0.3901143133150861      weak  
  5166     0.49694091128642737      weak  
  5666     0.5768797295121558      weak  
  5722     0.6052165512799871      weak  
  5846     0.7501207535018516      strong  
  6174     0.6469167605860571      weak  
  6344     0.4037997101915956      weak  
  6451     0.4521816132667848      weak  
  6643     0.41515053936564167      weak  
  6895     0.6052165512799871      weak  
  6910     0.3650780872645307      weak  
  6922     0.4469489615198841      weak  
  6931     0.6036870069232009      weak  
  7097     0.4419578167766865      weak  
  7289     0.6619706971502175      weak  
  7367     0.3934149090323619      weak  
  7599     0.6517469006601192      weak  
  7622     0.3680566736435358      weak  
  7631     0.39542746739655443      weak  
  7835     0.5627113186282403      weak  
  8045     0.3556593141201095      weak  
  8138     0.7881983577523749      strong  
  8174     0.517066494928353      weak  
  8229     0.8737723393978427      strong  
  8255     0.3887457736274353      weak  
  8351     0.6517469006601192      weak  
  8354     0.7501207535018516      strong  
  8484     1.0      strong  
  8568     0.49694091128642737      weak  
  8645     0.462405409756883      weak  
  8656     0.5300273707937531      weak  
  8665     0.39188536467557566      weak  
  8728     0.6432941555305104      weak  
  8934     0.6432941555305104      weak  
  9205     0.8587184028336823      strong  
  9321     0.41515053936564167      weak  
  9337     0.36709064562872323      weak  
  9419     0.6619706971502175      weak  
  9645     0.3707132506842699      weak  
  9771     0.5768797295121558      weak  
  9941     0.439945258412494      weak  
  9950     0.36709064562872323      weak  
  9981     0.405329254548382      weak  
  10082     0.7501207535018516      strong  
  10176     0.5300273707937531      weak  
  10372     0.439945258412494      weak  
  10540     0.3707132506842699      weak  
  10642     0.3901143133150861      weak  
  11238     0.5627113186282403      weak  
  11716     0.39542746739655443      weak  
  11880     0.40186765416197073      weak  
  11907     0.40186765416197073      weak  
  12072     0.6619706971502175      weak  
  12140     0.6469167605860571      weak  
  12335     0.8587184028336823      strong  
  12360     0.8587184028336823      strong  
  12416     0.3901143133150861      weak  
  12570     0.45065206890999854      weak  
  12714     0.5768797295121558      weak  
  13251     0.35533730478183867      weak  
  13630     0.3901143133150861      weak  
  13645     0.6052165512799871      weak  
  13654     0.5020125583641927      weak  
  13839     0.405329254548382      weak  
  13936     0.4335050716470778      weak  
  13945     0.3887457736274353      weak  
  14283     0.47898889067782974      weak  
  14352     0.3934149090323619      weak  
  14377     0.3901143133150861      weak  
  14477     0.3934149090323619      weak  
  14500     0.6517469006601192      weak  
  14538     0.6517469006601192      weak  
  14943     0.6517469006601192      weak  
  15164     0.439945258412494      weak  
  15248     0.6517469006601192      weak  
  15331     0.6517469006601192      weak  
  15382     0.39188536467557566      weak  
  15544     0.5104653034938015      weak  
  15682     0.5300273707937531      weak  
  15739     0.35533730478183867      weak  
  15858     0.40186765416197073      weak  
  16017     0.6517469006601192      weak  
  16201     0.3938979230397682      weak  
  16278     0.39542746739655443      weak  
  16300     0.4469489615198841      weak  
  16324     0.5383191112542264      weak  
  16471     0.7501207535018516      strong  
  16508     0.36709064562872323      weak  
  16581     0.5383191112542264      weak  
  16659     0.3901143133150861      weak  
  16674     0.4419578167766865      weak  
  16698     0.35380776042505235      weak  
  16739     0.3934149090323619      weak  
  16859     0.6517469006601192      weak  
  16892     0.5768797295121558      weak  
  17140     0.5383191112542264      weak  
  17300     0.6619706971502175      weak  
  17322     0.39542746739655443      weak  
  17682     0.3556593141201095      weak  
  17792     0.5383191112542264      weak  
  17804     0.7881983577523749      strong  
  17815     0.3934149090323619      weak  
  17968     0.3934149090323619      weak  
  18186     0.517066494928353      weak  
  18522     0.6432941555305104      weak  
  18672     0.3934149090323619      weak  
  18706     0.5104653034938015      weak  
  18789     0.3901143133150861      weak  
  18825     0.405329254548382      weak  
  18860     0.405329254548382      weak  
  19178     0.39188536467557566      weak  
