# searching chr1
# for transcription factor IME1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  2635     0.9221021021021021      strong  
  2763     0.7962162162162162      strong  
  8161     0.6842042042042042      weak  
  8179     0.5416216216216218      weak  
  16121     0.6842042042042042      weak  
  28725     0.6195195195195197      weak  
  33055     0.9221021021021021      strong  
  41699     0.6195195195195197      weak  
  42418     0.7962162162162162      strong  
  48706     0.3873873873873874      weak  
  54555     0.8100900900900901      strong  
  56008     0.6842042042042042      weak  
  58562     0.7962162162162162      strong  
  68399     1.0      strong  
  84247     0.7962162162162162      strong  
  92935     0.5416216216216218      weak  
  96748     0.4157357357357358      weak  
  111196     0.8100900900900901      strong  
  111501     0.7962162162162162      strong  
  123460     0.3873873873873874      weak  
  134583     0.4157357357357358      weak  
  139971     0.8100900900900901      strong  
  141672     1.0      strong  
  142418     0.3873873873873874      weak  
  149447     1.0      strong  
  150988     0.4157357357357358      weak  
  152742     0.6195195195195197      weak  
  157309     0.6195195195195197      weak  
  159321     0.4157357357357358      weak  
  165392     0.7962162162162162      strong  
  165680     0.4157357357357358      weak  
  169904     0.7962162162162162      strong  
  176960     0.8100900900900901      strong  
  179895     0.4157357357357358      weak  
  180396     0.5416216216216218      weak  
  180630     0.7962162162162162      strong  
  186524     0.5416216216216218      weak  
  187595     0.7962162162162162      strong  
  187652     0.6195195195195197      weak  
  188719     0.5416216216216218      weak  
  188880     0.8879879879879881      strong  
  190039     0.9221021021021021      strong  
  191042     1.0      strong  
  194140     0.6195195195195197      weak  
  195982     0.9221021021021021      strong  
  199127     0.6842042042042042      weak  
  203933     1.0      strong  
  216145     0.6195195195195197      weak  
  218770     0.7962162162162162      strong  
  221913     1.0      strong  
  225755     0.5416216216216218      weak  
  226522     1.0      strong  
  229643     0.7962162162162162      strong  
# 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# The number of weak sites for the forwards direction is 26
# The number of strong sites for the forwards direction is 27


# The following is the outputs of the program in the reverse compliment direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  882     0.9221021021021023      strong  
  914     0.8100900900900904      strong  
  2935     0.3873873873873874      weak  
  4026     0.9221021021021023      strong  
  4401     0.5416216216216218      weak  
  5959     0.3873873873873874      weak  
  6107     1.0      strong  
  6138     0.6195195195195197      weak  
  7029     1.0      strong  
  9373     0.7962162162162162      strong  
  10474     0.5416216216216218      weak  
  10597     0.3873873873873874      weak  
  11231     0.3873873873873874      weak  
  11412     0.5416216216216218      weak  
  14720     1.0      strong  
  15060     0.3873873873873874      weak  
  15256     0.3873873873873874      weak  
  16776     0.8100900900900904      strong  
  17627     0.9221021021021023      strong  
  18074     0.9221021021021023      strong  
  18424     0.7962162162162162      strong  
  18725     0.9221021021021023      strong  
  19425     1.0      strong  
  20429     0.3873873873873874      weak  
  21401     0.3873873873873874      weak  
  21909     0.3873873873873874      weak  
  21969     0.6195195195195197      weak  
  22261     0.41573573573573575      weak  
  22647     0.8879879879879881      strong  
  23795     0.3873873873873874      weak  
  23896     0.9221021021021023      strong  
  27620     1.0      strong  
  27713     0.9221021021021023      strong  
  28105     0.8100900900900904      strong  
  28980     0.9221021021021023      strong  
  29505     0.5416216216216218      weak  
  29688     0.5416216216216218      weak  
  29719     0.8879879879879881      strong  
  30096     0.3873873873873874      weak  
  33229     1.0      strong  
  33630     0.6195195195195197      weak  
  34560     1.0      strong  
  36688     0.6842042042042042      weak  
  37938     1.0      strong  
  39201     0.5416216216216218      weak  
  39493     0.9221021021021023      strong  
  39889     0.3873873873873874      weak  
  40195     0.3873873873873874      weak  
  40248     0.8879879879879881      strong  
  41009     0.7962162162162162      strong  
  41294     0.8879879879879881      strong  
  42003     0.8100900900900904      strong  
  42223     0.5416216216216218      weak  
  42971     0.3873873873873874      weak  
  43405     0.3873873873873874      weak  
  44075     0.8100900900900904      strong  
  44823     0.5416216216216218      weak  
  45221     0.8100900900900904      strong  
  46684     0.3873873873873874      weak  
  47040     0.9221021021021023      strong  
  47956     0.41573573573573575      weak  
  48118     0.8100900900900904      strong  
  48745     0.9221021021021023      strong  
  49295     0.9221021021021023      strong  
  49524     0.9221021021021023      strong  
  50462     0.3873873873873874      weak  
  50596     0.8100900900900904      strong  
  51626     0.8100900900900904      strong  
  52825     0.8100900900900904      strong  
  53733     1.0      strong  
  54462     0.9221021021021023      strong  
  55393     0.9221021021021023      strong  
  55501     0.3873873873873874      weak  
  57513     0.8100900900900904      strong  
  58099     0.6195195195195197      weak  
  60161     0.3873873873873874      weak  
  66964     0.9221021021021023      strong  
  69950     1.0      strong  
  70069     0.7962162162162162      strong  
  70566     0.3873873873873874      weak  
  70803     0.8879879879879881      strong  
  71095     1.0      strong  
  76129     0.3873873873873874      weak  
