# searching chr1
# for transcription factor SFP1
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  0     0.3777665121668597      weak  
  2     0.48719582850521426      weak  
  3     0.3878476245654693      weak  
  4     0.6280272305909618      weak  
  5     0.4155272305909617      weak  
  7     0.6222914252607183      weak  
  9     0.5002896871378911      weak  
  10     0.38857184241019693      weak  
  11     0.5863991888760138      weak  
  12     0.36945249130938584      weak  
  13     0.47108922363847044      weak  
  15     0.6222914252607183      weak  
  17     0.5002896871378911      weak  
  18     0.38857184241019693      weak  
  19     0.5863991888760138      weak  
  21     0.43332850521436844      weak  
  23     0.48719582850521426      weak  
  24     0.3878476245654693      weak  
  25     0.48189455388180763      weak  
  26     0.3777665121668597      weak  
  28     0.48719582850521426      weak  
  30     0.4441338354577056      weak  
  31     0.5863991888760138      weak  
  33     0.43332850521436844      weak  
  35     0.48719582850521426      weak  
  36     0.3878476245654693      weak  
  37     0.48189455388180763      weak  
  38     0.3777665121668597      weak  
  40     0.48719582850521426      weak  
  41     0.3878476245654693      weak  
  42     0.6280272305909618      weak  
  43     0.4155272305909617      weak  
  45     0.6222914252607183      weak  
  47     0.5002896871378911      weak  
  48     0.38857184241019693      weak  
  49     0.44026651216685975      weak  
  51     0.49582850521436855      weak  
  53     0.49582850521436855      weak  
  55     0.4420336037079953      weak  
  57     0.3917294322132097      weak  
  59     0.3589368482039396      weak  
  66     0.5176998841251449      weak  
  67     0.5011008111239861      weak  
  72     0.38416859791425256      weak  
  77     0.509675550405562      weak  
  78     0.7512166859791425      strong  
  80     0.35995075318655845      weak  
  89     0.4538238702201622      weak  
  93     0.5006952491309387      weak  
  94     0.7968134414831981      strong  
  95     0.5292294322132096      weak  
  102     0.365194090382387      weak  
  104     0.3923522595596755      weak  
  118     0.3956257242178447      weak  
  124     0.41904692931633836      weak  
  125     0.47873696407879485      weak  
  129     0.49346755504055617      weak  
  130     0.49130938586326767      weak  
  132     0.35050695249130936      weak  
  135     0.5821987253765931      weak  
  142     0.3765498261877172      weak  
  148     0.6242323290845887      weak  
  149     0.536717844727694      weak  
  156     0.3921784472769408      weak  
  162     0.4387601390498262      weak  
  164     0.4109646581691772      weak  
  168     0.5624275782155272      weak  
  171     0.5065034762456546      weak  
  175     0.4887601390498261      weak  
  178     0.5254345307068367      weak  
  179     0.5276071842410197      weak  
  182     0.546132676709154      weak  
  184     0.48857184241019697      weak  
  186     0.5213933951332559      weak  
  190     0.5250289687137891      weak  
  203     0.5120799536500579      weak  
  204     0.5428736964078794      weak  
  205     0.4501738122827347      weak  
  208     0.6367468134414832      weak  
  212     0.38813731170336024      weak  
  214     0.5605735805330243      weak  
  215     0.361558516801854      weak  
  218     0.3956257242178447      weak  
  225     0.49070104287369637      weak  
  231     0.44184530706836617      weak  
  233     0.4440758980301274      weak  
  235     0.48926709154113546      weak  
  237     0.4206257242178448      weak  
  239     0.4567062572421784      weak  
  242     0.4093134414831981      weak  
  243     0.7250724217844727      strong  
  244     0.5059965237543452      weak  
  249     0.4211181923522596      weak  
  250     0.5382242178447276      weak  
  255     0.43354577056778676      weak  
  256     0.35942931633835457      weak  
  261     0.5507242178447277      weak  
  262     0.47873696407879485      weak  
  266     0.43354577056778676      weak  
  267     0.35942931633835457      weak  
  270     0.3991454229432213      weak  
  273     0.7460602549246812      strong  
  279     0.6893684820393975      weak  
  285     0.4208285052143685      weak  
  287     0.4144119351100811      weak  
  303     0.4532734646581692      weak  
  307     0.5844003476245654      weak  
  347     0.5084154113557359      weak  
  349     0.36840961761297797      weak  
  350     0.36367323290845877      weak  
  351     0.4184385863267672      weak  
  360     0.43354577056778676      weak  
  361     0.35942931633835457      weak  
  362     0.4154258400926998      weak  
  374     0.3964947856315179      weak  
  376     0.7253621089223639      strong  
  377     0.46939455388180756      weak  
  379     0.5792294322132098      weak  
  382     0.41565758980301276      weak  
  383     0.6416714947856315      weak  
  390     0.36080533024333716      weak  
  392     0.4699739281575898      weak  
  393     0.374058516801854      weak  
  396     0.377954808806489      weak  
  398     0.38205388180764777      weak  
  421     0.4717699884125145      weak  
  425     0.3912369640787949      weak  
  427     0.4282589803012746      weak  
  429     0.38453070683661644      weak  
  443     0.5390063731170336      weak  
  450     0.38664542294322124      weak  
  452     0.421132676709154      weak  
  457     0.39077346465816926      weak  
  472     0.3553012746234067      weak  
  487     0.3932213209733488      weak  
  488     0.6176129779837776      weak  
  489     0.6709009269988412      weak  
  494     0.41406431054461185      weak  
  496     0.5167439165701042      weak  
  498     0.4643395133256083      weak  
  510     0.40783603707995364      weak  
  517     0.4480156431054461      weak  
  523     0.4492612977983777      weak  
  538     0.4648899188876014      weak  
  539     0.50632966396292      weak  
  544     0.6506662804171495      weak  
  550     0.6568221320973348      weak  
  553     0.5930619930475086      weak  
  559     0.5434675550405562      weak  
  565     0.4997827346465817      weak  
  566     0.6213789107763615      weak  
  573     0.5714223638470451      weak  
  579     0.4578794901506373      weak  
  581     0.39781286210892225      weak  
  583     0.7016946697566627      strong  
  586     0.45131807647740435      weak  
  596     0.3953505214368481      weak  
  621     0.4354287369640788      weak  
  622     0.391396292004635      weak  
  625     0.4758835457705678      weak  
  645     0.6477114716106604      weak  
  646     0.37300115874855155      weak  
  658     0.3753041714947856      weak  
  683     0.3941048667439166      weak  
  687     0.465324449594438      weak  
  693     0.54984067207416      weak  
  730     0.36203650057937425      weak  
  732     0.42773754345307063      weak  
  734     0.4982908458864426      weak  
  749     0.4608922363847045      weak  
  786     0.4564310544611819      weak  
  794     0.47624565469293173      weak  
  807     0.38051853997682494      weak  
  826     0.4083574739281575      weak  
  897     0.8358777520278099      strong  
  926     0.37081402085747384      weak  
  928     0.4522450753186558      weak  
  929     0.35454808806488997      weak  
  947     0.371494785631518      weak  
  951     0.6462920046349943      weak  
  953     0.38797798377752024      weak  
  969     0.40233198146002314      weak  
  974     0.3699739281575898      weak  
  981     0.35166570104287365      weak  
  1017     0.39430764774044036      weak  
  1018     0.40519988412514474      weak  
  1024     0.454026651216686      weak  
  1031     0.45066628041714946      weak  
  1037     0.36261587485515645      weak  
  1076     0.3570828505214368      weak  
  1094     0.40059385863267666      weak  
  1107     0.42636152954808804      weak  
  1112     0.4678447276940904      weak  
  1150     0.36261587485515645      weak  
  1154     0.3964078794901506      weak  
  1190     0.3952636152954808      weak  
  1193     0.6594438006952491      weak  
  1208     0.5279113557358053      weak  
  1209     0.3814455388180765      weak  
  1236     0.36874275782155275      weak  
  1241     0.4109501738122827      weak  
  1243     0.5006952491309385      weak  
  1244     0.3793597914252606      weak  
  1247     0.5459443800695248      weak  
  1270     0.5258400926998841      weak  
  1272     0.35767670915411354      weak  
  1276     0.4260573580533024      weak  
  1277     0.4228852838933951      weak  
  1278     0.5170046349942062      weak  
  1299     0.40997972190034765      weak  
  1313     0.5318800695249131      weak  
  1317     0.4501882966396292      weak  
  1319     0.42498551564310544      weak  
  1323     0.45039107763615294      weak  
  1383     0.4685254924681345      weak  
  1393     0.4355590961761297      weak  
  1395     0.5284327925840092      weak  
  1399     0.5484936268829663      weak  
  1400     0.7046494785631517      strong  
  1405     0.5339223638470452      weak  
  1409     0.4025057937427578      weak  
  1430     0.35515643105446115      weak  
  1445     0.4266077636152955      weak  
  1446     0.36810544611819235      weak  
  1447     0.564803012746234      weak  
  1451     0.5937137891077637      weak  
  1452     0.3636442641946698      weak  
  1453     0.47956257242178446      weak  
  1454     0.38683371958285045      weak  
  1456     0.5296060254924682      weak  
  1459     0.585486674391657      weak  
  1460     0.4117902665121668      weak  
  1461     0.4922798377752028      weak  
  1483     0.3784762456546929      weak  
  1486     0.6408603707995365      weak  
  1510     0.36758400926998847      weak  
  1519     0.44992757821552715      weak  
  1521     0.4384849362688296      weak  
  1522     0.37359501738122824      weak  
  1529     0.4561123986095017      weak  
  1551     0.3815179606025493      weak  
  1558     0.454316338354577      weak  
  1577     0.5296205098493627      weak  
  1579     0.35659038238702195      weak  
  1580     0.4953360370799537      weak  
  1646     0.415324449594438      weak  
  1649     0.4772595596755504      weak  
  1652     0.3823435689455388      weak  
  1653     0.6436268829663961      weak  
  1659     0.4340237543453071      weak  
  1668     0.46613557358053304      weak  
  1778     0.3912804171494786      weak  
  1790     0.4889918887601391      weak  
  1796     0.3667584009269988      weak  
  1821     0.4681344148319814      weak  
  1825     0.661297798377752      weak  
  1836     0.5050840092699884      weak  
  1838     0.4011877172653534      weak  
  1843     0.47187137891077635      weak  
  1848     0.3554895712630359      weak  
  1852     0.4159327925840092      weak  
  1877     0.4192641946697567      weak  
  1878     0.5117468134414831      weak  
  1885     0.6288673232908457      weak  
  1905     0.3715092699884125      weak  
  1911     0.499710312862109      weak  
  1917     0.4176709154113557      weak  
  1921     0.6339513325608342      weak  
  1931     0.380547508690614      weak  
  1941     0.35470741599072997      weak  
  1957     0.49096176129779834      weak  
  1960     0.35013035921205105      weak  
  1963     0.4277520278099652      weak  
  1969     0.4670046349942063      weak  
  1972     0.5027520278099653      weak  
  1996     0.38077925840092697      weak  
  2005     0.35224507531865584      weak  
  2019     0.5695973348783314      weak  
  2044     0.4730590961761298      weak  
  2050     0.545842989571263      weak  
  2052     0.47278389339513327      weak  
  2056     0.3636877172653533      weak  
  2059     0.42602838933951337      weak  
  2062     0.38658748551564315      weak  
  2088     0.4646002317497104      weak  
  2110     0.44243916570104286      weak  
  2116     0.39891367323290844      weak  
  2119     0.45302723059096167      weak  
  2122     0.5282300115874855      weak  
  2124     0.3629924681344148      weak  
  2125     0.478476245654693      weak  
  2131     0.7155706836616454      strong  
  2133     0.43216975666280416      weak  
  2134     0.35721320973348786      weak  
  2136     0.3948580533024334      weak  
  2137     0.622204519119351      weak  
  2139     0.4764194669756663      weak  
  2140     0.7355590961761297      strong  
  2158     0.3505938586326768      weak  
  2221     0.4538383545770568      weak  
  2235     0.5105446118192353      weak  
  2254     0.3522595596755504      weak  
  2268     0.5291135573580533      weak  
  2269     0.47042294322132094      weak  
  2302     0.47812862108922355      weak  
  2306     0.3505214368482039      weak  
  2315     0.42363847045191194      weak  
  2345     0.35270857473928163      weak  
  2460     0.39949304750869064      weak  
  2475     0.35291135573580534      weak  
  2486     0.350941483198146      weak  
  2494     0.3957415990730011      weak  
  2496     0.46615005793742764      weak  
  2498     0.3694669756662804      weak  
  2509     0.36864136732329084      weak  
  2520     0.4168018539976825      weak  
  2526     0.49000579374275777      weak  
  2533     0.3814020857473928      weak  
  2558     0.4030561993047508      weak  
  2573     0.41071842410196985      weak  
  2580     0.5879634994206256      weak  
  2587     0.3707705677867903      weak  
  2600     0.5354432213209733      weak  
  2625     0.3592844727694091      weak  
  2628     0.4962630359212052      weak  
  2631     0.5129345307068366      weak  
  2634     0.4800115874855156      weak  
  2672     0.3751448435689455      weak  
  2725     0.6698435689455389      weak  
  2731     0.6466685979142527      weak  
  2737     0.4934965237543452      weak  
  2745     0.409675550405562      weak  
  2762     0.4700028968713789      weak  
  2796     0.4166714947856314      weak  
  2803     0.45350521436848207      weak  
  2825     0.4001158748551564      weak  
  2838     0.4121523754345307      weak  
  2863     0.350550405561993      weak  
  2865     0.36499130938586327      weak  
  2869     0.4250289687137891      weak  
  2904     0.36573001158748547      weak  
  2907     0.4499275782155272      weak  
  2974     0.35026071842410195      weak  
  2981     0.5445393974507532      weak  
  3001     0.4286645422943221      weak  
  3008     0.4128621089223638      weak  
  3017     0.35221610660486674      weak  
  3035     0.4257387022016223      weak  
  3059     0.47056778679026656      weak  
  3063     0.39543742757821554      weak  
  3080     0.46109501738122827      weak  
  3084     0.3849797219003476      weak  
  3220     0.40806778679026656      weak  
  3269     0.490165121668598      weak  
  3288     0.3647305909617613      weak  
  3330     0.4368626882966396      weak  
  3351     0.5661790266512167      weak  
  3356     0.37008980301274624      weak  
  3357     0.37501448435689455      weak  
  3363     0.4378476245654692      weak  
  3372     0.38163383545770563      weak  
  3374     0.3949304750869061      weak  
  3376     0.6105735805330244      weak  
