# searching chr1
# for transcription factor GCN4
# weak threshold: 0.35
# strong threshold: 0.7

# The following is the outputs of the program in the forwards direction. 
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
# 
# position  strength  type       
  82     0.7548926165967721      strong  
  98     0.6462384038632609      weak  
  99     0.45008895666539583      weak  
  106     0.6099885627144491      weak  
  108     0.5205553437539713      weak  
  133     0.6221565637310966      weak  
  151     0.4580315160757402      weak  
  152     0.40456220612530175      weak  
  188     0.5493391790570593      weak  
  247     0.4803977633752699      weak  
  283     0.5490214766806455      weak  
  300     0.4708984623204981      weak  
  325     0.3600203329520904      weak  
  355     0.3829266742915237      weak  
  387     0.423687889185411      weak  
  388     0.3964607955267505      weak  
  474     0.35754225441606297      weak  
  492     0.6360401575803788      weak  
  493     0.52306519252764      weak  
  498     0.5371711780404117      weak  
  522     0.4093595120091497      weak  
  542     0.37809759817003424      weak  
  543     0.3757466005845723      weak  
  548     0.5824437666793748      weak  
  557     0.8155420002541618      strong  
  568     0.3613229126953869      weak  
  570     0.4070720548989706      weak  
  587     0.4451645698309822      weak  
  608     0.39042445037488877      weak  
  610     0.38775575041301313      weak  
  616     0.4655292921591053      weak  
  629     0.7413584953615453      strong  
  630     0.5221756258736816      weak  
  650     0.5472105731350869      weak  
  665     0.3598614817638836      weak  
  715     0.4849726775956284      weak  
  798     0.42448214512644555      weak  
  822     0.6294001779133306      weak  
  840     0.4531706697166095      weak  
  841     0.46857923497267756      weak  
  901     0.7070148684712162      strong  
  902     0.5140742152751302      weak  
  919     0.368820688778752      weak  
  921     0.5627462193417206      weak  
  933     0.45981064938365734      weak  
  973     0.39668318719024015      weak  
  974     0.5843499809378574      weak  
  989     0.5713241835048927      weak  
  1060     0.49247045367899345      weak  
  1078     0.46603761596136734      weak  
  1099     0.6165332316685729      weak  
  1105     0.38775575041301313      weak  
  1116     0.37133053755242085      weak  
  1131     0.40974075486084627      weak  
  1148     0.6544668954123777      weak  
  1162     0.4849726775956284      weak  
  1178     0.3761278434362687      weak  
  1197     0.7310013978904562      strong  
  1213     0.49647350362180703      weak  
  1226     0.5702757656627272      weak  
  1228     0.3787965433981446      weak  
  1276     0.3967467276655229      weak  
  1283     0.503367645189986      weak  
  1289     0.39525352649637824      weak  
  1317     0.49714067861227595      weak  
  1344     0.45520396492565757      weak  
  1346     0.4683568433091879      weak  
  1360     0.971216164696912      strong  
  1362     0.44278180200787903      weak  
  1379     0.47744313127462173      weak  
  1404     0.4965052738594483      weak  
  1409     0.4126953869614944      weak  
  1422     0.4708984623204981      weak  
  1450     0.5515948659295972      weak  
  1451     0.3853412123522684      weak  
  1507     0.4913902655991867      weak  
  1514     0.3955394586351506      weak  
  1523     0.50622696657771      weak  
  1545     0.37418985894014484      weak  
  1556     0.4424323293938239      weak  
  1570     0.503367645189986      weak  
  1581     0.5322467912059982      weak  
  1642     0.47731605032405633      weak  
  1663     0.3950946753081713      weak  
